DamageID;WeaponCategory;IsRanged;IgnoreInvulnerable;NoReaction;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;UseAttackerPosForReaction;DmgCoef;DmgCoefHead;PowerLevel;CritPowerLevel;BlockPowerLevel;HitStun;CritHitStun;BlockHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;AddDmg;StaggerDmgModifier;StaggerResistModifier;CameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;LOSCheckVerticalAngleOffset
Attack_Throw;Unarmed;1;0;0;;Heavy;Thrust;;;false;Deflect_Default;false;false;1;1;2;2;2;10;10;5;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1;1;Small;3;0.5;1;0
Attack_Close_AOE;Unarmed;;0;0;;Heavy;Nature;;AI_Stun_2sec;true;Deflect_Default;false;true;1;1;8;8;3;20;20;15;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1.5;1.5;Small;3;1.25;1;0
Spell_Pull_Minions;Unarmed;;0;0;;;;;;false;Deflect_Default;false;false;0;0;3;3;3;30;30;30;0;-10;0;0.800000011920929;0;-10;0;0.800000011920929;0;-10;0;0.800000011920929;0;1.5;1.5;Small;3;0;1;16
Spell_Kill_Minions;Unarmed;;0;0;;Heavy;Strike;;;false;Deflect_Default;false;false;100;1;51;51;51;20;20;15;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;1.5;1.5;Small;3;1.25;1;0
Spell_Homing_Earthspike;GhostSpell_Disease;0;1;0;;Magic;Nature;;;false;Deflect_Default;false;true;0;1;4;4;4;25;25;25;0;4;0;0.800000011920929;0;4;0;0.800000011920929;0;4;0;0.800000011920929;0.05000000074505806;2.200000047683716;0;0;1;0.05000000074505806;1;1
Attack_Pull;Unarmed;;0;0;;Heavy;;;;false;Deflect_Default;false;true;0;0;3;3;3;30;30;30;0;-3;0.75;0.800000011920929;0;-3;0;0.75;0;-3;0;0.75;0;1.5;1.5;Small;3;0;1;50
Attack_Pull_1;Unarmed;;0;0;;Heavy;;;;false;Deflect_Default;false;false;0;0;3;3;3;30;30;30;0;-3;0;0.800000011920929;0;-3;0;0.800000011920929;0;-3;0;0.800000011920929;0;1.5;1.5;Small;3;0;1;50
Attack_Pull_2;Unarmed;;0;0;;Heavy;;;;false;Deflect_Default;false;false;0;0;3;3;3;30;30;30;0;-5;0;0.800000011920929;0;-5;0;0.800000011920929;0;-5;0;0.800000011920929;0;1.5;1.5;Small;3;0;1;50
Attack_Pull_3;Unarmed;;0;0;;Heavy;;;;false;Deflect_Default;false;false;0;0;3;3;3;30;30;30;0;-7;0;0.800000011920929;0;-7;0;0.800000011920929;0;-7;0;0.800000011920929;0;1.5;1.5;Small;3;0;1;50
Attack_Pull_4;Unarmed;;0;0;;Heavy;;;;false;Deflect_Default;false;false;0;0;3;3;3;30;30;30;0;-9;0;0.800000011920929;0;-9;0;0.800000011920929;0;-9;0;0.800000011920929;0;1.5;1.5;Small;3;0;1;50
Attack_Pull_5;Unarmed;;0;0;;Heavy;;;;false;Deflect_Default;false;false;0;0;3;3;3;30;30;30;0;-11;0;0.800000011920929;0;-11;0;0.800000011920929;0;-11;0;0.800000011920929;0;1.5;1.5;Small;3;0;1;50
Attack_Pull_6;Unarmed;;0;0;;Heavy;;;;false;Deflect_Default;false;false;0;0;3;3;3;30;30;30;0;-13;0;0.800000011920929;0;-13;0;0.800000011920929;0;-13;0;0.800000011920929;0;1.5;1.5;Small;3;0;1;50
Attack_Pull_7;Unarmed;;0;0;;Heavy;;;;false;Deflect_Default;false;false;0;0;3;3;3;30;30;30;0;-15;0;0.800000011920929;0;-15;0;0.800000011920929;0;-15;0;0.800000011920929;0;1.5;1.5;Small;3;0;1;50
Attack_Pull_8;Unarmed;;0;0;;Heavy;;;;false;Deflect_Default;false;false;0;0;3;3;3;30;30;30;0;-17;0;0.800000011920929;0;-17;0;0.800000011920929;0;-17;0;0.800000011920929;0;1.5;1.5;Small;3;0;1;50
Fall;Fall;;1;1;Bullet;;Falling;;;false;;false;false;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;1;0
