Level;Health;HealthRate;Stamina;StaminaRate;Mana;ManaRate;CastSpeed;EquipLoad;NumAttuneSlots;Encumbrance;AbsFalling;DefStandard;DefSlash;DefThrust;DefStrike;DefMagic;DefFire;DefLightning;DefCorruption;ResFrostbite;ResPoison;ResBleed;ResDisease;ResCurse
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.799999952316284;0;0;0;38;0;0
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.950000047683716;0;0;0;40;0;0
26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.099999904632568;0;0;0;41;0;0
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.25;0;0;0;42;0;0
28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.400000095367432;0;0;0;43;0;0
29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.550000190734863;0;0;0;44;0;0
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.699999809265137;0;0;0;45;0;0
31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.849999904632568;0;0;0;46;0;0
32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;47;0;0
33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.150000095367432;0;0;0;48;0;0
34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.300000190734863;0;0;0;49;0;0
35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.449999809265137;0;0;0;50;0;0
36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.599999904632568;0;0;0;51;0;0
37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.75;0;0;0;52;0;0
38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.900000095367432;0;0;0;53;0;0
39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.050000190734863;0;0;0;54;0;0
40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.199999809265137;0;0;0;55;0;0
41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.349999904632568;0;0;0;56;0;0
42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.5;0;0;0;57;0;0
43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.650000095367432;0;0;0;58;0;0
44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.800000190734863;0;0;0;59;0;0
45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.949999809265137;0;0;0;60;0;0
46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.099999904632568;0;0;0;61;0;0
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.25;0;0;0;62;0;0
48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.400000095367432;0;0;0;63;0;0
49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.550000190734863;0;0;0;64;0;0
50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.699999809265137;0;0;0;65;0;0
51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.849999904632568;0;0;0;66;0;0
52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;67;0;0
53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.100000381469727;0;0;0;68;0;0
54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.199999809265137;0;0;0;69;0;0
55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.300000190734863;0;0;0;70;0;0
56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.399999618530273;0;0;0;71;0;0
57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.5;0;0;0;72;0;0
58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.600000381469727;0;0;0;73;0;0
59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.699999809265137;0;0;0;74;0;0
60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.800000190734863;0;0;0;75;0;0
61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.899999618530273;0;0;0;75;0;0
62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;75;0;0
63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.100000381469727;0;0;0;75;0;0
64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.199999809265137;0;0;0;75;0;0
65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.300000190734863;0;0;0;75;0;0
66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.399999618530273;0;0;0;75;0;0
67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.5;0;0;0;75;0;0
68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.600000381469727;0;0;0;75;0;0
69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.699999809265137;0;0;0;75;0;0
70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.800000190734863;0;0;0;75;0;0
71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.899999618530273;0;0;0;75;0;0
72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;75;0;0
73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.100000381469727;0;0;0;75;0;0
74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.199999809265137;0;0;0;75;0;0
75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300000190734863;0;0;0;75;0;0
76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.399999618530273;0;0;0;75;0;0
77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5;0;0;0;75;0;0
78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.600000381469727;0;0;0;75;0;0
79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.699999809265137;0;0;0;75;0;0
80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.800000190734863;0;0;0;75;0;0
81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.819999694824219;0;0;0;75;0;0
82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.84000015258789;0;0;0;75;0;0
83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.859999656677246;0;0;0;75;0;0
84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.880000114440918;0;0;0;75;0;0
85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.899999618530273;0;0;0;75;0;0
86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.920000076293945;0;0;0;75;0;0
87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.9399995803833;0;0;0;75;0;0
88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.960000038146973;0;0;0;75;0;0
89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.979999542236328;0;0;0;75;0;0
90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;75;0;0
91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.020000457763672;0;0;0;75;0;0
92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.039999961853027;0;0;0;75;0;0
93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0600004196167;0;0;0;75;0;0
94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.079999923706055;0;0;0;75;0;0
95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.100000381469727;0;0;0;75;0;0
96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.119999885559082;0;0;0;75;0;0
97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.140000343322754;0;0;0;75;0;0
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.15999984741211;0;0;0;75;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.180000305175781;0;0;0;75;0;0
100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.199999809265137;0;0;0;75;0;0
101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.220000267028809;0;0;0;75;0;0
102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.239999771118164;0;0;0;75;0;0
103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.260000228881836;0;0;0;75;0;0
104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.279999732971191;0;0;0;75;0;0
105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.300000190734863;0;0;0;75;0;0
106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.319999694824219;0;0;0;75;0;0
107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.34000015258789;0;0;0;75;0;0
108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.359999656677246;0;0;0;75;0;0
109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.380000114440918;0;0;0;75;0;0
110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.399999618530273;0;0;0;75;0;0
111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.420000076293945;0;0;0;75;0;0
112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.4399995803833;0;0;0;75;0;0
113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.460000038146973;0;0;0;75;0;0
114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.479999542236328;0;0;0;75;0;0
115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.5;0;0;0;75;0;0
116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.520000457763672;0;0;0;75;0;0
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.539999961853027;0;0;0;75;0;0
118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.5600004196167;0;0;0;75;0;0
119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.579999923706055;0;0;0;75;0;0
120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.600000381469727;0;0;0;75;0;0
121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.619999885559082;0;0;0;75;0;0
122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.640000343322754;0;0;0;75;0;0
123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.65999984741211;0;0;0;75;0;0
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.680000305175781;0;0;0;75;0;0
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.699999809265137;0;0;0;75;0;0
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.720000267028809;0;0;0;75;0;0
127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.739999771118164;0;0;0;75;0;0
128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.760000228881836;0;0;0;75;0;0
129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.779999732971191;0;0;0;75;0;0
130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.800000190734863;0;0;0;75;0;0
131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.819999694824219;0;0;0;75;0;0
132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.84000015258789;0;0;0;75;0;0
133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.859999656677246;0;0;0;75;0;0
134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.880000114440918;0;0;0;75;0;0
135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;75;0;0
