SpellID;StatusEffects;StatusEffectDurations;Revive;Siphon;AttachToOwner;StickWhenAttached;StoreOffsetWhenStuckToGDE;SpawnSecondaryOnElapsed;SpawnSecondaryOnCollision;SpawnSecondaryOnPassthrough;EndOnCasterDeath;IgnoreTargetIfAtDeathsDoor;IgnoreTargetIfDead;UseCameraTargetLock;TrackNumInVolume;ClearOnExit;ClearOnEnd;ManaCost;UseStatusEffectDuration;Duration;DurationScaling;Height;Length;Radius;InnerRadius;RadiusScaling;MaxRadiusScaling;CastDistance;CastHeight;CastRadius;ConeAngle;ConeWidth;ChannelTime;ChainDelayDuration;MaxChainNum;UseChainCasterPaperdoll;NumToSpawn;NumToSpawnBeforeFail;SpawnRate;SpawnAngle;SecondarySpellProjectileLaunchAngles;ScaleWithCharacterBoundingBox;ScaleWithDynamicScale;TargetTypes;SpellTypes;CastingTypes;HitAiTarget;OverrideTargetForAiThreat;ShapeTypes;DamageType;CheckObstructions;IgnoreOverheadCollision;IgnoreStructures;IgnoreSelf;RangedAttackProfile;RangedAttackName;FireJointName;ProjPosOffsetX;ProjPosOffsetY;ProjPosOffsetZ;ProjRotOffsetX;ProjRotOffsetY;ProjRotOffsetZ;CharRelPosOffsetX;CharRelPosOffsetY;CharRelPosOffsetZ;CharRelRotOffsetX;CharRelRotOffsetY;CharRelRotOffsetZ;ProjRaycastOrientation;DamageTable;DamageTableRow;AbilityId;TargetAbilityCondition;BeamEffect;IndicatorVFX;SpellPrefabPath;SecondaryPrefabPath;SecondarySpellID;TertiaryPrefabPath;TertiarySpellID
VoidGauntlet_DecayingOrb;;;;false;false;;;;;false;false;false;false;;false;false;true;VoidGauntlet_DecayingOrb;false;-1;;0;;0;;;;20;0;0;;;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;Corruption;false;true;false;true;VoidGauntlet;DecayingOrb;;;;;;;;;;;;;;;DamageTable;VoidGauntlet_DecayingOrb;;;;;Items/Weapons/VoidGauntlet_DecayingOrb_Projectile;;;;
VoidGauntlet_DecayingOrb_Heal;;;;false;false;;;;;true;false;false;false;;false;false;true;;false;-1;;0;;0;;;;20;0;0;;;0;;;;;;;;;;;Friend;Ability;Projectile;;;;;false;true;false;false;VoidGauntlet;DecayingOrb_Heal;;;;;;;;;;;;;;;DamageTable;VoidGauntlet_DecayingOrb_Heal;;;;;Items/Weapons/VoidGauntlet_DecayingOrb_Heal_Projectile;Items/Weapons/spell_aoe_leadership;VoidGauntlet_DecayingOrb_Heal_AoE;;
VoidGauntlet_DecayingOrb_Heal_AoE;VoidGauntlet_DecayingOrb_Heal;;;false;false;;;;;false;false;false;false;;false;false;false;;true;200;;5;;1;;;;25;5;0;;;0;;;;;;;;;;;Friend;Ability;AoE;;;Sphere;;false;true;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/spell_aoe_leadership;;;;
VoidGauntlet_DecayingOrb_Detonate_Damage_AoE;;;;false;false;;;;;false;false;false;false;;false;true;true;;false;300;;5;;4;;;;20;5;4;;;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;Corruption;true;true;false;false;;;;;;;;;;;;;;;;;DamageTable;VoidGauntlet_DecayingOrb_Detonate_Damage;;;;;Items/Weapons/VoidGauntlet_DecayingOrb_Detonate_Damage_AoE;;;;
VoidGauntlet_DecayingOrb_Detonate_Heal_AoE;VoidGauntlet_DecayingOrb_Detonate_Heal;;;false;false;;;;;false;false;false;false;;false;true;true;;false;300;;5;;4;;;;20;5;4;;;0;;;;;;;;;;;Friend;Ability;AoE;;;Sphere;;true;true;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/VoidGauntlet_DecayingOrb_Detonate_Heal_AoE;;;;
VoidGauntlet_DrainingTether_Projectile;;;;true;false;;;;;false;false;true;true;;false;false;true;VoidGauntlet_DrainingTether;false;-1;;0;;1;;;;5;5;3;;;0;;;;;;;;;;;All;Ability;Projectile;;;;;false;true;false;false;VoidGauntlet;DrainingTether;right_hand_attach;;;;;;;;;;;;;;DamageTable;VoidGauntlet_DrainingTether;;;;;Items/Weapons/VoidGauntlet_DrainingTether_Proj;;VoidGauntlet_DrainingTether;;
VoidGauntlet_DrainingTether;VoidGauntlet_DrainingTether_Weaken;;;true;false;;;;;false;true;true;true;;false;true;true;;true;10000;;0;;15;;;;5;5;3;;;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;false;true;false;false;;;;;;;;;;;;;;;;;DamageTable;VoidGauntlet_DrainingTether;;;wFX_VoidGaunt_Decay.Drain_HitScan;;Items/Weapons/VoidGauntlet_DrainingTether_Connect;;VoidGauntlet_DrainingTether_AoE;;
VoidGauntlet_DrainingTether_AoE;VoidGauntlet_DrainingTether_Empower;;;true;false;;;;;false;false;true;true;;false;true;true;;true;10000;;5;;15;;;;5;5;3;;;0;;;;;;;;;;;Friend;Ability;AoE;;;;;false;true;false;false;;;;;;;;;;;;;;;;;;;;;wFX_VoidGaunt_Decay.Drain_HitScan;;Items/Weapons/spell_aoe_heal;;;;
VoidGauntlet_EssenceRupture_Projectile;;;;false;false;;;;;false;false;false;false;;false;false;true;VoidGauntlet_EssenceRupture;false;-1;;0;;0;;;;20;0;0;;;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;Corruption;false;true;false;false;VoidGauntlet;EssenceRupture;;;;;;;;;;;;;;;DamageTable;VoidGauntlet_EssenceRupture;;;;;Items/Weapons/VoidGauntlet_EssenceRupture_Projectile;;;;
VoidGauntlet_EssenceRupture_Stamina_Projectile;;;;false;false;;;;;false;false;false;false;;false;false;true;VoidGauntlet_EssenceRupture;false;-1;;0;;0;;;;20;0;0;;;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;Corruption;false;true;false;false;VoidGauntlet;EssenceRupture;;;;;;;;;;;;;;;DamageTable;VoidGauntlet_EssenceRupture_Stamina;;;;;Items/Weapons/VoidGauntlet_EssenceRupture_Projectile;;;;
VoidGauntlet_EssenceRupture_AoE_OnEnd_Projectile;;;;false;false;;;;;false;false;false;false;;false;false;true;VoidGauntlet_EssenceRupture;false;-1;;0;;0;;;;20;0;0;;;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;Corruption;false;true;false;false;VoidGauntlet;EssenceRupture;;;;;;;;;;;;;;;DamageTable;VoidGauntlet_EssenceRupture_AoE_OnEnd;;;;;Items/Weapons/VoidGauntlet_EssenceRupture_Projectile;;;;
VoidGauntlet_EssenceRupture_Heal_AoE;VoidGauntlet_EssenceRupture_AoE_Heal;;;false;false;;;;;false;false;false;false;;false;true;true;;false;300;;5;;4;;;;20;5;4;;;0;;;;;;;;;;;Friend;Ability;AoE;;;Sphere;;true;true;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/VoidGauntlet_EssenceRupture_Heal_AoE;;;;
VoidGauntlet_EmpowerCloseRange_Detection;;;;false;true;;;;;false;false;false;false;;true;true;true;;false;-1;;0;;5;;;;0;0;0;;;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;true;true;false;false;;;;;;;;;;;;;;;;;;;Passive_VoidGauntlet_EmpowerCloseRange;;;;Items/Weapons/spell_NumAroundMe_Enemy;;;;
VoidGauntlet_SiphonAura_AoE;;;;false;true;;;;;false;false;false;false;;false;true;true;;false;5000;;0;;3;;;;0;0;0;;;0;;;;;;;;;;;All;Ability;AoE;;;Sphere;;true;true;false;false;;;;;;;;;;;;;;;;;;;Ultimate_VoidGauntlet_DotHealAura;;;;Items/Weapons/VoidGauntlet_SiphonAura;;VoidGauntlet_SiphonAura_DoT;;VoidGauntlet_SiphonAura_Heal
VoidGauntlet_SiphonAura_DoT;VoidGauntlet_SiphonAura_DoT;;;false;false;;;;;false;false;false;false;;false;true;true;;false;-1;;0;;0;;;;0;0;0;;;0;;;;;;;;;;;Enemy;Ability;;;;;;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;;
VoidGauntlet_SiphonAura_Heal;VoidGauntlet_SiphonAura_Heal;;;false;false;;;;;false;false;false;false;;false;true;true;;false;-1;;0;;0;;;;0;0;0;;;0;;;;;;;;;;;Friend;Ability;;;;;;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;;
