Level;Health;HealthRate;Stamina;StaminaRate;Mana;ManaRate;CastSpeed;EquipLoad;NumAttuneSlots;Encumbrance;AbsFalling;DefStandard;DefSlash;DefThrust;DefStrike;DefMagic;DefFire;DefLightning;DefCorruption;ResFrostbite;ResPoison;ResBleed;ResDisease;ResCurse;ScalingValue
44;0;0;0;0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;6.800000190734863;0;0;0;0;59;0.4000000059604645
45;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;6.949999809265137;0;0;0;0;60;0.4000000059604645
46;0;0;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;7.099999904632568;0;0;0;0;61;0.30000001192092896
47;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;7.25;0;0;0;0;62;0.30000001192092896
48;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;7.400000095367432;0;0;0;0;63;0.30000001192092896
49;0;0;0;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;7.550000190734863;0;0;0;0;64;0.30000001192092896
50;0;0;0;0;105;0;0;0;0;0;0;0;0;0;0;0;0;0;7.699999809265137;0;0;0;0;65;0.30000001192092896
51;0;0;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;7.849999904632568;0;0;0;0;66;0.30000001192092896
52;0;0;0;0;107;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;67;0.30000001192092896
53;0;0;0;0;108;0;0;0;0;0;0;0;0;0;0;0;0;0;8.100000381469727;0;0;0;0;68;0.30000001192092896
54;0;0;0;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;8.199999809265137;0;0;0;0;69;0.30000001192092896
55;0;0;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;8.300000190734863;0;0;0;0;70;0.30000001192092896
56;0;0;0;0;111;0;0;0;0;0;0;0;0;0;0;0;0;0;8.399999618530273;0;0;0;0;71;0.20000000298023224
57;0;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0;8.5;0;0;0;0;72;0.20000000298023224
58;0;0;0;0;113;0;0;0;0;0;0;0;0;0;0;0;0;0;8.600000381469727;0;0;0;0;73;0.20000000298023224
59;0;0;0;0;114;0;0;0;0;0;0;0;0;0;0;0;0;0;8.699999809265137;0;0;0;0;74;0.20000000298023224
60;0;0;0;0;115;0;0;0;0;0;0;0;0;0;0;0;0;0;8.800000190734863;0;0;0;0;75;0.20000000298023224
61;0;0;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;8.899999618530273;0;0;0;0;75;0.20000000298023224
62;0;0;0;0;117;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;75;0.20000000298023224
63;0;0;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;0;9.100000381469727;0;0;0;0;75;0.20000000298023224
64;0;0;0;0;119;0;0;0;0;0;0;0;0;0;0;0;0;0;9.199999809265137;0;0;0;0;75;0.20000000298023224
65;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;9.300000190734863;0;0;0;0;75;0.20000000298023224
66;0;0;0;0;121;0;0;0;0;0;0;0;0;0;0;0;0;0;9.399999618530273;0;0;0;0;75;0.10000000149011612
67;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;9.5;0;0;0;0;75;0.10000000149011612
68;0;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;9.600000381469727;0;0;0;0;75;0.10000000149011612
69;0;0;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0;0;9.699999809265137;0;0;0;0;75;0.10000000149011612
70;0;0;0;0;126;0;0;0;0;0;0;0;0;0;0;0;0;0;9.800000190734863;0;0;0;0;75;0.10000000149011612
71;0;0;0;0;127;0;0;0;0;0;0;0;0;0;0;0;0;0;9.899999618530273;0;0;0;0;75;0.10000000149011612
72;0;0;0;0;128;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;75;0.10000000149011612
73;0;0;0;0;129;0;0;0;0;0;0;0;0;0;0;0;0;0;10.100000381469727;0;0;0;0;75;0.10000000149011612
74;0;0;0;0;130;0;0;0;0;0;0;0;0;0;0;0;0;0;10.199999809265137;0;0;0;0;75;0.10000000149011612
75;0;0;0;0;131;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300000190734863;0;0;0;0;75;0.10000000149011612
76;0;0;0;0;132;0;0;0;0;0;0;0;0;0;0;0;0;0;10.399999618530273;0;0;0;0;75;0.10000000149011612
77;0;0;0;0;133;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5;0;0;0;0;75;0.10000000149011612
78;0;0;0;0;134;0;0;0;0;0;0;0;0;0;0;0;0;0;10.600000381469727;0;0;0;0;75;0.10000000149011612
79;0;0;0;0;135;0;0;0;0;0;0;0;0;0;0;0;0;0;10.699999809265137;0;0;0;0;75;0.10000000149011612
80;0;0;0;0;136;0;0;0;0;0;0;0;0;0;0;0;0;0;10.800000190734863;0;0;0;0;75;0.10000000149011612
81;0;0;0;0;137;0;0;0;0;0;0;0;0;0;0;0;0;0;10.819999694824219;0;0;0;0;75;0.10000000149011612
82;0;0;0;0;138;0;0;0;0;0;0;0;0;0;0;0;0;0;10.84000015258789;0;0;0;0;75;0.10000000149011612
83;0;0;0;0;139;0;0;0;0;0;0;0;0;0;0;0;0;0;10.859999656677246;0;0;0;0;75;0.10000000149011612
84;0;0;0;0;140;0;0;0;0;0;0;0;0;0;0;0;0;0;10.880000114440918;0;0;0;0;75;0.10000000149011612
85;0;0;0;0;141;0;0;0;0;0;0;0;0;0;0;0;0;0;10.899999618530273;0;0;0;0;75;0.10000000149011612
86;0;0;0;0;142;0;0;0;0;0;0;0;0;0;0;0;0;0;10.920000076293945;0;0;0;0;75;0.05000000074505806
87;0;0;0;0;143;0;0;0;0;0;0;0;0;0;0;0;0;0;10.9399995803833;0;0;0;0;75;0.05000000074505806
88;0;0;0;0;144;0;0;0;0;0;0;0;0;0;0;0;0;0;10.960000038146973;0;0;0;0;75;0.05000000074505806
89;0;0;0;0;145;0;0;0;0;0;0;0;0;0;0;0;0;0;10.979999542236328;0;0;0;0;75;0.05000000074505806
90;0;0;0;0;146;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;75;0.05000000074505806
91;0;0;0;0;147;0;0;0;0;0;0;0;0;0;0;0;0;0;11.020000457763672;0;0;0;0;75;0.05000000074505806
92;0;0;0;0;148;0;0;0;0;0;0;0;0;0;0;0;0;0;11.039999961853027;0;0;0;0;75;0.05000000074505806
93;0;0;0;0;149;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0600004196167;0;0;0;0;75;0.05000000074505806
94;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;11.079999923706055;0;0;0;0;75;0.05000000074505806
95;0;0;0;0;151;0;0;0;0;0;0;0;0;0;0;0;0;0;11.100000381469727;0;0;0;0;75;0.05000000074505806
96;0;0;0;0;152;0;0;0;0;0;0;0;0;0;0;0;0;0;11.119999885559082;0;0;0;0;75;0.05000000074505806
97;0;0;0;0;153;0;0;0;0;0;0;0;0;0;0;0;0;0;11.140000343322754;0;0;0;0;75;0.05000000074505806
98;0;0;0;0;154;0;0;0;0;0;0;0;0;0;0;0;0;0;11.15999984741211;0;0;0;0;75;0.05000000074505806
99;0;0;0;0;155;0;0;0;0;0;0;0;0;0;0;0;0;0;11.180000305175781;0;0;0;0;75;0.05000000074505806
100;0;0;0;0;156;0;0;0;0;0;0;0;0;0;0;0;0;0;11.199999809265137;0;0;0;0;75;0.05000000074505806
101;0;0;0;0;157;0;0;0;0;0;0;0;0;0;0;0;0;0;11.220000267028809;0;0;0;0;75;0.05000000074505806
102;0;0;0;0;158;0;0;0;0;0;0;0;0;0;0;0;0;0;11.239999771118164;0;0;0;0;75;0.05000000074505806
103;0;0;0;0;159;0;0;0;0;0;0;0;0;0;0;0;0;0;11.260000228881836;0;0;0;0;75;0.05000000074505806
104;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;11.279999732971191;0;0;0;0;75;0.05000000074505806
105;0;0;0;0;161;0;0;0;0;0;0;0;0;0;0;0;0;0;11.300000190734863;0;0;0;0;75;0.05000000074505806
106;0;0;0;0;162;0;0;0;0;0;0;0;0;0;0;0;0;0;11.319999694824219;0;0;0;0;75;0.05000000074505806
107;0;0;0;0;163;0;0;0;0;0;0;0;0;0;0;0;0;0;11.34000015258789;0;0;0;0;75;0.05000000074505806
108;0;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0;0;11.359999656677246;0;0;0;0;75;0.05000000074505806
109;0;0;0;0;165;0;0;0;0;0;0;0;0;0;0;0;0;0;11.380000114440918;0;0;0;0;75;0.05000000074505806
110;0;0;0;0;166;0;0;0;0;0;0;0;0;0;0;0;0;0;11.399999618530273;0;0;0;0;75;0.05000000074505806
111;0;0;0;0;167;0;0;0;0;0;0;0;0;0;0;0;0;0;11.420000076293945;0;0;0;0;75;0.05000000074505806
112;0;0;0;0;168;0;0;0;0;0;0;0;0;0;0;0;0;0;11.4399995803833;0;0;0;0;75;0.05000000074505806
113;0;0;0;0;169;0;0;0;0;0;0;0;0;0;0;0;0;0;11.460000038146973;0;0;0;0;75;0.05000000074505806
114;0;0;0;0;170;0;0;0;0;0;0;0;0;0;0;0;0;0;11.479999542236328;0;0;0;0;75;0.05000000074505806
115;0;0;0;0;171;0;0;0;0;0;0;0;0;0;0;0;0;0;11.5;0;0;0;0;75;0.05000000074505806
116;0;0;0;0;172;0;0;0;0;0;0;0;0;0;0;0;0;0;11.520000457763672;0;0;0;0;75;0.05000000074505806
117;0;0;0;0;173;0;0;0;0;0;0;0;0;0;0;0;0;0;11.539999961853027;0;0;0;0;75;0.05000000074505806
118;0;0;0;0;174;0;0;0;0;0;0;0;0;0;0;0;0;0;11.5600004196167;0;0;0;0;75;0.05000000074505806
119;0;0;0;0;175;0;0;0;0;0;0;0;0;0;0;0;0;0;11.579999923706055;0;0;0;0;75;0.05000000074505806
120;0;0;0;0;176;0;0;0;0;0;0;0;0;0;0;0;0;0;11.600000381469727;0;0;0;0;75;0.05000000074505806
121;0;0;0;0;177;0;0;0;0;0;0;0;0;0;0;0;0;0;11.619999885559082;0;0;0;0;75;0.05000000074505806
122;0;0;0;0;178;0;0;0;0;0;0;0;0;0;0;0;0;0;11.640000343322754;0;0;0;0;75;0.05000000074505806
123;0;0;0;0;179;0;0;0;0;0;0;0;0;0;0;0;0;0;11.65999984741211;0;0;0;0;75;0.05000000074505806
124;0;0;0;0;180;0;0;0;0;0;0;0;0;0;0;0;0;0;11.680000305175781;0;0;0;0;75;0.05000000074505806
125;0;0;0;0;181;0;0;0;0;0;0;0;0;0;0;0;0;0;11.699999809265137;0;0;0;0;75;0.05000000074505806
126;0;0;0;0;182;0;0;0;0;0;0;0;0;0;0;0;0;0;11.720000267028809;0;0;0;0;75;0.05000000074505806
127;0;0;0;0;183;0;0;0;0;0;0;0;0;0;0;0;0;0;11.739999771118164;0;0;0;0;75;0.05000000074505806
128;0;0;0;0;184;0;0;0;0;0;0;0;0;0;0;0;0;0;11.760000228881836;0;0;0;0;75;0.05000000074505806
129;0;0;0;0;185;0;0;0;0;0;0;0;0;0;0;0;0;0;11.779999732971191;0;0;0;0;75;0.05000000074505806
130;0;0;0;0;186;0;0;0;0;0;0;0;0;0;0;0;0;0;11.800000190734863;0;0;0;0;75;0.05000000074505806
131;0;0;0;0;187;0;0;0;0;0;0;0;0;0;0;0;0;0;11.819999694824219;0;0;0;0;75;0.05000000074505806
132;0;0;0;0;188;0;0;0;0;0;0;0;0;0;0;0;0;0;11.84000015258789;0;0;0;0;75;0.05000000074505806
133;0;0;0;0;189;0;0;0;0;0;0;0;0;0;0;0;0;0;11.859999656677246;0;0;0;0;75;0.05000000074505806
134;0;0;0;0;190;0;0;0;0;0;0;0;0;0;0;0;0;0;11.880000114440918;0;0;0;0;75;0.05000000074505806
135;0;0;0;0;191;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0.05000000074505806
136;0;0;0;0;192;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0.05000000074505806
137;0;0;0;0;193;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0.05000000074505806
138;0;0;0;0;194;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0.05000000074505806
139;0;0;0;0;195;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0.05000000074505806
140;0;0;0;0;196;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0.05000000074505806
141;0;0;0;0;197;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
142;0;0;0;0;198;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
143;0;0;0;0;199;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
144;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
145;0;0;0;0;201;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
146;0;0;0;0;202;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
147;0;0;0;0;203;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
148;0;0;0;0;204;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
149;0;0;0;0;205;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
150;0;0;0;0;206;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
151;0;0;0;0;207;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
152;0;0;0;0;208;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
153;0;0;0;0;209;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
154;0;0;0;0;210;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
155;0;0;0;0;211;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
156;0;0;0;0;212;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
157;0;0;0;0;213;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
158;0;0;0;0;214;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
159;0;0;0;0;215;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
160;0;0;0;0;216;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
161;0;0;0;0;217;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
162;0;0;0;0;218;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
163;0;0;0;0;219;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
164;0;0;0;0;220;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
165;0;0;0;0;221;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
166;0;0;0;0;222;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
167;0;0;0;0;223;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
168;0;0;0;0;224;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
169;0;0;0;0;225;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
170;0;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;11.899999618530273;0;0;0;0;75;0
