CategoricalProgressionId;DisplayName;MaxLevel;AutoRankUp;InfiniteLevels;RankTableId;ProgressionPointPool;PreSkillCapSkill;PostSkillCapSkill;EconomyTrackerType;GameEventId;AchievementIdOnMaxRank;MinTrackedLevel;ShowAsObjectiveReward;IconPath
LifeMagicAbilityTable;@ui_lifemagic_mastery;19;true;false;WeaponMastery;LifeMagicAbilityTable;;;;;;0;false;
FireMagicAbilityTable;@ui_firemagic_mastery;19;true;false;WeaponMastery;FireMagicAbilityTable;;;;;;0;false;
GreatAxeAbilityTable;@ui_greataxe_mastery;19;true;false;WeaponMastery;GreatAxeAbilityTable;;;;;;0;false;
SpearAbilityTable;@ui_spear_mastery;19;true;false;WeaponMastery;SpearAbilityTable;;;;;;0;false;
RapierAbilityTable;@ui_rapier_mastery;19;true;false;WeaponMastery;RapierAbilityTable;;;;;;0;false;
IceMagicAbilityTable;@ui_icemagic_mastery;19;true;false;WeaponMastery;IceMagicAbilityTable;;;;;;0;false;
VoidGauntletAbilityTable;@ui_voidmagic_mastery;19;true;false;WeaponMastery;VoidGauntletAbilityTable;;;;;;0;false;
Weaponsmithing;@ui_weaponsmithing;200;true;false;Weaponsmithing;;;Weaponsmithing_PostCap;;;;0;false;
Armoring;@ui_armoring;200;true;false;Armoring;;;Armoring_PostCap;;;;0;false;
Jewelcrafting;@ui_jewelcrafting;200;true;false;Jewelcrafting;;;Jewelcrafting_PostCap;;;;0;false;
Arcana;@ui_arcana;200;true;false;Arcana;;;Arcana_PostCap;;;;0;false;
Cooking;@ui_cooking;200;true;false;Cooking;;;Cooking_PostCap;;;;0;false;
Furnishing;@ui_furnishing;200;true;false;Furnishing;;;Furnishing_PostCap;;;;0;false;
Engineering;@ui_engineering;200;true;false;Engineering;;;Engineering_PostCap;;;;0;false;
Smelting;@ui_smelting;200;true;false;Smelting;;;Smelting_PostCap;;;;0;false;
Woodworking;@ui_woodworking;200;true;false;Woodworking;;;Woodworking_PostCap;;;;0;false;
Leatherworking;@ui_leatherworking;200;true;false;Leatherworking;;;Leatherworking_PostCap;;;;0;false;
Weaving;@ui_weaving;200;true;false;Weaving;;;Weaving_PostCap;;;;0;false;
Stonecutting;@ui_stonecutting;200;true;false;Stonecutting;;;Stonecutting_PostCap;;;;0;false;
Skinning;@ui_skinning;200;true;false;Skinning;;;Skinning_PostCap;;;;0;false;
Mining;@ui_mining;200;true;false;Mining;;;Mining_PostCap;;;;0;false;
Logging;@ui_logging;200;true;false;Logging;;;Logging_PostCap;;;;0;false;
Harvesting;@ui_harvesting;200;true;false;Harvesting;;;Harvesting_PostCap;;;;0;false;
AzothStaff;@ui_azoth_staff_tradeskill;5;true;false;AzothStaff;;;;;;;0;false;
Weaponsmithing_PostCap;@ui_weaponsmithing_postcap;1;true;true;TradeSkillPostCap;;Weaponsmithing;;;;;0;false;
Armoring_PostCap;@ui_armoring_postcap;1;true;true;TradeSkillPostCap;;Armoring;;;;;0;false;
Jewelcrafting_PostCap;@ui_jewelcrafting_postcap;1;true;true;TradeSkillPostCap;;Jewelcrafting;;;;;0;false;
Arcana_PostCap;@ui_arcana_postcap;1;true;true;TradeSkillPostCap;;Arcana;;;;;0;false;
Cooking_PostCap;@ui_cooking_postcap;1;true;true;TradeSkillPostCap;;Cooking;;;;;0;false;
Fishing_PostCap;@ui_Fishing_postcap;1;true;true;TradeSkillPostCap;;Fishing;;;;;0;false;
Furnishing_PostCap;@ui_furnishing_postcap;1;true;true;TradeSkillPostCap;;Furnishing;;;;;0;false;
Engineering_PostCap;@ui_engineering_postcap;1;true;true;TradeSkillPostCap;;Engineering;;;;;0;false;
Smelting_PostCap;@ui_smelting_postcap;1;true;true;TradeSkillPostCap;;Smelting;;;;;0;false;
Woodworking_PostCap;@ui_woodworking_postcap;1;true;true;TradeSkillPostCap;;Woodworking;;;;;0;false;
Leatherworking_PostCap;@ui_leatherworking_postcap;1;true;true;TradeSkillPostCap;;Leatherworking;;;;;0;false;
Weaving_PostCap;@ui_weaving_postcap;1;true;true;TradeSkillPostCap;;Weaving;;;;;0;false;
Stonecutting_PostCap;@ui_stonecutting_postcap;1;true;true;TradeSkillPostCap;;Stonecutting;;;;;0;false;
Skinning_PostCap;@ui_skinning_postcap;1;true;true;TradeSkillPostCap;;Skinning;;;;;0;false;
Mining_PostCap;@ui_mining_postcap;1;true;true;TradeSkillPostCap;;Mining;;;;;0;false;
Logging_PostCap;@ui_logging_postcap;1;true;true;TradeSkillPostCap;;Logging;;;;;0;false;
Harvesting_PostCap;@ui_harvesting_postcap;1;true;true;TradeSkillPostCap;;Harvesting;;;;;0;false;
Azoth_Currency;;0;false;false;AzothCurrency;;;;AzothGenerated;;;0;false;
Fishing;@ui_fishing;200;true;false;Fishing;;;Fishing_PostCap;;;;0;false;
CollectibleTest;;5;true;false;CollectiblesRankData;;;;;;fish_hotspot_40030_charted;0;false;
HWMLootBag;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootHead;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootChest;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootHands;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootLegs;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootFeet;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootAmulet;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootRing;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootToken;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootSword;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootHatchet;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLoot2HHammer;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLoot2HAxe;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootBow;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootMusket;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootShield;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootFireStaff;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootLifeStaff;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootRapier;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootSpear;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootIceMagic;;590;false;false;HWMLoot;;;;;;;500;false;
HWMLootVoidGauntlet;;590;false;false;HWMLoot;;;;;;;500;false;
74;@DevWorld_Red;300;true;false;Territory_Standing;TerritoryRankBonus_74;;;;;;0;false;
75;@DevWorld_Blue;300;true;false;Territory_Standing;TerritoryRankBonus_75;;;;;;0;false;
Camping;@ui_camping;5;true;false;Camping;;;;;;;0;true;lyshineui/images/campingrestrictions/campingAllowed.dds
SyndicateTokens;@ui_faction_name1;4;false;false;SyndicateTokens;;;;;;;0;false;
MarauderTokens;@ui_faction_name2;4;false;false;MarauderTokens;;;;;;;0;false;
CovenantTokens;@ui_faction_name3;4;false;false;CovenantTokens;;;;;;;0;false;
EventProgress;@ui_event_progress_name;4;true;false;EventRanks;;;;;;;0;true;lyshineui/images/icons/objectives/reward_eventProgress.dds
