Level;DisplayName;RequiredLevel;MaximumInfluence;InfluenceCost;CurrencyCost;SanityCheck;GameEventId;RecipeLevel;RollBonus;GatheringMultiplier;GatheringEfficiency;IconTypeUnlock;IsMilestone;Tooltip;EntitlementId;XpReward
43;;0;746;717;0;true;;0;430;0;1.069000005722046;;false;;;42
44;;0;775;746;0;true;;0;440;0;1.0720000267028809;;false;;;43
45;;0;805;775;0;true;;0;450;0;1.0750000476837158;;false;;;45
46;;0;836;805;0;true;;0;460;0;1.0779999494552612;;false;;;46
47;;0;868;836;0;true;;0;470;0;1.0809999704360962;;false;;;48
48;;0;901;868;0;true;;0;480;0;1.0839999914169312;;false;;;49
49;;0;935;901;0;true;;0;490;0;1.0870000123977661;;false;;;51
50;;0;970;935;0;true;;0;500;0;1.090000033378601;;false;;;52
51;;0;1006;970;0;true;;0;510;0;1.093000054359436;;false;;;54
52;;0;1043;1006;0;true;;0;520;0;1.0959999561309814;;false;;;56
53;;0;1081;1043;0;true;;0;530;0;1.0989999771118164;;false;;;58
54;;0;1120;1081;0;true;;0;540;0;1.1019999980926514;;false;;;60
55;;0;1160;1120;0;true;;0;550;0;1.1050000190734863;;false;;;62
56;;0;1201;1160;0;true;;0;560;0;1.1080000400543213;;false;;;64
57;;0;1243;1201;0;true;;0;570;0;1.1109999418258667;;false;;;66
58;;0;1286;1243;0;true;;0;580;0;1.1139999628067017;;false;;;68
59;;0;1330;1286;0;true;;0;590;0;1.1169999837875366;;false;;;70
60;;0;1375;1330;0;true;;0;600;0;1.1200000047683716;;false;;;72
61;;0;1421;1375;0;true;;0;610;0;1.1230000257492065;;false;;;74
62;;0;1468;1421;0;true;;0;620;0;1.1260000467300415;;false;;;76
63;;0;1516;1468;0;true;;0;630;0;1.128999948501587;;false;;;78
64;;0;1565;1516;0;true;;0;640;0;1.1319999694824219;;false;;;80
65;;0;1615;1565;0;true;;0;650;0;1.1349999904632568;;false;;;82
66;;0;1666;1615;0;true;;0;660;0;1.1380000114440918;;false;;;84
67;;0;1718;1666;0;true;;0;670;0;1.1410000324249268;;false;;;86
68;;0;1771;1718;0;true;;0;680;0;1.1440000534057617;;false;;;88
69;;0;1825;1771;0;true;;0;690;0;1.1469999551773071;;false;;;90
70;;0;1880;1825;0;true;;0;700;0;1.149999976158142;;false;;;92
71;;0;1936;1880;0;true;;0;710;0;1.152999997138977;;false;;;94
72;;0;1993;1936;0;true;;0;720;0;1.156000018119812;;false;;;96
73;;0;2051;1993;0;true;;0;730;0;1.159000039100647;;false;;;98
74;;0;2110;2051;0;true;;0;740;0;1.1619999408721924;;false;;;100
75;;0;2170;2110;0;true;;0;750;0;1.1649999618530273;;false;;;102
76;;0;2231;2170;0;true;;0;760;0;1.1679999828338623;;false;;;105
77;;0;2293;2231;0;true;;0;770;0;1.1710000038146973;;false;;;107
78;;0;2356;2293;0;true;;0;780;0;1.1740000247955322;;false;;;110
79;;0;2420;2356;0;true;;0;790;0;1.1770000457763672;;false;;;112
80;;0;2485;2420;0;true;;0;800;0;1.1799999475479126;;false;;;115
81;;0;2551;2485;0;true;;0;810;0;1.1829999685287476;;false;;;117
82;;0;2618;2551;0;true;;0;820;0;1.1859999895095825;;false;;;120
83;;0;2686;2618;0;true;;0;830;0;1.1890000104904175;;false;;;122
84;;0;2755;2686;0;true;;0;840;0;1.1920000314712524;;false;;;125
85;;0;2825;2755;0;true;;0;850;0;1.1950000524520874;;false;;;127
86;;0;2896;2825;0;true;;0;860;0;1.1979999542236328;;false;;;130
87;;0;2968;2896;0;true;;0;870;0;1.2009999752044678;;false;;;132
88;;0;3041;2968;0;true;;0;880;0;1.2039999961853027;;false;;;135
89;;0;3115;3041;0;true;;0;890;0;1.2070000171661377;;false;;;137
90;;0;3190;3115;0;true;;0;900;0;1.2100000381469727;;false;;;140
91;;0;3266;3190;0;true;;0;910;0;1.2130000591278076;;false;;;142
92;;0;3342;3266;0;true;;0;920;0;1.215999960899353;;false;;;145
93;;0;3419;3342;0;true;;0;930;0;1.218999981880188;;false;;;147
94;;0;3497;3419;0;true;;0;940;0;1.222000002861023;;false;;;150
95;;0;3576;3497;0;true;;0;950;0;1.225000023841858;;false;;;152
96;;0;3656;3576;0;true;;0;960;0;1.2280000448226929;;false;;;155
97;;0;3737;3656;0;true;;0;970;0;1.2309999465942383;;false;;;157
98;;0;3819;3737;0;true;;0;980;0;1.2339999675750732;;false;;;160
99;;0;3901;3819;0;true;;0;990;0;1.2369999885559082;;false;;;162
100;;0;3984;3901;0;true;;0;1000;0;1.2400000095367432;;false;;;165
101;;0;4068;3984;0;true;;0;1010;0;1.2430000305175781;;false;;;168
102;;0;4153;4068;0;true;;0;1020;0;1.246000051498413;;false;;;171
103;;0;4238;4153;0;true;;0;1030;0;1.2489999532699585;;false;;;174
104;;0;4324;4238;0;true;;0;1040;0;1.2519999742507935;;false;;;177
105;;0;4411;4324;0;true;;0;1050;0;1.2549999952316284;;false;;;180
106;;0;4498;4411;0;true;;0;1060;0;1.2580000162124634;;false;;;183
107;;0;4586;4498;0;true;;0;1070;0;1.2610000371932983;;false;;;186
108;;0;4674;4586;0;true;;0;1080;0;1.2640000581741333;;false;;;189
109;;0;4763;4674;0;true;;0;1090;0;1.2669999599456787;;false;;;192
110;;0;4853;4763;0;true;;0;1100;0;1.2699999809265137;;false;;;195
111;;0;4943;4853;0;true;;0;1110;0;1.2730000019073486;;false;;;198
112;;0;5034;4943;0;true;;0;1120;0;1.2760000228881836;;false;;;201
113;;0;5125;5034;0;true;;0;1130;0;1.2790000438690186;;false;;;204
114;;0;5217;5125;0;true;;0;1140;0;1.281999945640564;;false;;;207
115;;0;5309;5217;0;true;;0;1150;0;1.284999966621399;;false;;;210
116;;0;5402;5309;0;true;;0;1160;0;1.2879999876022339;;false;;;213
117;;0;5495;5402;0;true;;0;1170;0;1.2910000085830688;;false;;;216
118;;0;5588;5495;0;true;;0;1180;0;1.2940000295639038;;false;;;219
119;;0;5682;5588;0;true;;0;1190;0;1.2970000505447388;;false;;;222
120;;0;5776;5682;0;true;;0;1200;0;1.2999999523162842;;false;;;225
121;;0;5871;5776;0;true;;0;1210;0;1.3029999732971191;;false;;;228
122;;0;5966;5871;0;true;;0;1220;0;1.305999994277954;;false;;;231
123;;0;6061;5966;0;true;;0;1230;0;1.309000015258789;;false;;;234
124;;0;6157;6061;0;true;;0;1240;0;1.312000036239624;;false;;;237
125;@ui_wyrdwood;0;6253;6157;0;true;;0;1250;0;1.315000057220459;Wyrdwood;false;;;240
126;;0;6349;6253;0;true;;0;1260;0;1.3179999589920044;;false;;;243
127;;0;6445;6349;0;true;;0;1270;0;1.3209999799728394;;false;;;247
128;;0;6542;6445;0;true;;0;1280;0;1.3240000009536743;;false;;;250
129;;0;6639;6542;0;true;;0;1290;0;1.3270000219345093;;false;;;254
130;;0;6736;6639;0;true;;0;1300;0;1.3300000429153442;;false;;;257
131;;0;6832;6736;0;true;;0;1310;0;1.3329999446868896;;false;;;261
132;;0;6928;6832;0;true;;0;1320;0;1.3359999656677246;;false;;;264
133;;0;7024;6928;0;true;;0;1330;0;1.3389999866485596;;false;;;268
134;;0;7120;7024;0;true;;0;1340;0;1.3420000076293945;;false;;;271
135;;0;7216;7120;0;true;;0;1350;0;1.3450000286102295;;false;;;275
136;;0;7312;7216;0;true;;0;1360;0;1.3480000495910645;;false;;;278
137;;0;7408;7312;0;true;;0;1370;0;1.3509999513626099;;false;;;282
138;;0;7503;7408;0;true;;0;1380;0;1.3539999723434448;;false;;;285
139;;0;7598;7503;0;true;;0;1390;0;1.3569999933242798;;false;;;289
140;;0;7693;7598;0;true;;0;1400;0;1.3600000143051147;;false;;;292
141;;0;7788;7693;0;true;;0;1410;0;1.3630000352859497;;false;;;296
142;;0;7882;7788;0;true;;0;1420;0;1.3660000562667847;;false;;;299
143;;0;7976;7882;0;true;;0;1430;0;1.36899995803833;;false;;;303
144;;0;8070;7976;0;true;;0;1440;0;1.371999979019165;;false;;;306
145;;0;8164;8070;0;true;;0;1450;0;1.375;;false;;;310
146;;0;8257;8164;0;true;;0;1460;0;1.378000020980835;;false;;;313
147;;0;8350;8257;0;true;;0;1470;0;1.38100004196167;;false;;;317
148;;0;8443;8350;0;true;;0;1480;0;1.3839999437332153;;false;;;320
149;;0;8535;8443;0;true;;0;1490;0;1.3869999647140503;;false;;;324
150;;0;8627;8535;0;true;;0;1500;0;1.3899999856948853;;false;;;327
151;;0;8718;8627;0;true;;0;1510;0;1.3930000066757202;;false;;;331
152;;0;8809;8718;0;true;;0;1520;0;1.3960000276565552;;false;;;334
153;;0;8899;8809;0;true;;0;1530;0;1.3990000486373901;;false;;;338
154;;0;8989;8899;0;true;;0;1540;0;1.4019999504089355;;false;;;341
155;;0;9079;8989;0;true;;0;1550;0;1.4049999713897705;;false;;;345
156;;0;9168;9079;0;true;;0;1560;0;1.4079999923706055;;false;;;348
157;;0;9257;9168;0;true;;0;1570;0;1.4110000133514404;;false;;;352
158;;0;9345;9257;0;true;;0;1580;0;1.4140000343322754;;false;;;355
159;;0;9433;9345;0;true;;0;1590;0;1.4170000553131104;;false;;;359
160;;0;9520;9433;0;true;;0;1600;0;1.4199999570846558;;false;;;362
161;;0;9607;9520;0;true;;0;1610;0;1.4229999780654907;;false;;;366
162;;0;9693;9607;0;true;;0;1620;0;1.4259999990463257;;false;;;370
163;;0;9779;9693;0;true;;0;1630;0;1.4290000200271606;;false;;;374
164;;0;9864;9779;0;true;;0;1640;0;1.4320000410079956;;false;;;378
165;;0;9949;9864;0;true;;0;1650;0;1.434999942779541;;false;;;382
166;;0;10033;9949;0;true;;0;1660;0;1.437999963760376;;false;;;386
167;;0;10116;10033;0;true;;0;1670;0;1.440999984741211;;false;;;390
168;;0;10199;10116;0;true;;0;1680;0;1.444000005722046;;false;;;394
169;;0;10281;10199;0;true;;0;1690;0;1.4470000267028809;;false;;;398
170;;0;10363;10281;0;true;;0;1700;0;1.4500000476837158;;false;;;402
171;;0;10444;10363;0;true;;0;1710;0;1.4529999494552612;;false;;;406
172;;0;10525;10444;0;true;;0;1720;0;1.4559999704360962;;false;;;410
173;;0;10605;10525;0;true;;0;1730;0;1.4589999914169312;;false;;;414
174;;0;10684;10605;0;true;;0;1740;0;1.4620000123977661;;false;;;418
175;;0;10763;10684;0;true;;0;1750;0;1.465000033378601;;false;;;422
176;;0;10841;10763;0;true;;0;1760;0;1.468000054359436;;false;;;427
177;;0;10918;10841;0;true;;0;1770;0;1.4709999561309814;;false;;;431
178;;0;10994;10918;0;true;;0;1780;0;1.4739999771118164;;false;;;436
179;;0;11069;10994;0;true;;0;1790;0;1.4769999980926514;;false;;;440
180;;0;11143;11069;0;true;;0;1800;0;1.4800000190734863;;false;;;445
181;;0;11217;11143;0;true;;0;1810;0;1.4830000400543213;;false;;;449
182;;0;11290;11217;0;true;;0;1820;0;1.4859999418258667;;false;;;454
183;;0;11362;11290;0;true;;0;1830;0;1.4889999628067017;;false;;;458
184;;0;11433;11362;0;true;;0;1840;0;1.4919999837875366;;false;;;463
185;;0;11503;11433;0;true;;0;1850;0;1.4950000047683716;;false;;;467
186;;0;11573;11503;0;true;;0;1860;0;1.4980000257492065;;false;;;472
187;;0;11642;11573;0;true;;0;1870;0;1.5010000467300415;;false;;;476
188;;0;11710;11642;0;true;;0;1880;0;1.503999948501587;;false;;;481
189;;0;11777;11710;0;true;;0;1890;0;1.5069999694824219;;false;;;485
190;;0;11843;11777;0;true;;0;1900;0;1.5099999904632568;;false;;;490
191;;0;11909;11843;0;true;;0;1910;0;1.5130000114440918;;false;;;495
192;;0;11974;11909;0;true;;0;1920;0;1.5160000324249268;;false;;;500
193;;0;12038;11974;0;true;;0;1930;0;1.5190000534057617;;false;;;505
194;;0;12101;12038;0;true;;0;1940;0;1.5219999551773071;;false;;;510
195;;0;12163;12101;0;true;;0;1950;0;1.524999976158142;;false;;;515
196;;0;12225;12163;0;true;;0;1960;0;1.527999997138977;;false;;;520
197;;0;12286;12225;0;true;;0;1970;0;1.531000018119812;;false;;;525
198;;0;12346;12286;0;true;;0;1980;0;1.534000039100647;;false;;;530
199;;0;12405;12346;0;true;;0;1990;0;1.5369999408721924;;false;;;535
200;@ui_ironwood;0;12464;12405;0;true;;0;2000;0;1.5399999618530273;Ironwood;false;Chop Wyrdwood;;540
201;;0;2939;12464;0;true;;0;2010;0;1.9550000429153442;;false;;;578
202;;0;2961;2939;0;true;;0;2020;0;1.9600000381469727;;false;;;580
203;;0;2984;2961;0;true;;0;2030;0;1.965000033378601;;false;;;583
204;;0;3006;2984;0;true;;0;2040;0;1.9700000286102295;;false;;;585
205;;0;3029;3006;0;true;;0;2050;0;1.975000023841858;;false;;;588
206;;0;3051;3029;0;true;;0;2060;0;1.9800000190734863;;false;;;590
207;;0;3074;3051;0;true;;0;2070;0;1.9850000143051147;;false;;;593
208;;0;3096;3074;0;true;;0;2080;0;1.9900000095367432;;false;;;595
209;;0;3119;3096;0;true;;0;2090;0;1.9950000047683716;;false;;;598
210;;0;3141;3119;0;true;;0;2100;0;2;;false;;;600
211;;0;3164;3141;0;true;;0;2110;0;2.005000114440918;;false;;;603
212;;0;3186;3164;0;true;;0;2120;0;2.009999990463257;;false;;;605
213;;0;3209;3186;0;true;;0;2130;0;2.015000104904175;;false;;;608
214;;0;3231;3209;0;true;;0;2140;0;2.0199999809265137;;false;;;610
215;;0;3254;3231;0;true;;0;2150;0;2.0250000953674316;;false;;;613
216;;0;3276;3254;0;true;;0;2160;0;2.0299999713897705;;false;;;615
217;;0;3299;3276;0;true;;0;2170;0;2.0350000858306885;;false;;;618
218;;0;3321;3299;0;true;;0;2180;0;2.0399999618530273;;false;;;620
219;;0;3344;3321;0;true;;0;2190;0;2.0450000762939453;;false;;;623
220;;0;3366;3344;0;true;;0;2200;0;2.049999952316284;;false;;;625
221;;0;3389;3366;0;true;;0;2210;0;2.055000066757202;;false;;;628
222;;0;3411;3389;0;true;;0;2220;0;2.059999942779541;;false;;;630
223;;0;3434;3411;0;true;;0;2230;0;2.065000057220459;;false;;;633
224;;0;3456;3434;0;true;;0;2240;0;2.069999933242798;;false;;;635
225;;0;3479;3456;0;true;;0;2250;0;2.075000047683716;;false;Detect Wyrdwood;;638
226;;0;3501;3479;0;true;;0;2260;0;2.0799999237060547;;false;;;640
227;;0;3524;3501;0;true;;0;2270;0;2.0850000381469727;;false;;;643
228;;0;3546;3524;0;true;;0;2280;0;2.0899999141693115;;false;;;645
229;;0;3569;3546;0;true;;0;2290;0;2.0950000286102295;;false;;;648
230;;0;3591;3569;0;true;;0;2300;0;2.0999999046325684;;false;;;650
231;;0;3614;3591;0;true;;0;2310;0;2.1050000190734863;;false;;;653
232;;0;3636;3614;0;true;;0;2320;0;2.109999895095825;;false;;;655
233;;0;3659;3636;0;true;;0;2330;0;2.115000009536743;;false;;;658
234;;0;3681;3659;0;true;;0;2340;0;2.119999885559082;;false;;;660
235;;0;3704;3681;0;true;;0;2350;0;2.125;;false;;;663
236;;0;3726;3704;0;true;;0;2360;0;2.130000114440918;;false;;;665
237;;0;3749;3726;0;true;;0;2370;0;2.134999990463257;;false;;;668
238;;0;3771;3749;0;true;;0;2380;0;2.140000104904175;;false;;;670
239;;0;3794;3771;0;true;;0;2390;0;2.1449999809265137;;false;;;673
240;;0;3816;3794;0;true;;0;2400;0;2.1500000953674316;;false;;;675
241;;0;3839;3816;0;true;;0;2410;0;2.1549999713897705;;false;;;678
242;;0;3861;3839;0;true;;0;2420;0;2.1600000858306885;;false;;;680
243;;0;3884;3861;0;true;;0;2430;0;2.1649999618530273;;false;;;683
244;;0;3906;3884;0;true;;0;2440;0;2.1700000762939453;;false;;;685
245;;0;3929;3906;0;true;;0;2450;0;2.174999952316284;;false;;;688
246;;0;3951;3929;0;true;;0;2460;0;2.180000066757202;;false;;;690
247;;0;3974;3951;0;true;;0;2470;0;2.184999942779541;;false;;;693
248;;0;3996;3974;0;true;;0;2480;0;2.190000057220459;;false;;;695
249;;0;4019;3996;0;true;;0;2490;0;2.194999933242798;;false;;;698
250;;0;4041;4019;0;true;;0;2500;0;2.200000047683716;;false;Chop Ironwood;;700
251;;0;4064;4041;0;true;;0;2510;0;2.2049999237060547;;false;;;703
252;;0;4086;4064;0;true;;0;2520;0;2.2100000381469727;;false;;;705
253;;0;4109;4086;0;true;;0;2530;0;2.2149999141693115;;false;;;708
254;;0;4131;4109;0;true;;0;2540;0;2.2200000286102295;;false;;;710
255;;0;4154;4131;0;true;;0;2550;0;2.2249999046325684;;false;;;713
256;;0;4176;4154;0;true;;0;2560;0;2.2300000190734863;;false;;;715
257;;0;4199;4176;0;true;;0;2570;0;2.234999895095825;;false;;;718
258;;0;4221;4199;0;true;;0;2580;0;2.240000009536743;;false;;;720
259;;0;4244;4221;0;true;;0;2590;0;2.244999885559082;;false;;;723
260;;0;4266;4244;0;true;;0;2600;0;2.25;;false;;;725
261;;0;4289;4266;0;true;;0;2610;0;2.255000114440918;;false;;;728
262;;0;4311;4289;0;true;;0;2620;0;2.259999990463257;;false;;;730
263;;0;4334;4311;0;true;;0;2630;0;2.265000104904175;;false;;;733
264;;0;4356;4334;0;true;;0;2640;0;2.2699999809265137;;false;;;735
265;;0;4379;4356;0;true;;0;2650;0;2.2750000953674316;;false;;;738
266;;0;4401;4379;0;true;;0;2660;0;2.2799999713897705;;false;;;740
267;;0;4424;4401;0;true;;0;2670;0;2.2850000858306885;;false;;;743
268;;0;4446;4424;0;true;;0;2680;0;2.2899999618530273;;false;;;745
269;;0;4469;4446;0;true;;0;2690;0;2.2950000762939453;;false;;;748
270;;0;4491;4469;0;true;;0;2700;0;2.299999952316284;;false;;;750
271;;0;4514;4491;0;true;;0;2710;0;2.305000066757202;;false;;;753
272;;0;4536;4514;0;true;;0;2720;0;2.309999942779541;;false;;;755
273;;0;4559;4536;0;true;;0;2730;0;2.315000057220459;;false;;;758
274;;0;4581;4559;0;true;;0;2740;0;2.319999933242798;;false;;;760
275;;0;4604;4581;0;true;;0;2750;0;2.325000047683716;;false;;;763
276;;0;4626;4604;0;true;;0;2760;0;2.3299999237060547;;false;;;765
277;;0;4649;4626;0;true;;0;2770;0;2.3350000381469727;;false;;;768
278;;0;4671;4649;0;true;;0;2780;0;2.3399999141693115;;false;;;770
279;;0;4694;4671;0;true;;0;2790;0;2.3450000286102295;;false;;;773
280;;0;4716;4694;0;true;;0;2800;0;2.3499999046325684;;false;;;775
281;;0;4739;4716;0;true;;0;2810;0;2.3550000190734863;;false;;;778
282;;0;4761;4739;0;true;;0;2820;0;2.359999895095825;;false;;;780
283;;0;4784;4761;0;true;;0;2830;0;2.365000009536743;;false;;;783
284;;0;4806;4784;0;true;;0;2840;0;2.369999885559082;;false;;;785
285;;0;4829;4806;0;true;;0;2850;0;2.375;;false;;;788
286;;0;4851;4829;0;true;;0;2860;0;2.380000114440918;;false;;;790
287;;0;4874;4851;0;true;;0;2870;0;2.384999990463257;;false;;;793
288;;0;4896;4874;0;true;;0;2880;0;2.390000104904175;;false;;;795
289;;0;4919;4896;0;true;;0;2890;0;2.3949999809265137;;false;;;798
290;;0;4941;4919;0;true;;0;2900;0;2.4000000953674316;;false;;;800
291;;0;4964;4941;0;true;;0;2910;0;2.4049999713897705;;false;;;803
292;;0;4986;4964;0;true;;0;2920;0;2.4100000858306885;;false;;;805
293;;0;5009;4986;0;true;;0;2930;0;2.4149999618530273;;false;;;808
294;;0;5031;5009;0;true;;0;2940;0;2.4200000762939453;;false;;;810
295;;0;5054;5031;0;true;;0;2950;0;2.424999952316284;;false;;;813
296;;0;5076;5054;0;true;;0;2960;0;2.430000066757202;;false;;;815
297;;0;5099;5076;0;true;;0;2970;0;2.434999942779541;;false;;;818
298;;0;5121;5099;0;true;;0;2980;0;2.440000057220459;;false;;;820
299;;0;5144;5121;0;true;;0;2990;0;2.444999933242798;;false;;;823
300;;0;5166;5144;0;true;;0;3000;0;2.450000047683716;;false;Detect Ironwood;;825
301;;0;5400;5166;0;true;;0;3010;0;2.4600000381469727;;false;;;828
302;;0;5400;5400;0;true;;0;3020;0;2.4700000286102295;;false;;;830
303;;0;5400;5400;0;true;;0;3030;0;2.4800000190734863;;false;;;833
304;;0;5400;5400;0;true;;0;3040;0;2.490000009536743;;false;;;835
305;;0;5400;5400;0;true;;0;3050;0;2.5;;false;;;838
306;;0;5400;5400;0;true;;0;3060;0;2.509999990463257;;false;;;840
307;;0;5400;5400;0;true;;0;3070;0;2.5199999809265137;;false;;;843
308;;0;5400;5400;0;true;;0;3080;0;2.5299999713897705;;false;;;845
309;;0;5400;5400;0;true;;0;3090;0;2.5399999618530273;;false;;;848
310;;0;5400;5400;0;true;;0;3100;0;2.549999952316284;;false;;;850
311;;0;5400;5400;0;true;;0;3110;0;2.559999942779541;;false;;;853
312;;0;5400;5400;0;true;;0;3120;0;2.569999933242798;;false;;;855
313;;0;5400;5400;0;true;;0;3130;0;2.5799999237060547;;false;;;858
314;;0;5400;5400;0;true;;0;3140;0;2.5899999141693115;;false;;;860
315;;0;5400;5400;0;true;;0;3150;0;2.5999999046325684;;false;;;863
316;;0;5400;5400;0;true;;0;3160;0;2.609999895095825;;false;;;865
317;;0;5400;5400;0;true;;0;3170;0;2.619999885559082;;false;;;868
318;;0;5400;5400;0;true;;0;3180;0;2.630000114440918;;false;;;870
319;;0;5400;5400;0;true;;0;3190;0;2.640000104904175;;false;;;873
320;;0;5400;5400;0;true;;0;3200;0;2.6500000953674316;;false;;;875
321;;0;5400;5400;0;true;;0;3210;0;2.6600000858306885;;false;;;878
322;;0;5400;5400;0;true;;0;3220;0;2.6700000762939453;;false;;;880
323;;0;5400;5400;0;true;;0;3230;0;2.680000066757202;;false;;;883
324;;0;5400;5400;0;true;;0;3240;0;2.690000057220459;;false;;;885
325;;0;5400;5400;0;true;;0;3250;0;2.700000047683716;;false;;;888
326;;0;5400;5400;0;true;;0;3260;0;2.7100000381469727;;false;;;890
327;;0;5400;5400;0;true;;0;3270;0;2.7200000286102295;;false;;;893
328;;0;5400;5400;0;true;;0;3280;0;2.7300000190734863;;false;;;895
329;;0;5400;5400;0;true;;0;3290;0;2.740000009536743;;false;;;898
330;;0;5400;5400;0;true;;0;3300;0;2.75;;false;;;900
331;;0;5400;5400;0;true;;0;3310;0;2.759999990463257;;false;;;903
332;;0;5400;5400;0;true;;0;3320;0;2.7699999809265137;;false;;;905
333;;0;5400;5400;0;true;;0;3330;0;2.7799999713897705;;false;;;908
334;;0;5400;5400;0;true;;0;3340;0;2.7899999618530273;;false;;;910
335;;0;5400;5400;0;true;;0;3350;0;2.799999952316284;;false;;;913
336;;0;5400;5400;0;true;;0;3360;0;2.809999942779541;;false;;;915
337;;0;5400;5400;0;true;;0;3370;0;2.819999933242798;;false;;;918
338;;0;5400;5400;0;true;;0;3380;0;2.8299999237060547;;false;;;920
339;;0;5400;5400;0;true;;0;3390;0;2.8399999141693115;;false;;;923
340;;0;5400;5400;0;true;;0;3400;0;2.8499999046325684;;false;;;925
341;;0;5400;5400;0;true;;0;3410;0;2.859999895095825;;false;;;928
342;;0;5400;5400;0;true;;0;3420;0;2.869999885559082;;false;;;930
343;;0;5400;5400;0;true;;0;3430;0;2.880000114440918;;false;;;933
344;;0;5400;5400;0;true;;0;3440;0;2.890000104904175;;false;;;935
345;;0;5400;5400;0;true;;0;3450;0;2.9000000953674316;;false;;;938
346;;0;5400;5400;0;true;;0;3460;0;2.9100000858306885;;false;;;940
347;;0;5400;5400;0;true;;0;3470;0;2.9200000762939453;;false;;;943
348;;0;5400;5400;0;true;;0;3480;0;2.930000066757202;;false;;;945
349;;0;5400;5400;0;true;;0;3490;0;2.940000057220459;;false;;;948
350;;0;5400;5400;0;true;;0;3500;0;2.950000047683716;;false;;;950
351;;0;5400;5400;0;true;;0;3510;0;2.9600000381469727;;false;;;953
352;;0;5400;5400;0;true;;0;3520;0;2.9700000286102295;;false;;;955
353;;0;5400;5400;0;true;;0;3530;0;2.9800000190734863;;false;;;958
354;;0;5400;5400;0;true;;0;3540;0;2.990000009536743;;false;;;960
355;;0;5400;5400;0;true;;0;3550;0;3;;false;;;963
356;;0;5400;5400;0;true;;0;3560;0;3.009999990463257;;false;;;965
357;;0;5400;5400;0;true;;0;3570;0;3.0199999809265137;;false;;;968
358;;0;5400;5400;0;true;;0;3580;0;3.0299999713897705;;false;;;970
359;;0;5400;5400;0;true;;0;3590;0;3.0399999618530273;;false;;;973
