GatherableID;DisplayName;GatheringAction;GatheringType;FinalLootTable;LootTableDefaultMaterial;MinRespawnRate;MaxRespawnRate;Tradeskill;RequiredTradeskillLevel;DepletedGatherableID;BaseGatherTime;WaitForImpact;Restriction;AlignGatherer;GameEventID;ItemRestrictionId;ItemRestrictionQuantity;ResetGatherTimeOnEndInteraction;IsLootContainer;IsDynamicPoiTarget;RequireLootItems;IconTypeUnlock;IgnoreObstructions;RequireControllingFaction;AddedStatusEffect;RequiredStatusEffect;ConsumedStatusEffect;NumRequiredToGather
WinterTreeSmall;@WinterTree_DisplayName;Chopping;Chopping;TreeSmall;;420;600;Logging;0;0;15;true;ToolRequired;true;Gather_LoggingT2;;;false;false;false;;;false;false;;;;0
WinterTreeMedium;@WinterTreeMedium_DisplayName;Chopping;Chopping;TreeMedium;;630;900;Logging;0;0;20;true;ToolRequired;true;Gather_LoggingT3;;;false;false;false;;;false;false;;;;0
WinterTreeLarge;@WinterTreeLarge_DisplayName;Chopping;Chopping;TreeLarge;;714;1020;Logging;50;0;35;true;ToolRequired;true;Gather_LoggingT4;;;false;false;false;;MatureTrees;false;false;;;;0
TreeSoftwoodTinyDowned;@TreeSoftwoodTinyDowned_DisplayName;Chopping;Chopping;TreeTiny;;420;600;Logging;0;0;5;true;ToolRequired;true;Gather_LoggingT1;;;false;false;false;;;false;false;;;;0
TreeSoftwoodSmallDowned;@TreeSoftwoodSmallDowned_DisplayName;Chopping;Chopping;TreeSmall;;504;720;Logging;0;0;15;true;ToolRequired;true;Gather_LoggingT2;;;false;false;false;;;false;false;;;;0
TreeSoftwoodMediumDowned;@TreeSoftwoodMediumDowned_DisplayName;Chopping;Chopping;TreeMedium;;630;900;Logging;0;0;25;true;ToolRequired;true;Gather_LoggingT3;;;false;false;false;;;false;false;;;;0
TreeSoftwoodLargeDowned;@TreeSoftwoodLargeDowned_DisplayName;Chopping;Chopping;TreeLarge;;714;1020;Logging;50;0;35;true;ToolRequired;true;Gather_LoggingT4;;;false;false;false;;MatureTrees;false;false;;;;0
TreeSoftwoodHugeDowned;@TreeSoftwoodHugeDowned_DisplayName;Chopping;Chopping;TreeHuge;;840;1200;Logging;50;0;45;true;ToolRequired;true;Gather_LoggingT5;;;false;false;false;;MatureTrees;false;false;;;;0
TreeHardwoodTinyDowned;@TreeHardwoodTinyDowned_DisplayName;Chopping;Chopping;TreeTiny;;420;600;Logging;0;0;5;true;ToolRequired;true;Gather_LoggingT1;;;false;false;false;;;false;false;;;;0
TreeHardwoodSmallDowned;@TreeHardwoodSmallDowned_DisplayName;Chopping;Chopping;TreeSmall;;504;720;Logging;0;0;15;true;ToolRequired;true;Gather_LoggingT2;;;false;false;false;;;false;false;;;;0
TreeHardwoodMediumDowned;@TreeHardwoodMediumDowned_DisplayName;Chopping;Chopping;TreeMedium;;630;900;Logging;0;0;25;true;ToolRequired;true;Gather_LoggingT3;;;false;false;false;;;false;false;;;;0
TreeHardwoodLargeDowned;@TreeHardwoodLargeDowned_DisplayName;Chopping;Chopping;TreeLarge;;714;1020;Logging;50;0;35;true;ToolRequired;true;Gather_LoggingT4;;;false;false;false;;MatureTrees;false;false;;;;0
TreeHardwoodHugeDowned;@TreeHardwoodHugeDowned_DisplayName;Chopping;Chopping;TreeHuge;;840;1200;Logging;50;0;45;true;ToolRequired;true;Gather_LoggingT5;;;false;false;false;;MatureTrees;false;false;;;;0
TreeIronwoodTiny;@TreeIronwoodTiny_DisplayName;Chopping;Chopping;IronwoodTreeTiny;;630;900;Logging;175;0;35;true;ToolRequired;true;Gather_LoggingT11;;;false;false;false;;Ironwood;false;false;;;;0
TreeIronwoodSmall;@TreeIronwoodSmall_DisplayName;Chopping;Chopping;IronwoodTreeSmall;;756;1080;Logging;175;0;60;true;ToolRequired;true;Gather_LoggingT12;;;false;false;false;;Ironwood;false;false;;;;0
TreeIronwoodMedium;@TreeIronwoodMedium_DisplayName;Chopping;Chopping;IronwoodTreeMedium;;945;1350;Logging;175;0;85;true;ToolRequired;true;Gather_LoggingT13;;;false;false;false;;Ironwood;false;false;;;;0
TreeIronwoodLarge;@TreeIronwoodLarge_DisplayName;Chopping;Chopping;IronwoodTreeLarge;;1071;1530;Logging;175;0;110;true;ToolRequired;true;Gather_LoggingT14;;;false;false;false;;Ironwood;false;false;;;;0
TreeIronwoodHuge;@TreeIronwoodHuge_DisplayName;Chopping;Chopping;IronwoodTreeHuge;;1260;1800;Logging;175;0;135;true;ToolRequired;true;Gather_LoggingT15;;;false;false;false;;Ironwood;false;false;;;;0
TreeWyrdwoodTiny;@TreeWyrdwoodTiny_DisplayName;Chopping;Chopping;WyrdwoodTreeTiny;;840;1200;Logging;100;0;20;true;ToolRequired;true;Gather_LoggingT6;;;false;false;false;;Wyrdwood;false;false;;;;0
TreeWyrdwoodSmall;@TreeWyrdwoodSmall_DisplayName;Chopping;Chopping;WyrdwoodTreeSmall;;1008;1440;Logging;100;0;45;true;ToolRequired;true;Gather_LoggingT7;;;false;false;false;;Wyrdwood;false;false;;;;0
TreeWyrdwoodMedium;@TreeWyrdwoodMedium_DisplayName;Chopping;Chopping;WyrdwoodTreeMedium;;1260;1800;Logging;100;0;70;true;ToolRequired;true;Gather_LoggingT8;;;false;false;false;;Wyrdwood;false;false;;;;0
TreeWyrdwoodLarge;@TreeWyrdwoodLarge_DisplayName;Chopping;Chopping;WyrdwoodTreeLarge;;1428;2040;Logging;100;0;95;true;ToolRequired;true;Gather_LoggingT9;;;false;false;false;;Wyrdwood;false;false;;;;0
TreeWyrdwoodHuge;@TreeWyrdwoodHuge_DisplayName;Chopping;Chopping;WyrdwoodTreeHuge;;1680;2400;Logging;100;0;120;true;ToolRequired;true;Gather_LoggingT10;;;false;false;false;;Wyrdwood;false;false;;;;0
TreeWithered;@TreeSoftwoodTinyDowned_DisplayName;ChoppingVertical;Chopping;TreeSmall;;1680;2400;Logging;0;0;15;true;ToolRequired;true;Gather_LoggingT1;;;false;false;false;;;false;false;;;;0
CatTailSmall;@CatTailSmall_DisplayName;None;None;CatTailSmall;;60;90;Harvesting;0;0;0.5;false;NoToolNecessary;false;;;;false;false;false;;;false;false;;;;0
CatTailMedium;@CatTailMedium_DisplayName;None;None;CatTailMedium;;60;90;Harvesting;0;0;1;false;NoToolNecessary;false;;;;false;false;false;;;false;false;;;;0
CatTailLarge;@CatTailLarge_DisplayName;None;None;CatTailLarge;;60;90;Harvesting;0;0;1.5;false;NoToolNecessary;false;;;;false;false;false;;;false;false;;;;0
BriarLarge;@BriarLarge_DisplayName;None;None;BriarPlant;;60;90;Harvesting;0;0;2;false;NoToolNecessary;false;;;;false;false;false;;;false;false;;;;0
BushXSmall;@BushXSmall_DisplayName;None;None;BushXSmall;;60;90;Harvesting;0;0;1;false;NoToolNecessary;false;;;;false;false;false;;;false;false;;;;0
BushWithered;@BushXSmall_DisplayName;None;None;WitheredBush;;60;90;Harvesting;0;0;1;false;ItemRequired;false;;;;false;false;false;;;false;false;;;;0
BushSmall;@BushSmall_DisplayName;None;None;BushSmall;;60;90;Harvesting;0;0;0.5;false;ItemRequired;false;;;;false;false;false;;;false;false;;;;0
BushMedium;@BushMedium_DisplayName;None;None;BushMedium;;60;90;Harvesting;0;0;1;false;NoToolNecessary;false;;;;false;false;false;;;false;false;;;;0
BushLarge;@BushLarge_DisplayName;None;None;BushLarge;;60;90;Harvesting;0;0;1.5;false;NoToolNecessary;false;;;;false;false;false;;;false;false;;;;0
BushHuge;@BushHuge_DisplayName;None;None;BushHuge;;60;90;Harvesting;0;0;2;false;NoToolNecessary;false;;;;false;false;false;;;false;false;;;;0
BushSmallWoody;@BushSmallWoody_DisplayName;None;None;WitheredBush;;60;90;Harvesting;0;0;0.5;false;NoToolNecessary;false;;;;false;false;false;;;false;false;;;;0
BushMediumWoody;@BushSmallWoody_DisplayName;None;None;WitheredBush;;60;90;Harvesting;0;0;1;false;NoToolNecessary;false;;;;false;false;false;;;false;false;;;;0
BushLargeWoody;@BushSmallWoody_DisplayName;None;None;WitheredBush;;60;90;Harvesting;0;0;1.5;false;NoToolNecessary;false;;;;false;false;false;;;false;false;;;;0
BerryBushSmall;@BerryBushSmall_DisplayName;Cutting;Cutting;BerryBushSmall;;504;720;Harvesting;0;0;2.5;false;ToolRequired;false;Gather_HarvestingT1;;;false;false;false;;;false;false;;;;0
BerryBushMedium;@BerryBushMedium_DisplayName;Cutting;Cutting;BerryBushMedium;;630;900;Harvesting;0;0;4;false;ToolRequired;false;Gather_HarvestingT1;;;false;false;false;;;false;false;;;;0
BerryBushLarge;@BerryBushLarge_DisplayName;Cutting;Cutting;BerryBushLarge;;714;1020;Harvesting;0;0;6;false;ToolRequired;false;Gather_HarvestingT1;;;false;false;false;;;false;false;;;;0
BlueberryBushSmall;@BlueberryBushSmall_DisplayName;Cutting;Cutting;BlueberryBushSmall;;504;720;Harvesting;0;0;2.5;false;ToolRequired;false;Gather_HarvestingT1;;;false;false;false;;;false;false;;;;0
BlueberryBushMedium;@BlueberryBushMedium_DisplayName;Cutting;Cutting;BlueberryBushMedium;;630;900;Harvesting;0;0;4;false;ToolRequired;false;Gather_HarvestingT1;;;false;false;false;;;false;false;;;;0
BlueberryBushLarge;@BlueberryBushLarge_DisplayName;Cutting;Cutting;BlueberryBushLarge;;714;1020;Harvesting;0;0;6;false;ToolRequired;false;Gather_HarvestingT1;;;false;false;false;;;false;false;;;;0
SingleStone;@SingleStone_DisplayName;None;None;SingleStone;;60;90;None;0;0;0.25;false;NoToolNecessary;false;;;;false;false;false;;;false;false;;;;0
BoulderSmall;@BoulderSmall_DisplayName;Mining;Mining;BoulderFinishSmall;;300;480;Mining;0;0;15;true;ToolRequired;true;Gather_MiningT1;;;false;false;false;;;false;false;;;;0
BoulderMedium;@BoulderMedium_DisplayName;Mining;Mining;BoulderFinishMedium;;360;540;Mining;0;0;25;true;ToolRequired;true;Gather_MiningT2;;;false;false;false;;;false;false;;;;0
BoulderLarge;@BoulderLarge_DisplayName;Mining;Mining;BoulderFinishLarge;;420;660;Mining;0;0;35;true;ToolRequired;true;Gather_MiningT3;;;false;false;false;;;false;false;;;;0
BoulderLodestoneSmall;@LodestoneSmall_DisplayName;Mining;Mining;LodestoneFinishSmall;;756;1080;Mining;105;0;45;true;ToolRequired;true;Gather_MiningT4;;;false;false;false;;Lodestone;false;false;;;;0
BoulderLodestoneMedium;@LodestoneMedium_DisplayName;Mining;Mining;LodestoneFinishMedium;;945;1350;Mining;105;0;70;true;ToolRequired;true;Gather_MiningT5;;;false;false;false;;Lodestone;false;false;;;;0
BoulderLodestoneLarge;@LodestoneLarge_DisplayName;Mining;Mining;LodestoneFinishLarge;;1071;1530;Mining;105;0;95;true;ToolRequired;true;Gather_MiningT6;;;false;false;false;;Lodestone;false;false;;;;0
OreNugget;@OreNugget_DisplayName;None;None;OreNugget;;630;900;Mining;0;0;0.5;false;ToolRequired;true;;;;false;false;false;;;false;false;;;;0
OreVeinSmall;@OreVeinSmall_DisplayName;Mining;Mining;OreVeinFinishSmall;;504;720;Mining;0;0;15;true;ToolRequired;true;Gather_MiningT4;;;false;false;false;;;false;false;;;;0
OreVeinMedium;@OreVeinMedium_DisplayName;Mining;Mining;OreVeinFinishMedium;;630;900;Mining;0;0;25;true;ToolRequired;true;Gather_MiningT5;;;false;false;false;;;false;false;;;;0
OreVeinLarge;@OreVeinLarge_DisplayName;Mining;Mining;OreVeinFinishLarge;;714;1020;Mining;0;0;35;true;ToolRequired;true;Gather_MiningT6;;;false;false;false;;;false;false;;;;0
OreVeinStarmetalSmall;@StarmetalSmall_DisplayName;Mining;Mining;StarmetalOreVeinFinishSmall;;756;1080;Mining;100;0;70;true;ToolRequired;true;Gather_MiningT10;;;false;false;false;;Starmetal;false;false;;;;0
OreVeinStarmetalMedium;@StarmetalMedium_DisplayName;Mining;Mining;StarmetalOreVeinFinishMedium;;945;1350;Mining;100;0;95;true;ToolRequired;true;Gather_MiningT11;;;false;false;false;;Starmetal;false;false;;;;0
OreVeinStarmetalLarge;@StarmetalLarge_DisplayName;Mining;Mining;StarmetalOreVeinFinishLarge;;1071;1530;Mining;100;0;120;true;ToolRequired;true;Gather_MiningT12;;;false;false;false;;Starmetal;false;false;;;;0
OreVeinOrichalcumSmall;@OrichalcumSmall_DisplayName;Mining;Mining;OrichalcumOreVeinFinishSmall;;1008;1440;Mining;175;0;85;true;ToolRequired;true;Gather_MiningT13;;;false;false;false;;Orichalcum;false;false;;;;0
OreVeinOrichalcumMedium;@OrichalcumMedium_DisplayName;Mining;Mining;OrichalcumOreVeinFinishMedium;;1260;1800;Mining;175;0;110;true;ToolRequired;true;Gather_MiningT14;;;false;false;false;;Orichalcum;false;false;;;;0
OreVeinOrichalcumLarge;@OrichalcumLarge_DisplayName;Mining;Mining;OrichalcumOreVeinFinishLarge;;1428;2040;Mining;175;0;135;true;ToolRequired;true;Gather_MiningT15;;;false;false;false;;Orichalcum;false;false;;;;0
OrichalcumSpire;@DarknessOrichalcumSpire_DisplayName;Mining;Mining;OrichalcumSpire;;1008;1440;Mining;175;0;85;true;ToolRequired;true;Gather_MiningT10;;;false;false;false;;Orichalcum;false;false;;;;0
SandstoneSmall;@SandstoneSmall_DisplayName;Mining;Mining;SandstoneFinishSmall;;756;1080;Mining;105;0;45;true;ToolRequired;true;Gather_MiningT4;;;false;false;false;;;false;false;;;;0
SandstoneMedium;@SandstoneMedium_DisplayName;Mining;Mining;SandstoneFinishMedium;;945;1350;Mining;105;0;70;true;ToolRequired;true;Gather_MiningT5;;;false;false;false;;;false;false;;;;0
SandstoneLarge;@SandstoneLarge_DisplayName;Mining;Mining;SandstoneFinishLarge;;1071;1530;Mining;105;0;95;true;ToolRequired;true;Gather_MiningT6;;;false;false;false;;;false;false;;;;0
TurkeyNest;@TurkeyNest_DisplayName;None;None;TurkeyNest;;840;1200;None;0;0;3;false;NoToolNecessary;true;;;;false;false;false;;;false;false;;;;0
Turkey;@Turkey_DisplayName;Dressing;Dressing;Turkey;;1260;1800;Skinning;0;0;7;false;ToolRequired;true;Gather_SkinningT1;;;false;false;false;;;false;false;;;;0
TurkeyDomestic;@TurkeyDomestic_DisplayName;None;None;FarmTurkey;;1260;1800;None;0;0;7;false;NoToolNecessary;true;;;;false;false;false;;;false;false;;;;0
Rabbit;@Rabbit_DisplayName;Dressing;Dressing;RabbitSkinning;;1260;1800;Skinning;0;0;7;false;ToolRequired;true;Gather_SkinningT1;;;false;false;false;;;false;false;;;;0
PigDomestic;@PigDomestic_DisplayName;Dressing;Dressing;FarmPig;;1260;1800;Skinning;0;0;10;false;ToolRequired;true;Gather_SkinningT1;;;false;false;false;;;false;false;;;;0
Piglet;@Piglet_DisplayName;None;None;Piglet;;1260;1800;None;0;0;0.5;false;NoToolNecessary;true;;;;false;false;false;;;false;false;;;;0
TurkeyEgg;@TurkeyEgg_DisplayName;None;None;TurkeyEgg;;1260;1800;None;0;0;0.5;false;NoToolNecessary;true;;;;false;false;false;;;false;false;;;;0
Elk;@Elk_DisplayName;Dressing;Dressing;ElkSkinning;;1260;1800;Skinning;0;0;35;false;ToolRequired;true;Gather_SkinningT3;;;false;false;false;;;false;false;;;;0
ElkCorrupted;@Elk_DisplayName;Dressing;Dressing;ElkCorruptedSkinning;;1260;1800;Skinning;0;0;35;false;ToolRequired;true;Gather_SkinningT3;;;false;false;false;;;false;false;;;;0
Elk_Female;@Elk_Female_DisplayName;Dressing;Dressing;ElkFemaleSkinning;;1260;1800;Skinning;0;0;25;false;ToolRequired;true;Gather_SkinningT3;;;false;false;false;;;false;false;;;;0
Elk_Elemental;@Elk_Elemental_DisplayName;ChoppingVertical;Chopping;Elk_Elemental;;1260;1800;Logging;100;0;45;true;ToolRequired;true;Gather_LoggingT9;;;false;false;false;;;false;false;;;;0
SpringStagDroppings;@SpringStagDroppings_DisplayName;None;None;SpringStagDroppings;;420;600;None;0;0;0.5;false;NoToolNecessary;false;;;;false;false;false;;;false;false;;;;0
Horse;@Horse_DisplayName;Dressing;Dressing;Horse;;1260;1800;Skinning;0;0;25;false;ToolRequired;true;Gather_SkinningT2;;;false;false;false;;;false;false;;;;0
Bear;@Bear_DisplayName;Dressing;Dressing;BearSkinning;;1260;1800;Skinning;0;0;35;false;ToolRequired;true;Gather_SkinningT4;;;false;false;false;;;false;false;;;;0
BearCorrupted;@Bear_DisplayName;Dressing;Dressing;BearCorruptedSkinning;;1260;1800;Skinning;0;0;35;false;ToolRequired;true;Gather_SkinningT5;;;false;false;false;;;false;false;;;;0
BearT4;@Bear_DisplayName;Dressing;Dressing;BearSkinning;;1260;1800;Skinning;100;0;50;false;ToolRequired;true;Gather_SkinningT4;;;false;false;false;;;false;false;;;;0
BearT5;@Bear_DisplayName;Dressing;Dressing;BearSkinning;;1260;1800;Skinning;170;0;65;false;ToolRequired;true;Gather_SkinningT5;;;false;false;false;;;false;false;;;;0
BearBlack;@BearBlack_DisplayName;Dressing;Dressing;BearSkinning;;1260;1800;Skinning;0;0;25;false;ToolRequired;true;Gather_SkinningT4;;;false;false;false;;;false;false;;;;0
BearBlackT4;@BearBlack_DisplayName;Dressing;Dressing;BearSkinning;;1260;1800;Skinning;100;0;40;false;ToolRequired;true;Gather_SkinningT4;;;false;false;false;;;false;false;;;;0
BearBlackT5;@BearBlack_DisplayName;Dressing;Dressing;BearSkinning;;1260;1800;Skinning;175;0;55;false;ToolRequired;true;Gather_SkinningT4;;;false;false;false;;;false;false;;;;0
Bear_Elemental_Stone;@BearElemental_DisplayName;Mining;Mining;Bear_Elemental_Stone;;1260;1800;Mining;100;0;70;true;ToolRequired;true;Gather_MiningT6;;;false;false;false;;;false;false;;;;0
DamnedHound;@DamnedHound_DisplayName;Dressing;Dressing;WolfCorruptedSkinning;;1260;1800;Skinning;0;0;25;false;ToolRequired;true;Gather_SkinningT3;;;false;false;false;;;false;false;;;;0
Wolf;@Wolf_DisplayName;Dressing;Dressing;WolfSkinning;;1260;1800;Skinning;0;0;15;false;ToolRequired;true;Gather_SkinningT2;;;false;false;false;;;false;false;;;;0
WolfCorrupted;@Wolf_DisplayName;Dressing;Dressing;WolfCorruptedSkinning;;1260;1800;Skinning;0;0;15;false;ToolRequired;true;Gather_SkinningT2;;;false;false;false;;;false;false;;;;0
WolfT4;@Wolf_DisplayName;Dressing;Dressing;WolfSkinning;;1260;1800;Skinning;100;0;35;false;ToolRequired;true;Gather_SkinningT2;;;false;false;false;;;false;false;;;;0
WolfT5;@Wolf_DisplayName;Dressing;Dressing;WolfSkinning;;1260;1800;Skinning;175;0;50;false;ToolRequired;true;Gather_SkinningT2;;;false;false;false;;;false;false;;;;0
Wolf_Elemental_Ice;@Wolf_Elemental_DisplayName;Mining;Mining;Wolf_Elemental_Ice;;1260;1800;Mining;100;0;15;true;ToolRequired;true;Gather_MiningT7;;;false;false;false;;;false;false;;;;0
Wolf_Elemental_Wood;@Wolf_Elemental_DisplayName;ChoppingVertical;Chopping;Wolf_Elemental_Wood;;1260;1800;Logging;100;0;45;true;ToolRequired;true;Gather_LoggingT9;;;false;false;false;;;false;false;;;;0
Boar;@Boar_DisplayName;Dressing;Dressing;BoarSkinning;;1260;1800;Skinning;0;0;15;false;ToolRequired;true;Gather_SkinningT2;;;false;false;false;;;false;false;;;;0
Ghost_Hungry;@Ghost_Hungry_DisplayName;None;None;Ghost;;1260;1800;None;0;0;4;false;ToolOptional;true;;;;false;false;false;;;false;false;;;;0
Broken;@Broken_DisplayName;None;None;Ghost;;1260;1800;None;0;0;4;false;ToolOptional;true;;;;false;false;false;;;false;false;;;;0
Skeleton;@Skeleton_DisplayName;None;None;Ghost;;1260;1800;None;0;0;4;false;ToolOptional;true;;;;false;false;false;;;false;false;;;;0
Risen;@Risen_DisplayName;None;None;Risen;;1260;1800;None;0;0;3;false;ToolOptional;true;;;;false;false;false;;;false;false;;;;0
Bison;@Bison_DisplayName;Dressing;Dressing;BisonSkinning;;1260;1800;Skinning;0;0;50;false;ToolRequired;true;Gather_SkinningT3;;;false;false;false;;;false;false;;;;0
Mountain_Lion;@Mountain_Lion_DisplayName;Dressing;Dressing;CatSkinning;;1260;1800;Skinning;0;0;25;false;ToolRequired;true;Gather_SkinningT3;;;false;false;false;;;false;false;;;;0
Bobcat;@Bobcat_DisplayName;Dressing;Dressing;CatSkinning;;1260;1800;Skinning;0;0;25;false;ToolRequired;true;Gather_SkinningT3;;;false;false;false;;;false;false;;;;0
Lynx;@Lynx_DisplayName;Dressing;Dressing;CatSkinning;;1260;1800;Skinning;0;0;25;false;ToolRequired;true;Gather_SkinningT3;;;false;false;false;;;false;false;;;;0
Primal_Lion;@Primal_Lion_DisplayName;Dressing;Dressing;CatSkinning;;1260;1800;Skinning;0;0;25;false;ToolRequired;true;Gather_SkinningT3;;;false;false;false;;;false;false;;;;0
Boar_Strange;@Boar_Strange_DisplayName;Dressing;Dressing;BoarSkinning;;1260;1800;Skinning;0;0;15;false;ToolRequired;true;Gather_SkinningT3;;;false;false;false;;;false;false;;;;0
Bison_Strange;@Bison_Strange_DisplayName;Dressing;Dressing;BisonSkinning;;1260;1800;Skinning;0;0;50;false;ToolRequired;true;Gather_SkinningT5;;;false;false;false;;;false;false;;;;0
Elk_Strange;@Elk_Strange_DisplayName;Dressing;Dressing;ElkSkinning;;1260;1800;Skinning;0;0;35;false;ToolRequired;true;Gather_SkinningT4;;;false;false;false;;;false;false;;;;0
HempSmall;@HempSmall_DisplayName;Cutting;Cutting;HempSmallT1;;504;720;Harvesting;0;0;10;false;ToolRequired;false;Gather_HarvestingT4;;;false;false;false;;;false;false;;;;0
HempMedium;@HempMedium_DisplayName;Cutting;Cutting;HempMediumT1;;630;900;Harvesting;0;0;15;false;ToolRequired;false;Gather_HarvestingT5;;;false;false;false;;;false;false;;;;0
HempLarge;@HempLarge_DisplayName;Cutting;Cutting;HempLargeT1;;714;1020;Harvesting;0;0;25;false;ToolRequired;false;Gather_HarvestingT6;;;false;false;false;;;false;false;;;;0
HempSmallT4;@HempSmallT4_DisplayName;Cutting;Cutting;HempSmallT4;;504;720;Harvesting;100;0;30;false;ToolRequired;false;Gather_HarvestingT7;;;false;false;false;;harvestingplantT4;false;false;;;;0
HempMediumT4;@HempMediumT4_DisplayName;Cutting;Cutting;HempMediumT4;;630;900;Harvesting;100;0;45;false;ToolRequired;false;Gather_HarvestingT8;;;false;false;false;;harvestingplantT4;false;false;;;;0
HempLargeT4;@HempLargeT4_DisplayName;Cutting;Cutting;HempLargeT4;;714;1020;Harvesting;100;0;75;false;ToolRequired;false;Gather_HarvestingT9;;;false;false;false;;harvestingplantT4;false;false;;;;0
HempSmallT5;@HempSmallT5_DisplayName;Cutting;Cutting;HempSmallT5;;504;720;Harvesting;175;0;40;false;ToolRequired;false;Gather_HarvestingT10;;;false;false;false;;harvestingplantT5;false;false;;;;0
HempMediumT5;@HempMediumT5_DisplayName;Cutting;Cutting;HempMediumT5;;630;900;Harvesting;175;0;60;false;ToolRequired;false;Gather_HarvestingT11;;;false;false;false;;harvestingplantT5;false;false;;;;0
HempLargeT5;@HempLargeT5_DisplayName;Cutting;Cutting;HempLargeT5;;714;1020;Harvesting;175;0;100;false;ToolRequired;false;Gather_HarvestingT12;;;false;false;false;;harvestingplantT5;false;false;;;;0
FarmAzalea;@FarmAzalea_DisplayName;Cutting;Cutting;FarmAzalea;;7560;10800;Harvesting;0;0;5;false;ToolRequired;false;Gather_HarvestingT3;;;false;false;false;;;false;false;;;;0
FarmHemp;@FarmHemp_DisplayName;Cutting;Cutting;FarmHemp;;7560;10800;Harvesting;0;0;5;false;ToolRequired;false;Gather_HarvestingT3;;;false;false;false;;;false;false;;;;0
FarmWheat;@FarmWheat_DisplayName;Cutting;Cutting;FarmWheat;;7560;10800;Harvesting;0;0;5;false;ToolRequired;false;Gather_HarvestingT3;;;false;false;false;;;false;false;;;;0
FarmHerb;@FarmHerb_DisplayName;Cutting;Cutting;FarmHerb;;7560;10800;Harvesting;0;0;5;false;ToolRequired;false;Gather_HarvestingT3;;;false;false;false;;;false;false;;;;0
FarmBarley;@FarmBarley_DisplayName;Cutting;Cutting;FarmBarley;;7560;10800;Harvesting;0;0;5;false;ToolRequired;false;Gather_HarvestingT3;;;false;false;false;;;false;false;;;;0
FarmBeech;@FarmBeech_DisplayName;Cutting;Cutting;FarmBeech;;7560;10800;Harvesting;0;0;5;false;ToolRequired;false;Gather_HarvestingT3;;;false;false;false;;;false;false;;;;0
