TaskID;Type;FailOnCondition;ResetOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;EnforceLocationRequirement;TerritoryID;POITag;LootTag;PauseAndClearLootOnTaskComplete;GuranteedDropAttempts;TargetThreshold;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;OverrideLocation;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
darkness_task_major_corrupted_portal_container_first;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_darkness_task_major_corrupted_portal_container_desc;;0;;;;;false;darkness_task_complete_waves;darkness_task_kill_enemies;darkness_task_kill_enemies;darkness_task_kill_enemies;
darkness_task_complete_waves;TaskDarknessWaves;0;0;0;10;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_darkness_task_complete_waves_desc;;0;;;;;false;;;;;
darkness_task_kill_enemies;TaskDarknessKill;0;0;0;10;;;0;0;false;0;;;false;;;;;;;;Corrupted;;0;;;;;;;;;;;;;;;;0;;@objective_darkness_task_kill_enemies_desc;;0;;;;;false;;;;;
M_task_die;TaskDie;1;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_task_survive;;1;;;;;false;;;;;
M_task_die_reset;TaskDie;0;1;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_task_survive;;1;;;;;false;;;;;
M_task_acquire_X_items_POITag_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_story_task_search_containers;;0;;;;;false;M_task_acquire_X_items_at_mission_location;M_ReturnToGiver;;;
M_task_acquire_X_items_POITag_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_story_task_search_containers;;0;;;;;false;;;;;
M_task_acquire_X_items_POITag_territory_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_have_X_items_goto_territoryID_POITag;;0;;;;;false;M_task_goto_territoryID_POITag;M_task_acquire_X_items_at_mission_location;M_ReturnToGiver;;
M_task_acquire_X_items_POITag_territory_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_have_X_items_goto_territoryID_POITag;;0;;;;;false;;;;;
M_task_acquire_X_items_territory_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_have_X_items_goto_territoryID;;0;;;;;false;M_task_goto_territoryID;M_task_acquire_X_items_at_mission_location;M_ReturnToGiver;;
M_task_acquire_X_items_territory_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_have_X_items_goto_territoryID;;0;;;;;false;;;;;
M_task_aquire_X_items_kill_X_enemies_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items;;0;;;;;false;M_task_kill_acquire_X_items_at_mission_location;M_ReturnToGiver;;;
M_task_aquire_X_items_kill_X_enemies_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items;;0;;;;;false;;;;;
M_task_aquire_X_items_kill_X_enemies_POITag_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_POITag;;0;;;;;false;M_task_kill_acquire_X_items_at_mission_location;M_ReturnToGiver;;;
M_task_aquire_X_items_kill_X_enemies_POITag_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_POITag;;0;;;;;false;;;;;
M_task_aquire_X_items_kill_X_enemies_territory_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID;;0;;;;;false;M_task_kill_acquire_X_items_at_mission_location;M_ReturnToGiver;;;
M_task_aquire_X_items_kill_X_enemies_territory_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID;;0;;;;;false;;;;;
M_task_aquire_X_items_kill_X_enemies_POITag_territory_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID_POITag;;0;;;;;false;M_task_kill_acquire_X_items_at_mission_location;M_ReturnToGiver;;;
M_task_aquire_X_items_kill_X_enemies_POITag_territory_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID_POITag;;0;;;;;false;;;;;
M_task_goto_territoryID_POITag;TaskGoToPOITagOnTerritory;0;0;1;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_goto_territoryID_POITag;;0;;;;;false;;;;;
M_task_goto_POITag;TaskGoToPOITag;0;0;1;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_goto_POITag;;0;;;;;false;;;;;
M_task_goto_territoryID;TaskGoToTerritory;0;0;1;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_goto_territoryID;;0;;;;;false;;;;;
M_task_kill_X_enemies_at_mission_location;TaskKillContribution;0;0;0;1;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_poi;;0;;;;;false;;;;;
M_task_kill_acquire_X_items_at_mission_location;TaskHaveAndReturnItems;0;0;1;1;;;0;0;true;0;;;true;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;@objective_mission_task_kill_X_enemies_have_X_items_poi;;0;;;;;false;;;;;
M_task_kill_acquire_X_items;TaskHaveAndReturnItems;0;0;1;1;;;0;0;true;0;;;true;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;@objective_mission_task_kill_X_enemies_have_X_items_poi;;0;;;;;false;;;;;
M_task_acquire_X_items_at_mission_location;TaskHaveAndReturnItems;0;0;1;1;;;0;0;true;0;;;true;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;@objective_mission_task_search_containers;;0;;;;;false;;;;;
M_ReturnToGiver;TaskInteract;0;0;0;1;;;0;0;false;0;;;false;;;;;ReturnToGiver;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_desc_return_to_giver;;0;;;;;false;;;;;
M_killx_killtoken_location_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items;;0;;;;;false;M_task_kill_acquire_X_items_at_mission_location;M_ReturnToGiver;;;
M_fetch_killx_killtoken_location_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items;;0;;;;;false;M_fetch_killx_killtoken_location_container_first;M_ReturnToGiver;;;
M_fetch_killx_killtoken_location_container_first;SimpleTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items;;0;;;;;false;M_task_acquire_X_items_at_mission_location;M_task_kill_X_enemies_at_mission_location;M_task_kill_acquire_X_items_at_mission_location;;
M_ReturnToAnyGiver;TaskInteract;0;0;0;1;;;0;0;false;0;;;false;;;;;ReturnToGiver;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_desc_return_to_any_giver;;0;;;;;false;;;;;
CM_task_acquire_X_items_POITag_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_story_task_search_containers;;0;;;;;false;M_task_acquire_X_items_at_mission_location;CM_ReturnToGiver;;;
CM_task_acquire_X_items_POITag_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_story_task_search_containers;;0;;;;;false;;;;;
CM_task_acquire_X_items_POITag_territory_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_have_X_items_goto_territoryID_POITag;;0;;;;;false;M_task_goto_territoryID_POITag;M_task_acquire_X_items_at_mission_location;CM_ReturnToGiver;;
CM_task_acquire_X_items_POITag_territory_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_have_X_items_goto_territoryID_POITag;;0;;;;;false;;;;;
CM_task_acquire_X_items_territory_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_have_X_items_goto_territoryID;;0;;;;;false;M_task_goto_territoryID;M_task_acquire_X_items_at_mission_location;CM_ReturnToGiver;;
CM_task_acquire_X_items_territory_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_have_X_items_goto_territoryID;;0;;;;;false;;;;;
CM_task_aquire_X_items_kill_X_enemies_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items;;0;;;;;false;M_task_kill_X_enemies;M_task_kill_acquire_X_items_at_mission_location;CM_ReturnToGiver;;
CM_task_aquire_X_items_kill_X_enemies_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items;;0;;;;;false;;;;;
CM_task_aquire_X_items_kill_X_enemies_POITag_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_POITag;;0;;;;;false;M_task_goto_POITag;M_task_kill_X_enemies_at_mission_location;M_task_kill_acquire_X_items_at_mission_location;CM_ReturnToGiver;
CM_task_aquire_X_items_kill_X_enemies_POITag_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_POITag;;0;;;;;false;;;;;
CM_task_aquire_X_items_kill_X_enemies_territory_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID;;0;;;;;false;M_task_goto_territoryID;M_task_kill_X_enemies_at_mission_location;M_task_kill_acquire_X_items_at_mission_location;CM_ReturnToGiver;
CM_task_aquire_X_items_kill_X_enemies_territory_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID;;0;;;;;false;;;;;
CM_task_aquire_X_items_kill_X_enemies_POITag_territory_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID_POITag;;0;;;;;false;M_task_goto_territoryID_POITag;M_task_kill_X_enemies_at_mission_location;M_task_kill_acquire_X_items_at_mission_location;CM_ReturnToGiver;
CM_task_aquire_X_items_kill_X_enemies_POITag_territory_container_first;SimpleTaskContainer;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID_POITag;;0;;;;;false;;;;;
CM_task_goto_territoryID_POITag;TaskGoToPOITagOnTerritory;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_goto_territoryID_POITag;;0;;;;;false;;;;;
CM_task_goto_POITag;TaskGoToPOITag;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_goto_POITag;;0;;;;;false;;;;;
CM_task_goto_territoryID;TaskGoToTerritory;0;0;1;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_goto_territoryID;;0;;;;;false;;;;;
CM_task_kill_X_enemies_at_mission_location;TaskKillContribution;0;0;0;1;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_poi;;0;;;;;false;;;;;
CM_task_kill_acquire_X_items_at_mission_location;TaskHaveAndReturnItems;0;0;1;1;;;0;0;true;0;;;true;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;@objective_mission_task_kill_X_enemies_have_X_items_poi;;0;;;;;false;;;;;
CM_task_acquire_X_items_at_mission_location;TaskHaveAndReturnItems;0;0;1;1;;;0;0;true;0;;;true;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;@objective_mission_task_search_containers;;0;;;;;false;;;;;
CM_ReturnToGiver;TaskInteract;0;0;0;1;;;0;0;true;0;;;false;;;;;ReturnToGiver;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_desc_return_to_giver_cm;;0;;;;;false;;;;;
CM_task_kill_X_enemies_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;0;;;;;false;M_task_kill_X_enemies;CM_ReturnToGiver;;;
CM_task_transport_item_container;SimpleTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;0;;;;;false;M_task_give_transport_item;M_task_have_transport_item;M_task_courier_timer_Xs;CM_ReturnToGiver;
CM_task_acquire_X_items_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;true;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;0;;;;;false;M_task_have_X_items;CM_ReturnToGiver;;;
CM_task_craft_workorder_items_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;0;;;;;false;M_task_give_workorder_item;M_task_have_crafted_workorder_item;CM_ReturnToGiver;;
PVP_task_acquire_X_items_POITag_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_story_task_search_containers;;0;;;;;false;PVP_task_acquire_X_items_POITag_container_first;M_ReturnToGiver;;;
PVP_task_acquire_X_items_POITag_container_first;SimpleTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_task_pvp;;0;;;;;false;M_task_acquire_X_items_at_mission_location;M_task_die;;;
PVP_task_acquire_X_items_POITag_territory_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_have_X_items_goto_territoryID_POITag;;0;;;;;false;PVP_task_acquire_X_items_POITag_territory_container_first;M_ReturnToGiver;;;
PVP_task_acquire_X_items_POITag_territory_container_first;SimpleTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_task_pvp;;0;;;;;false;M_task_goto_territoryID_POITag;M_task_acquire_X_items_at_mission_location;M_task_die;;
PVP_task_acquire_X_items_territory_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_have_X_items_goto_territoryID;;0;;;;;false;PVP_task_acquire_X_items_territory_container_first;M_ReturnToGiver;;;
PVP_task_acquire_X_items_territory_container_first;SimpleTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_task_pvp;;0;;;;;false;M_task_goto_territoryID;M_task_acquire_X_items_at_mission_location;M_task_die;;
PVP_task_aquire_X_items_kill_X_enemies_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items;;0;;;;;false;PVP_task_aquire_X_items_kill_X_enemies_container_first;M_ReturnToGiver;;;
PVP_task_aquire_X_items_kill_X_enemies_container_first;SimpleTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_task_pvp;;0;;;;;false;M_task_kill_acquire_X_items_at_mission_location;M_task_die;;;
PVP_task_aquire_X_items_kill_X_enemies_POITag_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_POITag;;0;;;;;false;PVP_task_aquire_X_items_kill_X_enemies_POITag_container_first;M_ReturnToGiver;;;
PVP_task_aquire_X_items_kill_X_enemies_POITag_container_first;SimpleTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_task_pvp;;0;;;;;false;M_task_kill_acquire_X_items_at_mission_location;M_task_die;;;
PVP_task_aquire_X_items_kill_X_enemies_territory_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID;;0;;;;;false;PVP_task_aquire_X_items_kill_X_enemies_territory_container_first;M_ReturnToGiver;;;
PVP_task_aquire_X_items_kill_X_enemies_territory_container_first;SimpleTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_task_pvp;;0;;;;;false;M_task_kill_acquire_X_items_at_mission_location;M_task_die;;;
PVP_task_aquire_X_items_kill_X_enemies_POITag_territory_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID_POITag;;0;;;;;false;PVP_task_aquire_X_items_kill_X_enemies_POITag_territory_container_first;M_ReturnToGiver;;;
PVP_task_aquire_X_items_kill_X_enemies_POITag_territory_container_first;SimpleTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;0;;;;;false;M_task_kill_acquire_X_items_at_mission_location;M_task_die;;;
PVP_task_kill_X_enemies_container_location;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;0;;;;;false;PVP_task_kill_X_enemies_container_location_first;M_ReturnToGiver;;;
PVP_task_kill_X_enemies_container_location_first;SimpleTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_task_pvp;;0;;;;;false;M_task_kill_X_enemies_at_mission_location;M_task_die;;;
PVP_task_kill_X_enemies_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;0;;;;;false;PVP_task_kill_X_enemies_container_first;M_ReturnToGiver;;;
PVP_task_kill_X_enemies_container_first;SimpleTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_task_pvp;;0;;;;;false;M_task_kill_X_enemies;M_task_die;;;
PVP_task_transport_item_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;0;;;;;false;PVP_task_transport_item_container_first;M_ReturnToGiver;;;
PVP_task_transport_item_container_first;SimpleTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_task_pvp;;0;;;;;false;M_task_give_transport_item;M_task_have_transport_item;M_task_die;;
PVP_task_acquire_X_items_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;0;;;;;false;PVP_task_acquire_X_items_container_first;M_ReturnToGiver;;;
PVP_task_acquire_X_items_container_first;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;0;;;;;false;M_task_have_X_items;M_task_die;;;
PVP_task_patrol_container;ConsecutiveTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_patrol_windsward;;0;;;;;false;PVP_task_patrol_container_first;M_ReturnToGiver;;;
PVP_task_patrol_container_first;SimpleTaskContainer;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_task_pvp;;0;;;;;false;PVP_task_patrol;M_task_die;;;
PVP_task_patrol;PatrolTask;0;0;0;0;;;0;0;false;0;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_patrol_timer;;0;;;;;false;;;;;
