DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;IsAbility;AttackType;DamageType;Affliction;AddAffliction;AfflictionPercent;StatusEffect;EffectOnlyOnDamage;SurfaceImpactEffect;DeflectDamageID;CanCrit;Unblockable;AttackDealsNoDurability;NoHeadshot;NoBackstab;NoLegShots;CancelTargetHoming;DmgCoef;DmgCoefHead;DmgCoefCrit;DurabilityCostOverride;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;StaggerResistModifier;CritStaggerDmgModifier;HitRateDmgModifier;MaxHitRateDmgMod;CameraShakeID;TargetCameraShakeID;BlockCameraShakeID;BlockTargetCameraShakeID;CritCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;LOSCheckVerticalAngleOffset;StunBreakoutIncrement;ThreatMultiplier;AddThreat;IsTaunt;TauntDuration;TauntThreatBoostPercentage;TauntMinimumThreatValue;UseAttackerPosForReaction
2H_Club_Attack1_Run;Club;0;0;false;false;Heavy;Strike;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.5;1.2999999523162842;;0;5;5;5;35;30;35;0;2.299999952316284;0;0.800000011920929;0;1;0;0;0;2.299999952316284;0;0.800000011920929;0;1;1;0;0;0;;;;;;;4;1;1;0;1;1;0;false;0;0;0;false
2H_Spear_PrimaryAttack;Spear;0;0;false;false;Light;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1;1.2999999523162842;;0;0;0;0;15;10;15;0;0.5;0;0.800000011920929;0;0;0;0;0;0.5;0;0.800000011920929;0;0.4000000059604645;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;2;0.4000000059604645;1;0;0;1;0;false;0;0;0;false
2H_Spear_PrimaryAttack_End;Spear;0;0;false;false;Light;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1;1.2999999523162842;;0;0;0;0;15;10;15;0;0.5;0;0.800000011920929;0;0;0;0;0;0.5;0;0.800000011920929;0;0.4000000059604645;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;2;0.4000000059604645;1;0;0;1;0;false;0;0;0;false
2H_Spear_HeavyAttack;Spear;0;0;false;false;Heavy;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.2999999523162842;1.2999999523162842;;0;0;0;0;35;25;35;0;1.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1.75;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;1.75;1;0;0;1;0;false;0;0;0;false
2H_Spear_HeavyAttack_Charged;Spear;0;0;false;false;Heavy;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.649999976158142;1.2999999523162842;;0;0;0;0;35;30;35;0;1.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2.5;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;2.5;1;0;0;1;0;false;0;0;0;false
2H_Spear_Javelin;Spear_Throw;0;0;true;true;Ability;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.25;1.2999999523162842;;0;3;2;3;35;25;35;0;3;0;0.800000011920929;0;0.5;0;0.800000011920929;0;3;0;0.800000011920929;0;1.25;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;1.25;1;0;1;1;0;false;0;0;0;false
2H_Spear_Javelin_Knockback;Spear_Throw;0;0;true;true;Ability;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.25;1.2999999523162842;;0;4;3;4;45;35;45;0;4;0;0.800000011920929;0;0.5;0;0.800000011920929;0;4;0;0.800000011920929;0;1.25;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;1.25;1;0;1;1;0;false;0;0;0;false
2H_Spear_Skewer_Stab;Spear;0;0;false;true;Ability;Thrust;;0;;Spear_Skewer_Bleed;TRUE;Bullet;Deflect_Default;false;false;;false;false;false;false;1.25;1.2999999523162842;;0;0;0;0;35;25;35;0;1.5;0;0.800000011920929;0;0.75;0;0.800000011920929;0;1.5;0;0.800000011920929;0;0.5;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;0.5;1;0;0;1;0;false;0;0;0;false
2H_Spear_Skewer_Bleed;Spear;0;0;false;true;Ability;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.25;1.2999999523162842;;0;0;0;0;35;25;35;0;1.5;0;0.800000011920929;0;0.75;0;0.800000011920929;0;1.5;0;0.800000011920929;0;0.5;1;0;0;0;;;;;;;3;0.5;1;0;0;1;0;false;0;0;0;false
2H_Spear_Perforate;Spear;0;0;false;true;Ability;Thrust;;0;;Spear_Perforate_Rend;TRUE;Bullet;Deflect_Default;false;false;;false;false;false;false;0.699999988079071;1.2999999523162842;;0;0;0;0;25;18;25;0;0.5;0;0.800000011920929;0;0;0;0;0;0.5;0;0.800000011920929;0;0.5;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;0.5;1;0;0;1;0;false;0;0;0;false
2H_Spear_Sweep;Spear;0;0;false;true;Ability;Strike;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;0.75;1.2999999523162842;;0;5;2;5;35;20;35;0;0;0;0.800000011920929;0;0;0;0;0;0;0;0.800000011920929;0;0.5;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;0.5;1;40;1;1;0;false;0;0;0;false
2H_Spear_Sweep_Finish;Spear;0;0;false;true;Ability;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.25;1.2999999523162842;;0;0;0;0;30;20;30;0;0;0;0.800000011920929;0;0;0;0;0;0;0;0.800000011920929;0;0.5;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;0.5;1;0;0;1;0;false;0;0;0;false
2H_Spear_Cyclone;Spear;0;0;false;true;Ability;Strike;;0;;Spear_Cyclone_Slow;TRUE;Bullet;Deflect_Default;false;false;;false;false;false;false;1.100000023841858;1.2999999523162842;;0;0;0;0;0;0;0;0;3;0;0.800000011920929;0;2.5;0;0.800000011920929;0;3;0;0.800000011920929;0;1;1.25;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;1;1;0;0;1;0;false;0;0;0;false
2H_Spear_VaultKick;Spear;0;0;false;true;Ability;Strike;;0;;Spear_VaultKick_Stun;TRUE;Bullet;Deflect_Default;false;false;;false;false;false;false;0.75;1.2999999523162842;;0;2;2;2;25;20;25;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;3.25;1.25;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;3.25;1;0;1;1;0;true;2;0.15000000596046448;1500;false
MusketAttack1;Musket;0;0;true;false;Light;Thrust;;0;;;;Bullet;;false;false;;false;false;false;false;1;1.2999999523162842;;0;0;0;0;20;15;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;1;0;0;0;;;;;;;0;0.5;1;0;0;1;0;false;0;0;0;false
MusketAttack_ShootersStance;Musket;0;0;true;false;Light;Thrust;;0;;;;Bullet;;false;false;;false;false;false;false;1;1.2999999523162842;;0;0;0;0;20;15;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4000000059604645;1;0;0;0;;;;;;;0;0.4000000059604645;1;0;0;1;0;false;0;0;0;false
Musket_SpecialAttack;Musket;0;0;false;false;Light;Strike;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.25;1.2999999523162842;;0;3;3;3;35;30;35;0;1.25;0;0.800000011920929;0;0.5;0;0.8500000238418579;0;1.25;0;0.800000011920929;0;0.800000011920929;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;0.800000011920929;1;0;1;1;0;false;0;0;0;false
Musket_Damage_PowderBurn;Musket;0;0;true;true;Ability;Thrust;;0;;Musket_PowderBurn_Burn;TRUE;Bullet;Deflect_Default;false;false;;false;false;false;false;1.100000023841858;1.2999999523162842;;0;0;0;0;20;15;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;Large_short;;;;;0;1;1;0;0;1;0;false;0;0;0;false
Musket_Damage_PowderBurn_Upg;Musket;0;0;true;true;Ability;Thrust;;0;;Musket_PowderBurn_BurnExtend;TRUE;Bullet;Deflect_Default;false;false;;false;false;false;false;1.100000023841858;1.2999999523162842;;0;0;0;0;20;15;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;Large_short;;;;;0;1;1;0;0;1;0;false;0;0;0;false
MusketAttack_ChargedShot;Musket;0;0;true;true;Ability;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.5;1.2999999523162842;;0;0;0;0;20;15;20;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;;Large_short;;;;;0;1.25;1;0;0;1;0;false;0;0;0;false
Musket_Damage_StoppingPower;Musket;0;0;true;true;Ability;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.2000000476837158;1.2999999523162842;;0;3;3;3;20;15;20;0;3;0;0.800000011920929;0;1;0;0.800000011920929;0;3;0;0.800000011920929;0;2;1;0;0;0;;Large_short;;;;;0;1.25;1;0;1;1;0;false;0;0;0;false
MusketAttack2;Musket;0;0;true;false;Light;Strike;;0;;;;Bullet;;false;false;;false;false;false;false;1;1.2999999523162842;;0;1;1;1;20;15;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;;;;;;0;1;1;0;1;1;0;false;0;0;0;false
Musket_Trap_Toss;Musket;0;1;true;true;Ability;Strike;;0;;;;Bullet;;false;false;;true;false;true;false;0;1.2999999523162842;;0;0;0;0;20;15;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;;;;;;0;1;1;0;0;1;0;false;0;0;0;false
Musket_Trap;Musket;0;0;false;true;Ability;Strike;;0;;Musket_Trap_Root;;Bullet;;false;false;;true;false;false;false;0;1.2999999523162842;;0;0;0;0;20;15;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;;;;;;0;1;1;0;0;1;0;false;0;0;0;false
Musket_Trap_DMG;Musket;0;1;true;true;Ability;Strike;;0;;Musket_Trap_Root_DMG;;Bullet;;false;false;;true;false;true;false;0;1.2999999523162842;;0;0;0;0;20;15;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;;;;;;0;1;1;0;0;1;0;false;0;0;0;false
Musket_StickyBomb_Projectile;StickyBomb;0;1;true;true;Ability;Fire;;0;;;;Bullet;Deflect_Default;false;false;;true;false;true;false;0;1.2999999523162842;;0;0;0;0;15;12;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;2;0;1;0;0;1;0;false;0;0;0;false
Musket_StickyBomb_Explosion;StickyBomb;0;0;true;true;Ability;Fire;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.75;1.2999999523162842;;0;3;3;3;35;30;35;0;2;0;0.8500000238418579;0;0.5;0;0.800000011920929;0;2;0;0.8500000238418579;0;1;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;1;1;0;1;1;0;false;0;0;0;false
Musket_Sacrifice_AOE;Musket;0;0;false;true;Ability;Fire;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.5;1.2999999523162842;;0;4;3;4;45;35;45;0;2;0;0.8500000238418579;0;0.5;0;0.800000011920929;0;2;0;0.8500000238418579;200;0.699999988079071;1;0;0;0;Large_short;Large_short;Large_short;Large_short;Large_short;Large_short;3;0.699999988079071;1;0;1;1;0;false;0;0;0;false
Musket_Sacrifice_AOE_No_Shake;Musket;0;1;false;true;Ability;Fire;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.5;1.2999999523162842;;0;4;3;4;45;35;45;0;0;0;0;0;0;0;0;0;0;0;0;200;0.699999988079071;1;0;0;0;;;;;;;3;0.699999988079071;1;0;1;1;0;false;0;0;0;false
2H_Firearm_Gunbutt;Musket_Heavy;0;0;false;false;Light;Strike;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;0.5;1.2999999523162842;;0;0;0;0;30;25;30;0;3;0;0.800000011920929;0;0.5;0;0.8500000238418579;0;3;0;0.800000011920929;0;0.800000011920929;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;0.800000011920929;1;0;1;1;0;false;0;0;0;false
1H_Sword_Attack1;Sword;0;0;false;false;Light;Slash;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1;1.2999999523162842;;0;0;0;0;15;10;20;0;0.5;0;0.800000011920929;0;0;0;0;0;0.5;0;0.800000011920929;0;0.4000000059604645;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;2;0.4000000059604645;1.2000000476837158;0;0;1;0;false;0;0;0;false
1H_Sword_Attack1_Ender;Sword;0;0;false;false;Light;Slash;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.0499999523162842;1.2999999523162842;;0;0;0;0;30;20;30;0;0.5;0;0.8500000238418579;0;0;0;0;0;0.5;0;0.8500000238418579;0;0.4000000059604645;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;0.4000000059604645;1.100000023841858;0;0;1;0;false;0;0;0;false
1H_Sword_Attack2;Sword;0;0;false;false;Heavy;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.2000000476837158;1.2999999523162842;;0;0;0;0;25;20;30;0;0.5;0;0.800000011920929;0;0;0;0.800000011920929;0;0.5;0;0.800000011920929;0;2;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;2;1;0;0;1;0;false;0;0;0;false
1H_Sword_Attack2_Charged;Sword;0;0;false;false;Heavy;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.600000023841858;1.2999999523162842;;0;0;0;0;25;20;30;0;0.5;0;0.800000011920929;0;0;0;0.800000011920929;0;0.5;0;0.800000011920929;0;3;1;1;1;1;Small;Small;Small;Small;Large_short;Large_short;3;3;1;0;0;1;0;false;0;0;0;false
1H_Sword_Attack_Spec;Sword;0;0;false;false;Ability;Slash;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.25;1.2999999523162842;;0;2;2;2;30;25;30;0;0;0;1;0;0;0;0;0;0;0;1;0;0.5;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;2;0.5;1;0;1;1;0;false;0;0;0;false
1H_Sword_Attack_Spec2;Sword;0;0;false;false;Ability;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;2;1.2999999523162842;;0;7;3;7;40;25;40;0;0;0;1;0;0.5;0;0.800000011920929;0;0;0;1;0;0.75;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;0.75;1;0;1;1;0;false;0;0;0;false
1H_Sword_Attack_Spec3;Sword;0;0;false;false;Ability;Slash;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;2;1.2999999523162842;;0;3;3;3;30;25;30;0;1.25;0;0.800000011920929;0;0.5;0;0;0;1.25;0;0.800000011920929;0;0.75;1;0;0;0;Large_short;Large_short;Large_short;Large_short;Large_short;Large_short;3;0.75;1;0;1;1;0;false;0;0;0;false
1H_Sword_Attack_Exhausted;Sword;0;0;false;false;Light;Slash;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;0.5;1.2999999523162842;;0;2;2;2;25;15;25;0;1.25;0;0.800000011920929;0;0;0;0;0;1.25;0;0.800000011920929;0;0.30000001192092896;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;-1;0.30000001192092896;1;0;1;1;0;false;0;0;0;false
1H_Sword_Attack_Swipe;Sword;0;0;false;true;Ability;Slash;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.190000057220459;1.2999999523162842;;0;0;0;0;30;25;30;0;0;0;1;0;0;0;0;0;0;0;1;0;0.5;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;2;0.5;1;0;0;1;0;false;0;0;0;false
1H_Sword_Attack_Stab;Sword;0;0;false;true;Ability;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.75;1.2999999523162842;;0;3;3;3;30;25;30;0;1;0;1;0;0.5;0;0.800000011920929;0;0;0;1;0;1;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;1;1;0;1;1;0;false;0;0;0;false
1H_Sword_Attack_Spin;Sword;0;0;false;true;Ability;Slash;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.4500000476837158;1.2999999523162842;;0;0;0;0;25;20;25;0;1.25;0;0.800000011920929;0;0;0;0;0;1.25;0;0.800000011920929;0;0.75;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;0.75;1;0;0;1;0;false;0;0;0;false
1H_Sword_Attack_Charge;Sword;0;0;false;true;Ability;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.350000023841858;1.2999999523162842;;0;3;3;3;30;25;30;0;0.75;0;1;0;0.5;0;0.800000011920929;0;1.25;0;0.800000011920929;0;1.25;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;1.25;1;10;1;1;0;false;0;0;0;false
OH_Shield_FinalStand;None;1;1;false;true;Ability;Strike;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;0;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;0;0;1;0;0;1;0;true;8;0.15000000596046448;1500;false
OH_Shield_Attack_Bash;Shield;0;0;false;true;Ability;Strike;;0;;Sword_ShieldBash_Stun2;TRUE;Bullet;Deflect_Default;false;false;;false;false;false;false;0.5;1.2999999523162842;;0;3;2;3;30;25;30;0;1.5;0;0.8500000238418579;0;0;0;0.8999999761581421;0;1.5;0;0;0;1;1.5;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;1;1;0;1;5;0;true;6;0.15000000596046448;1500;false
OH_Shield_Attack_Bash_Upgrade;Shield;0;0;false;true;Ability;Strike;;0;;Sword_ShieldBash_Stun2;TRUE;Bullet;Deflect_Default;false;false;;false;false;false;false;1;1.2999999523162842;;0;3;2;3;30;25;30;0;1.5;0;0.8500000238418579;0;0;0;0.8999999761581421;0;1.5;0;0;0;1;1.5;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;1;1;0;1;10;0;true;6;0.15000000596046448;1500;false
OH_Shield_Attack_Bash4sec;Shield;0;0;false;true;Ability;Strike;;0;;Sword_ShieldBash_Stun4;TRUE;Bullet;Deflect_Default;false;false;;false;false;false;false;1;1.2999999523162842;;0;3;2;3;30;25;30;0;1.5;0;0.8500000238418579;0;0;0;0.8999999761581421;0;1.5;0;0;0;1;1.5;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;1;1;0;1;10;0;true;6;0.15000000596046448;1500;false
OH_Shield_Attack_Rush;Shield;0;0;false;true;Ability;Strike;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.253999948501587;1.2999999523162842;;0;3;2;3;30;25;30;0;2;0;0.800000011920929;0;0.5;0;0.800000011920929;0;2;0;0;0;1;2;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;1;1;0;1;10;0;false;0;0;0;false
OH_Shield_Attack_RushThreat;Shield;1;1;false;false;Ability;Strike;;0;;;;;Deflect_Default;false;false;;true;false;false;false;0.0010000000474974513;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;0;0;0;0;1;0;false;0;0;0;false
1H_Rapier_PrimaryAttack;Sword;0;0;false;false;Light;Thrust;;0;;;;Bullet;Deflect_Default;true;false;;false;false;false;false;1;1.2000000476837158;;0;0;0;0;20;15;20;0;0.6000000238418579;0;0.800000011920929;0;0;0;0;0;0.6000000238418579;0;0.800000011920929;0;0.4000000059604645;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;2;0.4000000059604645;1;0;0;1;0;false;0;0;0;false
1H_Rapier_PrimaryTwoThirdsAttack;Sword;0;0;false;false;Light;Thrust;;0;;;;Bullet;Deflect_Default;true;false;;false;false;false;false;0.6600000262260437;0.8600000143051147;;0;0;0;0;20;15;20;0;0.6000000238418579;0;0.800000011920929;0;0;0;0;0;0.6000000238418579;0;0.800000011920929;0;0.3499999940395355;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;2;0.3499999940395355;1;0;0;1;0;false;0;0;0;false
1H_Rapier_HeavyAttack;Sword;0;0;false;false;Heavy;Thrust;;0;;;;Bullet;Deflect_Default;true;false;;false;false;false;false;1.3300000429153442;1.2999999523162842;;0;0;0;0;25;25;30;0;2;0;0.800000011920929;0;0;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;1.5;1;0;0;1;0;false;0;0;0;false
1H_Rapier_HeavyAttack_Charged;Sword;0;0;false;false;Heavy;Thrust;;0;;;;Bullet;Deflect_Default;true;false;;false;false;false;false;1.659999966621399;1.2999999523162842;;0;0;0;0;25;25;30;0;2;0;0.800000011920929;0;0;0;0.800000011920929;0;2;0;0.800000011920929;0;3;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;3;1;0;0;1;0;false;0;0;0;false
1H_Rapier_SprintAttack;Sword;0;0;false;false;Ability;Thrust;;0;;;;Bullet;Deflect_Default;true;false;;false;false;false;false;1.100000023841858;1.2999999523162842;;0;3;2;3;30;10;30;0;3;0;0.8500000238418579;0;0;0;0.8500000238418579;0;3;0;0.8500000238418579;0;0.75;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;0.75;1;16;1;1;0;false;0;0;0;false
1H_Rapier_SpecialAttack;Sword;0;0;false;false;Ability;Thrust;;0;;;;Bullet;Deflect_Default;true;false;;false;false;false;false;1.100000023841858;1.2999999523162842;;0;2;2;2;25;20;25;0;0;0;1;0;0;0;0;0;0;0;1;0;0.75;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;0.75;1;16;1;1;0;false;0;0;0;false
1H_Rapier_SpecialAttack_2;Sword;0;0;false;false;Ability;Thrust;;0;;;;Bullet;Deflect_Default;true;false;;false;false;false;false;1.2000000476837158;1.2999999523162842;;0;2;2;2;25;20;25;0;0;0;1;0;0;0;0;0;0;0;1;0;0.75;1;0;0;0;Small;Small;Small;Small;Large_short;Large_short;3;0.75;1;16;1;1;0;false;0;0;0;false
