Level;Potions;Coatings;Enchantments;Weapons;Armors;Guns;Bows;Clothing;Trinkets;Meals;Drinks;RollBonus
26;13737.0556640625;13737.0556640625;13737.0556640625;13737.0556640625;13737.0556640625;13737.0556640625;13737.0556640625;13737.0556640625;13737.0556640625;13737.0556640625;13737.0556640625;13
27;16484.466796875;16484.466796875;16484.466796875;16484.466796875;16484.466796875;16484.466796875;16484.466796875;16484.466796875;16484.466796875;16484.466796875;16484.466796875;13.5
28;19781.359375;19781.359375;19781.359375;19781.359375;19781.359375;19781.359375;19781.359375;19781.359375;19781.359375;19781.359375;19781.359375;14
29;23737.630859375;23737.630859375;23737.630859375;23737.630859375;23737.630859375;23737.630859375;23737.630859375;23737.630859375;23737.630859375;23737.630859375;23737.630859375;14.5
30;28485.158203125;28485.158203125;28485.158203125;28485.158203125;28485.158203125;28485.158203125;28485.158203125;28485.158203125;28485.158203125;28485.158203125;28485.158203125;15
31;34182.1875;34182.1875;34182.1875;34182.1875;34182.1875;34182.1875;34182.1875;34182.1875;34182.1875;34182.1875;34182.1875;15.5
32;41018.62890625;41018.62890625;41018.62890625;41018.62890625;41018.62890625;41018.62890625;41018.62890625;41018.62890625;41018.62890625;41018.62890625;41018.62890625;16
33;49222.3515625;49222.3515625;49222.3515625;49222.3515625;49222.3515625;49222.3515625;49222.3515625;49222.3515625;49222.3515625;49222.3515625;49222.3515625;16.5
34;59066.82421875;59066.82421875;59066.82421875;59066.82421875;59066.82421875;59066.82421875;59066.82421875;59066.82421875;59066.82421875;59066.82421875;59066.82421875;17
35;70880.1875;70880.1875;70880.1875;70880.1875;70880.1875;70880.1875;70880.1875;70880.1875;70880.1875;70880.1875;70880.1875;17.5
36;85056.2265625;85056.2265625;85056.2265625;85056.2265625;85056.2265625;85056.2265625;85056.2265625;85056.2265625;85056.2265625;85056.2265625;85056.2265625;18
37;102067.46875;102067.46875;102067.46875;102067.46875;102067.46875;102067.46875;102067.46875;102067.46875;102067.46875;102067.46875;102067.46875;18.5
38;122480.9609375;122480.9609375;122480.9609375;122480.9609375;122480.9609375;122480.9609375;122480.9609375;122480.9609375;122480.9609375;122480.9609375;122480.9609375;19
39;146977.15625;146977.15625;146977.15625;146977.15625;146977.15625;146977.15625;146977.15625;146977.15625;146977.15625;146977.15625;146977.15625;19.5
40;176372.59375;176372.59375;176372.59375;176372.59375;176372.59375;176372.59375;176372.59375;176372.59375;176372.59375;176372.59375;176372.59375;20
41;211647.109375;211647.109375;211647.109375;211647.109375;211647.109375;211647.109375;211647.109375;211647.109375;211647.109375;211647.109375;211647.109375;20.5
42;253976.53125;253976.53125;253976.53125;253976.53125;253976.53125;253976.53125;253976.53125;253976.53125;253976.53125;253976.53125;253976.53125;21
43;304771.84375;304771.84375;304771.84375;304771.84375;304771.84375;304771.84375;304771.84375;304771.84375;304771.84375;304771.84375;304771.84375;21.5
44;365726.1875;365726.1875;365726.1875;365726.1875;365726.1875;365726.1875;365726.1875;365726.1875;365726.1875;365726.1875;365726.1875;22
45;438871.4375;438871.4375;438871.4375;438871.4375;438871.4375;438871.4375;438871.4375;438871.4375;438871.4375;438871.4375;438871.4375;22.5
46;526645.75;526645.75;526645.75;526645.75;526645.75;526645.75;526645.75;526645.75;526645.75;526645.75;526645.75;23
47;631974.875;631974.875;631974.875;631974.875;631974.875;631974.875;631974.875;631974.875;631974.875;631974.875;631974.875;23.5
48;758369.875;758369.875;758369.875;758369.875;758369.875;758369.875;758369.875;758369.875;758369.875;758369.875;758369.875;24
49;910043.8125;910043.8125;910043.8125;910043.8125;910043.8125;910043.8125;910043.8125;910043.8125;910043.8125;910043.8125;910043.8125;24.5
50;1092052.625;1092052.625;1092052.625;1092052.625;1092052.625;1092052.625;1092052.625;1092052.625;1092052.625;1092052.625;1092052.625;25
51;1201257.875;1201257.875;1201257.875;1201257.875;1201257.875;1201257.875;1201257.875;1201257.875;1201257.875;1201257.875;1201257.875;25.5
52;1321383.625;1321383.625;1321383.625;1321383.625;1321383.625;1321383.625;1321383.625;1321383.625;1321383.625;1321383.625;1321383.625;26
53;1453522;1453522;1453522;1453522;1453522;1453522;1453522;1453522;1453522;1453522;1453522;26.5
54;1598874.125;1598874.125;1598874.125;1598874.125;1598874.125;1598874.125;1598874.125;1598874.125;1598874.125;1598874.125;1598874.125;27
55;1758761.625;1758761.625;1758761.625;1758761.625;1758761.625;1758761.625;1758761.625;1758761.625;1758761.625;1758761.625;1758761.625;27.5
56;1934637.75;1934637.75;1934637.75;1934637.75;1934637.75;1934637.75;1934637.75;1934637.75;1934637.75;1934637.75;1934637.75;28
57;2128101.5;2128101.5;2128101.5;2128101.5;2128101.5;2128101.5;2128101.5;2128101.5;2128101.5;2128101.5;2128101.5;28.5
58;2340911.75;2340911.75;2340911.75;2340911.75;2340911.75;2340911.75;2340911.75;2340911.75;2340911.75;2340911.75;2340911.75;29
59;2575002.75;2575002.75;2575002.75;2575002.75;2575002.75;2575002.75;2575002.75;2575002.75;2575002.75;2575002.75;2575002.75;29.5
60;2832503.25;2832503.25;2832503.25;2832503.25;2832503.25;2832503.25;2832503.25;2832503.25;2832503.25;2832503.25;2832503.25;30
61;3115753.5;3115753.5;3115753.5;3115753.5;3115753.5;3115753.5;3115753.5;3115753.5;3115753.5;3115753.5;3115753.5;30.5
62;3427328.75;3427328.75;3427328.75;3427328.75;3427328.75;3427328.75;3427328.75;3427328.75;3427328.75;3427328.75;3427328.75;31
63;3770061.75;3770061.75;3770061.75;3770061.75;3770061.75;3770061.75;3770061.75;3770061.75;3770061.75;3770061.75;3770061.75;31.5
64;4147067.75;4147067.75;4147067.75;4147067.75;4147067.75;4147067.75;4147067.75;4147067.75;4147067.75;4147067.75;4147067.75;32
65;4561774.5;4561774.5;4561774.5;4561774.5;4561774.5;4561774.5;4561774.5;4561774.5;4561774.5;4561774.5;4561774.5;32.5
66;5017952;5017952;5017952;5017952;5017952;5017952;5017952;5017952;5017952;5017952;5017952;33
67;5519747.5;5519747.5;5519747.5;5519747.5;5519747.5;5519747.5;5519747.5;5519747.5;5519747.5;5519747.5;5519747.5;33.5
68;6071722;6071722;6071722;6071722;6071722;6071722;6071722;6071722;6071722;6071722;6071722;34
69;6678894;6678894;6678894;6678894;6678894;6678894;6678894;6678894;6678894;6678894;6678894;34.5
70;7346783.5;7346783.5;7346783.5;7346783.5;7346783.5;7346783.5;7346783.5;7346783.5;7346783.5;7346783.5;7346783.5;35
71;8081462;8081462;8081462;8081462;8081462;8081462;8081462;8081462;8081462;8081462;8081462;35.5
72;8889608;8889608;8889608;8889608;8889608;8889608;8889608;8889608;8889608;8889608;8889608;36
73;9778569;9778569;9778569;9778569;9778569;9778569;9778569;9778569;9778569;9778569;9778569;36.5
74;10756426;10756426;10756426;10756426;10756426;10756426;10756426;10756426;10756426;10756426;10756426;37
75;11832069;11832069;11832069;11832069;11832069;11832069;11832069;11832069;11832069;11832069;11832069;37.5
76;13015275;13015275;13015275;13015275;13015275;13015275;13015275;13015275;13015275;13015275;13015275;38
77;14316803;14316803;14316803;14316803;14316803;14316803;14316803;14316803;14316803;14316803;14316803;38.5
78;15748483;15748483;15748483;15748483;15748483;15748483;15748483;15748483;15748483;15748483;15748483;39
79;17323332;17323332;17323332;17323332;17323332;17323332;17323332;17323332;17323332;17323332;17323332;39.5
80;19055664;19055664;19055664;19055664;19055664;19055664;19055664;19055664;19055664;19055664;19055664;40
81;20961232;20961232;20961232;20961232;20961232;20961232;20961232;20961232;20961232;20961232;20961232;40.5
82;23057354;23057354;23057354;23057354;23057354;23057354;23057354;23057354;23057354;23057354;23057354;41
83;25363090;25363090;25363090;25363090;25363090;25363090;25363090;25363090;25363090;25363090;25363090;41.5
84;27899398;27899398;27899398;27899398;27899398;27899398;27899398;27899398;27899398;27899398;27899398;42
85;30689338;30689338;30689338;30689338;30689338;30689338;30689338;30689338;30689338;30689338;30689338;42.5
86;33758272;33758272;33758272;33758272;33758272;33758272;33758272;33758272;33758272;33758272;33758272;43
87;37134100;37134100;37134100;37134100;37134100;37134100;37134100;37134100;37134100;37134100;37134100;43.5
88;40847508;40847508;40847508;40847508;40847508;40847508;40847508;40847508;40847508;40847508;40847508;44
89;44932260;44932260;44932260;44932260;44932260;44932260;44932260;44932260;44932260;44932260;44932260;44.5
90;49425488;49425488;49425488;49425488;49425488;49425488;49425488;49425488;49425488;49425488;49425488;45
91;54368036;54368036;54368036;54368036;54368036;54368036;54368036;54368036;54368036;54368036;54368036;45.5
92;59804840;59804840;59804840;59804840;59804840;59804840;59804840;59804840;59804840;59804840;59804840;46
93;65785324;65785324;65785324;65785324;65785324;65785324;65785324;65785324;65785324;65785324;65785324;46.5
94;72363856;72363856;72363856;72363856;72363856;72363856;72363856;72363856;72363856;72363856;72363856;47
95;79600240;79600240;79600240;79600240;79600240;79600240;79600240;79600240;79600240;79600240;79600240;47.5
96;87560264;87560264;87560264;87560264;87560264;87560264;87560264;87560264;87560264;87560264;87560264;48
97;96316288;96316288;96316288;96316288;96316288;96316288;96316288;96316288;96316288;96316288;96316288;48.5
98;105947920;105947920;105947920;105947920;105947920;105947920;105947920;105947920;105947920;105947920;105947920;49
99;116542712;116542712;116542712;116542712;116542712;116542712;116542712;116542712;116542712;116542712;116542712;49.5
100;128196984;128196984;128196984;128196984;128196984;128196984;128196984;128196984;128196984;128196984;128196984;50
