Index;Name;Color;Category;IsEntitlement;ColorAmount;ColorOverride;SpecColor;SpecAmount;MaskGlossShift
150;Viridian Green;#68927a;Aqua;0;1;0.10000000149011612;#2b4134;1;0.5
151;Tranquil Willow;#86bf94;Aqua;0;1;0.05000000074505806;#305235;1;0.5
152;Deep Sea Green;#064e4d;Cyan;0;1;0.5;#064e4d;0.30000001192092896;0.5
153;Mineral Green;#465e5e;Cyan;0;1;0.4000000059604645;#465e5e;0.30000001192092896;0.5
154;Castle Aquamarine;#04766e;Cyan;0;1;0.20000000298023224;#04766e;0.30000001192092896;0.5
155;Soft Cyan;#5798ae;Cyan;0;1;0.10000000149011612;#5798ae;0.30000001192092896;0.5
156;Pale Cobalt;#6e8281;Cyan;0;1;0.10000000149011612;#6e8281;0.30000001192092896;0.5
157;Juniper;#659096;Cyan;0;1;0.10000000149011612;#659096;0.30000001192092896;0.5
158;Starlight;#233e6a;Blue;0;1;0.30000001192092896;#061124;1;0.5
159;Fjord;#3f5169;Blue;0;1;0.30000001192092896;#3f5169;0.30000001192092896;0.5
160;Comet;#586379;Blue;0;1;0.20000000298023224;#586379;0.30000001192092896;0.5
161;Aurora Blue;#1d598b;Blue;0;1;0.20000000298023224;#1d598b;0.30000001192092896;0.5
162;Elderberry;#7679a2;Blue;0;1;0.10000000149011612;#7679a2;0.30000001192092896;0.5
163;Berry Pit;#48394c;Violet;0;1;0.30000001192092896;#48394c;0.30000001192092896;0.5
164;Coarse Amethyst;#3d4282;Violet;0;1;0.30000001192092896;#3d4282;0.30000001192092896;0.5
165;Sovereign Purple;#4b529a;Violet;0;1;0.20000000298023224;#4b529a;0.30000001192092896;0.5
166;Cool Violet;#6268b4;Violet;0;1;0.10000000149011612;#6268b4;0.30000001192092896;0.5
167;Burnished Lilac;#8b6c95;Violet;0;1;0.10000000149011612;#8b6c95;0.30000001192092896;0.5
168;Harsh Violet;#682b6e;Magenta;0;1;0.10000000149011612;#682b6e;0.30000001192092896;0.5
169;Putrid Plum;#725060;Magenta;0;1;0.10000000149011612;#725060;0.30000001192092896;0.5
170;Daisy Pink;#8a4888;Magenta;0;1;0.10000000149011612;#8a4888;0.30000001192092896;0.5
171;Sublime Velvet;#756871;Magenta;0;1;0.10000000149011612;#756871;0.30000001192092896;0.5
172;Summer Rasberry;#a363ad;Magenta;0;1;0.10000000149011612;#a363ad;0.30000001192092896;0.5
