Level;Health;HealthRate;Stamina;StaminaRate;Mana;ManaRate;CastSpeed;EquipLoad;NumAttuneSlots;Encumbrance;AbsFalling;DefStandard;DefSlash;DefThrust;DefStrike;DefMagic;DefFire;DefLightning;DefCorruption;ResFrostbite;ResPoison;ResBleed;ResDisease;ResCurse
21;0;0;0;0;0;0;0;148;0;0;0;3.3499999046325684;3.3499999046325684;3.3499999046325684;3.3499999046325684;0;0;0;0;0;32;0;32;0
22;0;0;0;0;0;0;0;156;0;0;0;3.5;3.5;3.5;3.5;0;0;0;0;0;34;0;34;0
23;0;0;0;0;0;0;0;164;0;0;0;3.6500000953674316;3.6500000953674316;3.6500000953674316;3.6500000953674316;0;0;0;0;0;36;0;36;0
24;0;0;0;0;0;0;0;172;0;0;0;3.799999952316284;3.799999952316284;3.799999952316284;3.799999952316284;0;0;0;0;0;38;0;38;0
25;0;0;0;0;0;0;0;180;0;0;0;3.950000047683716;3.950000047683716;3.950000047683716;3.950000047683716;0;0;0;0;0;40;0;40;0
26;0;0;0;0;0;0;0;187;0;0;0;4.099999904632568;4.099999904632568;4.099999904632568;4.099999904632568;0;0;0;0;0;41;0;41;0
27;0;0;0;0;0;0;0;194;0;0;0;4.25;4.25;4.25;4.25;0;0;0;0;0;42;0;42;0
28;0;0;0;0;0;0;0;201;0;0;0;4.400000095367432;4.400000095367432;4.400000095367432;4.400000095367432;0;0;0;0;0;43;0;43;0
29;0;0;0;0;0;0;0;208;0;0;0;4.550000190734863;4.550000190734863;4.550000190734863;4.550000190734863;0;0;0;0;0;44;0;44;0
30;0;0;0;0;0;0;0;215;0;0;0;4.699999809265137;4.699999809265137;4.699999809265137;4.699999809265137;0;0;0;0;0;45;0;45;0
31;0;0;0;0;0;0;0;222;0;0;0;4.849999904632568;4.849999904632568;4.849999904632568;4.849999904632568;0;0;0;0;0;46;0;46;0
32;0;0;0;0;0;0;0;229;0;0;0;5;5;5;5;0;0;0;0;0;47;0;47;0
33;0;0;0;0;0;0;0;236;0;0;0;5.150000095367432;5.150000095367432;5.150000095367432;5.150000095367432;0;0;0;0;0;48;0;48;0
34;0;0;0;0;0;0;0;243;0;0;0;5.300000190734863;5.300000190734863;5.300000190734863;5.300000190734863;0;0;0;0;0;49;0;49;0
35;0;0;0;0;0;0;0;250;0;0;0;5.449999809265137;5.449999809265137;5.449999809265137;5.449999809265137;0;0;0;0;0;50;0;50;0
36;0;0;0;0;0;0;0;256;0;0;0;5.599999904632568;5.599999904632568;5.599999904632568;5.599999904632568;0;0;0;0;0;51;0;51;0
37;0;0;0;0;0;0;0;262;0;0;0;5.75;5.75;5.75;5.75;0;0;0;0;0;52;0;52;0
38;0;0;0;0;0;0;0;268;0;0;0;5.900000095367432;5.900000095367432;5.900000095367432;5.900000095367432;0;0;0;0;0;53;0;53;0
39;0;0;0;0;0;0;0;274;0;0;0;6.050000190734863;6.050000190734863;6.050000190734863;6.050000190734863;0;0;0;0;0;54;0;54;0
40;0;0;0;0;0;0;0;280;0;0;0;6.199999809265137;6.199999809265137;6.199999809265137;6.199999809265137;0;0;0;0;0;55;0;55;0
41;0;0;0;0;0;0;0;286;0;0;0;6.349999904632568;6.349999904632568;6.349999904632568;6.349999904632568;0;0;0;0;0;56;0;56;0
42;0;0;0;0;0;0;0;292;0;0;0;6.5;6.5;6.5;6.5;0;0;0;0;0;57;0;57;0
43;0;0;0;0;0;0;0;298;0;0;0;6.650000095367432;6.650000095367432;6.650000095367432;6.650000095367432;0;0;0;0;0;58;0;58;0
44;0;0;0;0;0;0;0;304;0;0;0;6.800000190734863;6.800000190734863;6.800000190734863;6.800000190734863;0;0;0;0;0;59;0;59;0
45;0;0;0;0;0;0;0;310;0;0;0;6.949999809265137;6.949999809265137;6.949999809265137;6.949999809265137;0;0;0;0;0;60;0;60;0
46;0;0;0;0;0;0;0;315;0;0;0;7.099999904632568;7.099999904632568;7.099999904632568;7.099999904632568;0;0;0;0;0;61;0;61;0
47;0;0;0;0;0;0;0;320;0;0;0;7.25;7.25;7.25;7.25;0;0;0;0;0;62;0;62;0
48;0;0;0;0;0;0;0;325;0;0;0;7.400000095367432;7.400000095367432;7.400000095367432;7.400000095367432;0;0;0;0;0;63;0;63;0
49;0;0;0;0;0;0;0;330;0;0;0;7.550000190734863;7.550000190734863;7.550000190734863;7.550000190734863;0;0;0;0;0;64;0;64;0
50;0;0;0;0;0;0;0;335;0;0;0;7.699999809265137;7.699999809265137;7.699999809265137;7.699999809265137;0;0;0;0;0;65;0;65;0
51;0;0;0;0;0;0;0;340;0;0;0;7.849999904632568;7.849999904632568;7.849999904632568;7.849999904632568;0;0;0;0;0;66;0;66;0
52;0;0;0;0;0;0;0;345;0;0;0;8;8;8;8;0;0;0;0;0;67;0;67;0
53;0;0;0;0;0;0;0;350;0;0;0;8.100000381469727;8.100000381469727;8.100000381469727;8.100000381469727;0;0;0;0;0;68;0;68;0
54;0;0;0;0;0;0;0;355;0;0;0;8.199999809265137;8.199999809265137;8.199999809265137;8.199999809265137;0;0;0;0;0;69;0;69;0
55;0;0;0;0;0;0;0;360;0;0;0;8.300000190734863;8.300000190734863;8.300000190734863;8.300000190734863;0;0;0;0;0;70;0;70;0
56;0;0;0;0;0;0;0;364;0;0;0;8.399999618530273;8.399999618530273;8.399999618530273;8.399999618530273;0;0;0;0;0;71;0;71;0
57;0;0;0;0;0;0;0;368;0;0;0;8.5;8.5;8.5;8.5;0;0;0;0;0;72;0;72;0
58;0;0;0;0;0;0;0;372;0;0;0;8.600000381469727;8.600000381469727;8.600000381469727;8.600000381469727;0;0;0;0;0;73;0;73;0
59;0;0;0;0;0;0;0;376;0;0;0;8.699999809265137;8.699999809265137;8.699999809265137;8.699999809265137;0;0;0;0;0;74;0;74;0
60;0;0;0;0;0;0;0;380;0;0;0;8.800000190734863;8.800000190734863;8.800000190734863;8.800000190734863;0;0;0;0;0;75;0;75;0
61;0;0;0;0;0;0;0;384;0;0;0;8.899999618530273;8.899999618530273;8.899999618530273;8.899999618530273;0;0;0;0;0;75;0;75;0
62;0;0;0;0;0;0;0;388;0;0;0;9;9;9;9;0;0;0;0;0;75;0;75;0
63;0;0;0;0;0;0;0;392;0;0;0;9.100000381469727;9.100000381469727;9.100000381469727;9.100000381469727;0;0;0;0;0;75;0;75;0
64;0;0;0;0;0;0;0;396;0;0;0;9.199999809265137;9.199999809265137;9.199999809265137;9.199999809265137;0;0;0;0;0;75;0;75;0
65;0;0;0;0;0;0;0;400;0;0;0;9.300000190734863;9.300000190734863;9.300000190734863;9.300000190734863;0;0;0;0;0;75;0;75;0
66;0;0;0;0;0;0;0;402;0;0;0;9.399999618530273;9.399999618530273;9.399999618530273;9.399999618530273;0;0;0;0;0;75;0;75;0
67;0;0;0;0;0;0;0;404;0;0;0;9.5;9.5;9.5;9.5;0;0;0;0;0;75;0;75;0
68;0;0;0;0;0;0;0;406;0;0;0;9.600000381469727;9.600000381469727;9.600000381469727;9.600000381469727;0;0;0;0;0;75;0;75;0
69;0;0;0;0;0;0;0;408;0;0;0;9.699999809265137;9.699999809265137;9.699999809265137;9.699999809265137;0;0;0;0;0;75;0;75;0
70;0;0;0;0;0;0;0;410;0;0;0;9.800000190734863;9.800000190734863;9.800000190734863;9.800000190734863;0;0;0;0;0;75;0;75;0
71;0;0;0;0;0;0;0;412;0;0;0;9.899999618530273;9.899999618530273;9.899999618530273;9.899999618530273;0;0;0;0;0;75;0;75;0
72;0;0;0;0;0;0;0;414;0;0;0;10;10;10;10;0;0;0;0;0;75;0;75;0
73;0;0;0;0;0;0;0;416;0;0;0;10.100000381469727;10.100000381469727;10.100000381469727;10.100000381469727;0;0;0;0;0;75;0;75;0
74;0;0;0;0;0;0;0;418;0;0;0;10.199999809265137;10.199999809265137;10.199999809265137;10.199999809265137;0;0;0;0;0;75;0;75;0
75;0;0;0;0;0;0;0;420;0;0;0;10.300000190734863;10.300000190734863;10.300000190734863;10.300000190734863;0;0;0;0;0;75;0;75;0
76;0;0;0;0;0;0;0;422;0;0;0;10.399999618530273;10.399999618530273;10.399999618530273;10.399999618530273;0;0;0;0;0;75;0;75;0
77;0;0;0;0;0;0;0;424;0;0;0;10.5;10.5;10.5;10.5;0;0;0;0;0;75;0;75;0
78;0;0;0;0;0;0;0;426;0;0;0;10.600000381469727;10.600000381469727;10.600000381469727;10.600000381469727;0;0;0;0;0;75;0;75;0
79;0;0;0;0;0;0;0;428;0;0;0;10.699999809265137;10.699999809265137;10.699999809265137;10.699999809265137;0;0;0;0;0;75;0;75;0
80;0;0;0;0;0;0;0;430;0;0;0;10.800000190734863;10.800000190734863;10.800000190734863;10.800000190734863;0;0;0;0;0;75;0;75;0
81;0;0;0;0;0;0;0;432;0;0;0;10.819999694824219;10.819999694824219;10.819999694824219;10.819999694824219;0;0;0;0;0;75;0;75;0
82;0;0;0;0;0;0;0;434;0;0;0;10.84000015258789;10.84000015258789;10.84000015258789;10.84000015258789;0;0;0;0;0;75;0;75;0
83;0;0;0;0;0;0;0;436;0;0;0;10.859999656677246;10.859999656677246;10.859999656677246;10.859999656677246;0;0;0;0;0;75;0;75;0
84;0;0;0;0;0;0;0;438;0;0;0;10.880000114440918;10.880000114440918;10.880000114440918;10.880000114440918;0;0;0;0;0;75;0;75;0
85;0;0;0;0;0;0;0;440;0;0;0;10.899999618530273;10.899999618530273;10.899999618530273;10.899999618530273;0;0;0;0;0;75;0;75;0
86;0;0;0;0;0;0;0;442;0;0;0;10.920000076293945;10.920000076293945;10.920000076293945;10.920000076293945;0;0;0;0;0;75;0;75;0
87;0;0;0;0;0;0;0;444;0;0;0;10.9399995803833;10.9399995803833;10.9399995803833;10.9399995803833;0;0;0;0;0;75;0;75;0
88;0;0;0;0;0;0;0;446;0;0;0;10.960000038146973;10.960000038146973;10.960000038146973;10.960000038146973;0;0;0;0;0;75;0;75;0
89;0;0;0;0;0;0;0;448;0;0;0;10.979999542236328;10.979999542236328;10.979999542236328;10.979999542236328;0;0;0;0;0;75;0;75;0
90;0;0;0;0;0;0;0;450;0;0;0;11;11;11;11;0;0;0;0;0;75;0;75;0
91;0;0;0;0;0;0;0;452;0;0;0;11.020000457763672;11.020000457763672;11.020000457763672;11.020000457763672;0;0;0;0;0;75;0;75;0
92;0;0;0;0;0;0;0;454;0;0;0;11.039999961853027;11.039999961853027;11.039999961853027;11.039999961853027;0;0;0;0;0;75;0;75;0
93;0;0;0;0;0;0;0;456;0;0;0;11.0600004196167;11.0600004196167;11.0600004196167;11.0600004196167;0;0;0;0;0;75;0;75;0
94;0;0;0;0;0;0;0;458;0;0;0;11.079999923706055;11.079999923706055;11.079999923706055;11.079999923706055;0;0;0;0;0;75;0;75;0
95;0;0;0;0;0;0;0;460;0;0;0;11.100000381469727;11.100000381469727;11.100000381469727;11.100000381469727;0;0;0;0;0;75;0;75;0
96;0;0;0;0;0;0;0;462;0;0;0;11.119999885559082;11.119999885559082;11.119999885559082;11.119999885559082;0;0;0;0;0;75;0;75;0
97;0;0;0;0;0;0;0;464;0;0;0;11.140000343322754;11.140000343322754;11.140000343322754;11.140000343322754;0;0;0;0;0;75;0;75;0
98;0;0;0;0;0;0;0;466;0;0;0;11.15999984741211;11.15999984741211;11.15999984741211;11.15999984741211;0;0;0;0;0;75;0;75;0
99;0;0;0;0;0;0;0;468;0;0;0;11.180000305175781;11.180000305175781;11.180000305175781;11.180000305175781;0;0;0;0;0;75;0;75;0
100;0;0;0;0;0;0;0;470;0;0;0;11.199999809265137;11.199999809265137;11.199999809265137;11.199999809265137;0;0;0;0;0;75;0;75;0
101;0;0;0;0;0;0;0;472;0;0;0;11.220000267028809;11.220000267028809;11.220000267028809;11.220000267028809;0;0;0;0;0;75;0;75;0
102;0;0;0;0;0;0;0;474;0;0;0;11.239999771118164;11.239999771118164;11.239999771118164;11.239999771118164;0;0;0;0;0;75;0;75;0
103;0;0;0;0;0;0;0;476;0;0;0;11.260000228881836;11.260000228881836;11.260000228881836;11.260000228881836;0;0;0;0;0;75;0;75;0
104;0;0;0;0;0;0;0;478;0;0;0;11.279999732971191;11.279999732971191;11.279999732971191;11.279999732971191;0;0;0;0;0;75;0;75;0
105;0;0;0;0;0;0;0;480;0;0;0;11.300000190734863;11.300000190734863;11.300000190734863;11.300000190734863;0;0;0;0;0;75;0;75;0
106;0;0;0;0;0;0;0;482;0;0;0;11.319999694824219;11.319999694824219;11.319999694824219;11.319999694824219;0;0;0;0;0;75;0;75;0
107;0;0;0;0;0;0;0;484;0;0;0;11.34000015258789;11.34000015258789;11.34000015258789;11.34000015258789;0;0;0;0;0;75;0;75;0
108;0;0;0;0;0;0;0;486;0;0;0;11.359999656677246;11.359999656677246;11.359999656677246;11.359999656677246;0;0;0;0;0;75;0;75;0
109;0;0;0;0;0;0;0;488;0;0;0;11.380000114440918;11.380000114440918;11.380000114440918;11.380000114440918;0;0;0;0;0;75;0;75;0
110;0;0;0;0;0;0;0;490;0;0;0;11.399999618530273;11.399999618530273;11.399999618530273;11.399999618530273;0;0;0;0;0;75;0;75;0
111;0;0;0;0;0;0;0;492;0;0;0;11.420000076293945;11.420000076293945;11.420000076293945;11.420000076293945;0;0;0;0;0;75;0;75;0
112;0;0;0;0;0;0;0;494;0;0;0;11.4399995803833;11.4399995803833;11.4399995803833;11.4399995803833;0;0;0;0;0;75;0;75;0
113;0;0;0;0;0;0;0;496;0;0;0;11.460000038146973;11.460000038146973;11.460000038146973;11.460000038146973;0;0;0;0;0;75;0;75;0
114;0;0;0;0;0;0;0;498;0;0;0;11.479999542236328;11.479999542236328;11.479999542236328;11.479999542236328;0;0;0;0;0;75;0;75;0
115;0;0;0;0;0;0;0;500;0;0;0;11.5;11.5;11.5;11.5;0;0;0;0;0;75;0;75;0
116;0;0;0;0;0;0;0;502;0;0;0;11.520000457763672;11.520000457763672;11.520000457763672;11.520000457763672;0;0;0;0;0;75;0;75;0
117;0;0;0;0;0;0;0;504;0;0;0;11.539999961853027;11.539999961853027;11.539999961853027;11.539999961853027;0;0;0;0;0;75;0;75;0
118;0;0;0;0;0;0;0;506;0;0;0;11.5600004196167;11.5600004196167;11.5600004196167;11.5600004196167;0;0;0;0;0;75;0;75;0
119;0;0;0;0;0;0;0;508;0;0;0;11.579999923706055;11.579999923706055;11.579999923706055;11.579999923706055;0;0;0;0;0;75;0;75;0
120;0;0;0;0;0;0;0;510;0;0;0;11.600000381469727;11.600000381469727;11.600000381469727;11.600000381469727;0;0;0;0;0;75;0;75;0
121;0;0;0;0;0;0;0;512;0;0;0;11.619999885559082;11.619999885559082;11.619999885559082;11.619999885559082;0;0;0;0;0;75;0;75;0
122;0;0;0;0;0;0;0;514;0;0;0;11.640000343322754;11.640000343322754;11.640000343322754;11.640000343322754;0;0;0;0;0;75;0;75;0
123;0;0;0;0;0;0;0;516;0;0;0;11.65999984741211;11.65999984741211;11.65999984741211;11.65999984741211;0;0;0;0;0;75;0;75;0
124;0;0;0;0;0;0;0;518;0;0;0;11.680000305175781;11.680000305175781;11.680000305175781;11.680000305175781;0;0;0;0;0;75;0;75;0
125;0;0;0;0;0;0;0;520;0;0;0;11.699999809265137;11.699999809265137;11.699999809265137;11.699999809265137;0;0;0;0;0;75;0;75;0
126;0;0;0;0;0;0;0;522;0;0;0;11.720000267028809;11.720000267028809;11.720000267028809;11.720000267028809;0;0;0;0;0;75;0;75;0
127;0;0;0;0;0;0;0;524;0;0;0;11.739999771118164;11.739999771118164;11.739999771118164;11.739999771118164;0;0;0;0;0;75;0;75;0
128;0;0;0;0;0;0;0;526;0;0;0;11.760000228881836;11.760000228881836;11.760000228881836;11.760000228881836;0;0;0;0;0;75;0;75;0
129;0;0;0;0;0;0;0;528;0;0;0;11.779999732971191;11.779999732971191;11.779999732971191;11.779999732971191;0;0;0;0;0;75;0;75;0
130;0;0;0;0;0;0;0;530;0;0;0;11.800000190734863;11.800000190734863;11.800000190734863;11.800000190734863;0;0;0;0;0;75;0;75;0
131;0;0;0;0;0;0;0;532;0;0;0;11.819999694824219;11.819999694824219;11.819999694824219;11.819999694824219;0;0;0;0;0;75;0;75;0
132;0;0;0;0;0;0;0;534;0;0;0;11.84000015258789;11.84000015258789;11.84000015258789;11.84000015258789;0;0;0;0;0;75;0;75;0
133;0;0;0;0;0;0;0;536;0;0;0;11.859999656677246;11.859999656677246;11.859999656677246;11.859999656677246;0;0;0;0;0;75;0;75;0
134;0;0;0;0;0;0;0;538;0;0;0;11.880000114440918;11.880000114440918;11.880000114440918;11.880000114440918;0;0;0;0;0;75;0;75;0
135;0;0;0;0;0;0;0;540;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
136;0;0;0;0;0;0;0;542;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
137;0;0;0;0;0;0;0;544;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
138;0;0;0;0;0;0;0;546;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
139;0;0;0;0;0;0;0;548;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
140;0;0;0;0;0;0;0;550;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
141;0;0;0;0;0;0;0;552;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
142;0;0;0;0;0;0;0;554;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
143;0;0;0;0;0;0;0;556;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
144;0;0;0;0;0;0;0;558;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
145;0;0;0;0;0;0;0;560;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
146;0;0;0;0;0;0;0;562;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
147;0;0;0;0;0;0;0;564;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
148;0;0;0;0;0;0;0;566;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
149;0;0;0;0;0;0;0;568;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
150;0;0;0;0;0;0;0;570;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
151;0;0;0;0;0;0;0;572;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
152;0;0;0;0;0;0;0;574;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
153;0;0;0;0;0;0;0;576;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
154;0;0;0;0;0;0;0;578;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
155;0;0;0;0;0;0;0;580;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
156;0;0;0;0;0;0;0;582;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
157;0;0;0;0;0;0;0;584;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
158;0;0;0;0;0;0;0;586;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
159;0;0;0;0;0;0;0;588;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
160;0;0;0;0;0;0;0;590;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
161;0;0;0;0;0;0;0;592;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
162;0;0;0;0;0;0;0;594;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
163;0;0;0;0;0;0;0;596;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
164;0;0;0;0;0;0;0;598;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
165;0;0;0;0;0;0;0;600;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
166;0;0;0;0;0;0;0;602;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
167;0;0;0;0;0;0;0;604;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
168;0;0;0;0;0;0;0;606;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
169;0;0;0;0;0;0;0;608;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
170;0;0;0;0;0;0;0;610;0;0;0;11.899999618530273;11.899999618530273;11.899999618530273;11.899999618530273;0;0;0;0;0;75;0;75;0
