TaskID;Type;FailOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;EnforceLocationRequirement;TerritoryID;POITag;LootTag;PauseAndClearLootOnTaskComplete;AwardOnlyOnce;ShouldCheckPoints;GuranteedDropAttempts;TargetThreshold;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;TargetDescriptionTaskId;OverrideLocation;TP_StayComplete;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
0202_0103_d_01_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;abandoned_village_40263;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0202_0103_d_03_Task_Goto;;;;;;;;;;;;;;
0202_0103_d_01_01_Task_KillToken;TaskHaveAndReturnItems;;1;4;0202_0103_SoulCandle;Anointed;100;0;false;;abandoned_village_40263;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0202_0103_d_04_Task_KillToken;;;;;;;;;;;;;;
0202_0103_d_02_Container_HeldBelowtheSurface;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0202_0103_d_02_01_Task_Goto;0202_0103_d_02_02_Task_KillToken;;;
0202_0103_d_02_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;graveyard_40327;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0202_0103_d_01_Task_Goto;;;;;;;;;;;;;;
0202_0103_d_02_02_Task_KillToken;TaskHaveAndReturnItems;;1;1;0202_0104_MatthiassMedallion;Undead_GraveDigger_Named_02;100;0;true;;graveyard_40327;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0202_0103_d_02_Task_KillToken;;;;;;;;;;;;;;
0203_0101_d_00_Container_PocketfulofMemories;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0203_0101_d_01_Task_Goto;0203_0101_d_01a_Container_PocketfulofMemories;;;
0203_0101_d_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;ancient_ruins_40214;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0203_0101_d_01_Task_Goto;;;;;;;;;;;;;;
0203_0101_d_01a_Container_PocketfulofMemories;SimpleTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0203_0101_d_02_Task_KillToken;0203_0101_d_03_Task_Fetch;;;
0203_0101_d_02_Task_KillToken;TaskHaveAndReturnItems;;1;3;0203_0101_FragrantSatchels;Bronzeroot;100;0;true;;ancient_ruins_40214;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0203_0101_d_02_Task_KillToken;;;;;;;;;;;;;;
0203_0101_d_03_Task_Fetch;TaskHaveAndReturnItems;;1;3;MI_Alkahest;;0;100;true;;ancient_ruins_40214;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0203_0101_d_03_Task_Fetch;;;;;;;;;;;;;;
0203_0102_d_00_Container_AncientProblemsAncientSolutions;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0203_0102_d_01_Task_Goto;0203_0102_d_02_Container_AncientProblemsAncientSolutions;;;
0203_0102_d_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;cave_40248;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0203_0102_d_02_Task_Goto;;;;;;;;;;;;;;
0203_0102_d_02_Container_AncientProblemsAncientSolutions;SimpleTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0203_0102_d_02_01_Task_KillToken;0203_0102_d_02_02_Task_Gather;0203_0102_d_02_03_Task_KillToken;;
0203_0102_d_02_01_Task_KillToken;TaskHaveAndReturnItems;;1;2;0203_0103_VerdantAncientPeatMoss;;0;100;true;;cave_40248;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0203_0102_d_01_Task_KillToken;;;;;;;;;;;;;;
0203_0102_d_02_02_Task_Gather;TaskGatherAndReturnItems;;1;4;0203_0103_LushAncientPeatMoss;0203_MossPuffball;100;0;true;;cave_40248;;true;false;false;;;;;IO_0203_MossPuffball;;;;;;;;;;;;;;;;;;;;;0;;@0203_0102_d_02_Task_Gather;;;;;;;;;;;;;;
0203_0102_d_02_03_Task_KillToken;TaskHaveAndReturnItems;;1;1;MI_BrightwoodEitr;Dryad_Shaman_Named_00;100;0;true;;cave_40248;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0203_0102_d_03_Task_KillToken;;;;;;;;;;;;;;
0205_0101_d_00_Container_RuinousLabor;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0205_0101_d_01_Task_Goto;0205_0101_d_02_Container_RuinousLabor;0205_0101_d_03_Task_Goto;0205_0101_d_04_Task_KillToken;
0205_0101_d_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;lumbermill_40202;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0205_0101_d_01_Task_Goto;;;;;;;;;;;;;;
0205_0101_d_02_Container_RuinousLabor;SimpleTaskContainer;;0;0;;;0;0;false;;lumbermill_40202;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0205_0101_d_02_Container_RuinousLabor;;;;1;;;;;;0205_0101_d_02_01_Task_KillToken;0205_0101_d_02_02_Task_KillToken;;;
0205_0101_d_02_01_Task_KillToken;TaskHaveAndReturnItems;;1;10;0205_0101_CorruptedTools;Ripsaw;100;0;true;;lumbermill_40202;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0205_0101_d_02_01_Task_KillToken;;;;;;;;;;;;;;
0205_0101_d_02_02_Task_KillToken;TaskHaveAndReturnItems;;1;1;0205_0101_InhumaneWorkOrder;Damned_1H_Swordsman_M_Named_02;100;0;true;;lumbermill_40202;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0205_0101_d_02_02_Task_KillToken;;9277.0 5805.0 188.0;;;;;;;;;;;;
0205_0101_d_03_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;corrupted_camp_40335;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0205_0101_d_03_Task_Goto;;;;;;;;;;;;;;
0205_0101_d_04_Task_KillToken;TaskKillContribution;;1;6;;;0;0;true;;corrupted_camp_40335;;true;false;false;;;;;;;;Damned_Villager_Pickaxe_02BW05;;;;;;;;;;;;;;;;;;0;;@0205_0101_d_04_Task_Kill;;;;;;;;;;;;;;
0204_0102_d_00_Container_OfOurOwnFleshandBlood;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0204_0102_d_01_Task_Goto;0204_0102_d_02_Task_Gather;;;
0204_0102_d_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;abandoned_farm_village_40251;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0204_0102_d_01_Task_Goto;;;;;;;;;;;;;;
0204_0102_d_02_Task_Gather;TaskGatherAndReturnItems;;1;6;0204_0102_SinanovicSoil;0202_BoneDirtPile;100;0;true;;abandoned_farm_village_40251;;true;false;false;;;;;IO_0202_BoneDirtPile;;;;;;;;;;;;;;;;;;;;;0;;@0204_0102_d_02_Task_Gather;;;;;;;;;;;;;;
0204_0103_d_00_Container_IsleofMadness;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0204_0103_d_01_Task_Goto;0204_0103_d_01a_Container_IsleofMadness;;;
0204_0103_d_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;brightwoodsisle_40221;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0204_0103_d_01_Task_Goto;;;;;;;;;;;;;;
0204_0103_d_01a_Container_IsleofMadness;SimpleTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0204_0103_d_02_Task_Fetch;0204_0103_d_03_Task_Kill;0204_0103_d_04_Task_KillToken;;
0204_0103_d_02_Task_Fetch;TaskHaveAndReturnItems;;1;8;0204_0104_MadAlchemistScribbles;;0;100;true;;brightwoodsisle_40221;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0204_0103_d_02_Task_Fetch;;;;;;;;;;;;;;
0204_0103_d_03_Task_Kill;TaskKillContribution;;1;1;;;0;0;true;;brightwoodsisle_40221;;false;false;false;;;;;;;;Ghost_Shackled_Named_00;;;;;;;;;;;;;;;;;;0;;@0204_0103_d_03_Task_Kill;;;;;;;;;;;;;;
0204_0103_d_04_Task_KillToken;TaskHaveAndReturnItems;;1;8;MI_AlchemistKit;Alchemical;85;0;true;;brightwoodsisle_40221;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0204_0103_d_04_Task_KillToken;;;;;;;;;;;;;;
0210_0102_d_00_Container_ReapersLocus;SimpleTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0210_0102_d_00a_GiveKey;0210_0102_d_01_TaskGoto;0210_0102_d_02_TaskLocus;;
0210_0102_d_00a_GiveKey;TaskGiveItem;;1;1;KeyShattered;;0;0;false;;;;false;true;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;1;1;;;;;;;;;;
0210_0102_d_01_TaskGoto;TaskGoToPOITag;;1;0;;;0;0;true;;shattered_obelisk;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0210_0102_d_01_TaskGoto;;;;;;;;;;;;;;
0210_0102_d_02_TaskLocus;TaskHaveAndReturnItems;;1;1;0210_0102_ReapersLocus;AncientGuardian_Mage_Named_DG_Everfall_00;100;0;false;;shattered_obelisk;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0210_0102_d_02_TaskLocus;;;;;;;;;;;;;;
0202_0104_d_00_Container_Weavers_Vector;SimpleTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0202_0104_d_01_transport_npc_note;0202_0104_d_02_have_npc_note;;;
0202_0104_d_01_transport_npc_note;TaskGiveAndTakeItem;;1;1;MI_SummonsNote;;0;100;true;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@09_task_transport_generic;;;;1;;;;;;;;;;
0202_0104_d_02_have_npc_note;TaskHaveAndReturnItems;;1;1;MI_SummonsNote;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;1;;@09_task_transport_generic;;;;1;;;;;;;;;;
0230_0201_d_00_Container_bellyofcorrupted;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0230_0201_d_01_GoToPOI;0230_0201_d_01a_Container_bellyofcorrupted;;;
0230_0201_d_01_GoToPOI;TaskGoToPOITag;;1;0;;;0;0;false;;corrupted_camp_40335;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0230_0201_goto;;;;;;;;;;;;;;
0230_0201_d_01a_Container_bellyofcorrupted;SimpleTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0230_0201_d_02_Kill_Hunters;0230_0201_d_03_Loot_Butchers;;;
0230_0201_d_02_Kill_Hunters;TaskKillContribution;;1;3;;;0;0;true;;corrupted_camp_40335;;false;false;false;;;;;;;;Damned_Villager_AxeThrower_02BW05;;;;;;;;;;;;;;;;;;0;;@0230_0201_kill_hunters;;;;;;;;;;;;;;
0230_0201_d_03_Loot_Butchers;TaskHaveAndReturnItems;;1;2;0230_0201_RustheartRation;Damned_Villager_Cleaver_02BW05;100;0;true;;corrupted_camp_40335;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0230_0201_loot_butcher;;;;;;;;;;;;;;
0230_0202_d_00_Container_infernalarmaments;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0230_0202_d_01_GoToPOI;0230_0202_d_01a_Container_infernal;;;
0230_0202_d_01_GoToPOI;TaskGoToPOITag;;1;0;;;0;0;false;;corrupted_camp_40336;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0230_0202_goto;;;;;;;;;;;;;;
0230_0202_d_01a_Container_infernal;SimpleTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0230_0202_d_02_kill_mercs;0230_0202_d_03_kill_miners;0230_0202_d_04_loot_armaments;;
0230_0202_d_02_kill_mercs;TaskKillContribution;;1;2;;;0;0;true;;corrupted_camp_40336;;false;false;false;;;;;;;;Damned_1H_Swordsman_M-F_02BW05;;;;;;;;;;;;;;;;;;0;;@0230_0202_kill_mercs;;;;;;;;;;;;;;
0230_0202_d_03_kill_miners;TaskKillContribution;;1;8;;;0;0;true;;corrupted_camp_40336;;false;false;false;;;;;;;;Damned_Villager_Pickaxe_02BW05;;;;;;;;;;;;;;;;;;0;;@0230_0202_kill_miners;;;;;;;;;;;;;;
0230_0202_d_04_loot_armaments;TaskHaveAndReturnItems;;1;4;0230_0202_RustheartArmaments;;0;100;true;;corrupted_camp_40336;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0230_0202_loot_chests;;;;;;;;;;;;;;
0230_0203_d_00_Container_blacksmithbetrayer;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0230_0203_d_01_GoToPOI;0230_0203_d_01a_Container_blacksmith;;;
0230_0203_d_01_GoToPOI;TaskGoToPOITag;;1;0;;;0;0;false;;mine_40306;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0230_0203_goto;;;;;;;;;;;;;;
0230_0203_d_01a_Container_blacksmith;SimpleTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0230_0203_d_02_loot_weapon_designs;0230_0203_d_03_kill_mccoy;;;
0230_0203_d_02_loot_weapon_designs;TaskHaveAndReturnItems;;1;7;0230_0203_MccoysWeaponDesigns;;0;100;true;;mine_40306;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0230_0203_loot_chests;;;;;;;;;;;;;;
0230_0203_d_03_kill_mccoy;TaskKillContribution;;1;1;;;0;0;true;;mine_40306;;false;false;false;;;;;;;;Damned_GreatHammer_Named_01;;;;;;;;;;;;;;;;;;0;;@0230_0203_kill_mccoy;;;;;;;;;;;;;;
0231_0201_d_00_Container_locationscout;SimpleTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0231_0201_d_01_place_easel;0231_0201_d_02_place_easel;0231_0201_d_03_place_easel;;
0231_0201_d_01_place_easel;TaskGameEvent;;1;1;;;0;0;false;;;;false;false;false;;;;;IO_0231_WolcottsEaselA;;;0231_WolcottsEaselA_interact;;;;;;;;;;;;;;;;;;0;;@0231_0201_placeEasel1;;9982.0 6344.0 231.03;;;;;;;;;;;;
