DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;CritPowerLevel;BlockPowerLevel;HitStun;CritHitStun;BlockHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;CameraShakeID;CritCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement;StaminaDmg;DamageGuildAndGroup
Attack_DashBodyL;Spear;0;0;false;Bullet;Heavy;Strike;;;;;false;0.30000001192092896;1;1;2;2;2;24;24;30;-2;0.6000000238418579;0;0.800000011920929;-1.399999976158142;0.4000000059604645;0;0.800000011920929;-2;0.6000000238418579;0;0.800000011920929;0;1;1;1;Small;Small;0;0.699999988079071;1;1;0;false
Attack_DashBodyR;Spear;0;0;false;Bullet;Heavy;Strike;;;;;false;0.30000001192092896;1;1;2;2;2;24;24;30;2;0.6000000238418579;0;0.800000011920929;1.399999976158142;0.4000000059604645;0;0.800000011920929;2;0.6000000238418579;0;0.800000011920929;0;1;1;1;Small;Small;0;0.699999988079071;1;1;0;false
Attack_LightningSpear;Spear;0;0;true;Bullet;Heavy;Thrust;;;;;false;0.8999999761581421;1;1;4;4;3;20;20;30;0;7;0;0.800000011920929;0;5;0;0.800000011920929;0;7;0;0.800000011920929;0;0;0;0;Small;Small;0;1.2000000476837158;1;1;0;false
Spell_LightningSpearPlanted;Spear;0;0;false;Bullet;Magic;Lightning;;;;Deflect_Default;false;0.800000011920929;1;1;1;1;2;12;12;24;0;0.800000011920929;0;0.800000011920929;0;0;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0;0;0;Small;Small;0;1;1;1;0;false
Spell_CallLightningStorm;Spear;0;0;false;Bullet;Magic;Lightning;;;;Deflect_Default;false;0.4000000059604645;1;1;0;0;0;0;0;0;0;0.800000011920929;0;0.800000011920929;0;0;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0;0;0;;;0;1;1;0;0;false
Spell_CallLightningBurst;Spear;0;0;false;Bullet;Magic;Lightning;;;;Deflect_Default;false;0.20000000298023224;1;1;1;1;1;12;12;12;0;0.800000011920929;0;0.800000011920929;0;0;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0;0;0;;;0;1;1;1;0;false
Spell_Spawn;Spear;0;0;false;Bullet;Magic;Lightning;;;;Deflect_Default;false;0.05000000074505806;1;1;4;4;4;12;12;12;0;8;0;0.800000011920929;0;6;0;0.800000011920929;0;8;0;0.800000011920929;0;0;0;0;Small;Small;0;1;1;1;0;false
Spell_BallLightningChain;Spear;0;0;false;Bullet;Magic;Lightning;;;;Deflect_Default;false;0.15000000596046448;1;1;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0;;;0;0;0;0;0;false
Spell_BallLightningChainApply;Spear;0;0;false;Bullet;Magic;Lightning;;AI_BallLightningCastChain;;Deflect_Default;false;0.15000000596046448;1;1;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0;;;0;0;0;0;0;false
Spell_BallLightningDestroySpear;Spear;0;0;false;Bullet;Magic;Standard;;;;Deflect_Default;false;99999;1;1;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0;;;0;0;0;0;0;true
Spell_ChainLightning;Spear;0;0;false;Bullet;Magic;Lightning;;;;Deflect_Default;false;0.15000000596046448;1;1;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0;;;0;0;0;0;0;false
Fall;Fall;1;1;false;Bullet;;Falling;;;;;false;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Small;Small;0;0;0;0;0;false
Reaction_Breakout;Fall;1;1;false;Bullet;;Falling;;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Small;Small;0;0;0;0;0;false
