ConversationStateId;ConversationType;IsInitialState;DefaultDialogue;RequiredFaction;RequiredLevel;RequiredAchievement;LinearObjectiveId1;LinearObjectiveId2;LinearObjectiveId3;LinearObjectiveId4;LinearObjectiveId5;LinearObjectiveId6;LinearObjectiveId7;LinearObjectiveId8;LinearObjectiveId9;LinearObjectiveId10;TopicId1;TopicId2;TopicId3;TopicId4;TopicId5;TopicId6;TopicId7;TopicId8;TopicId9;TopicId10;ConversationService1;ConversationService2;ConversationService3
1208_05_Alchemist;Linear_Objective;false;@NPC_DefaultDialogue_1208_05_Alchemist;Covenant;0;S_timetochoose;;;;;;;;;;;;;;;;;;;;;;;
1208_06_Alchemist;Linear_Objective;false;@NPC_DefaultDialogue_1208_06_Alchemist;Syndicate;0;S_timetochoose;1208_0101_syndicatequest1;;;;;;;;;;;;;;;;;;;;;;
1208_07_Alchemist;Linear_Objective;false;@NPC_DefaultDialogue_1208_07_Alchemist;Syndicate;0;S_syndicatequest1;;;;;;;;;;;1202_Syndicate_dye_talk;;;;;;;;;;Faction_Board;Join_Outpost_Rush;
1209_00_Adjudicator;Linear_Objective;true;@NPC_DefaultDialogue_1209_00_Adjudicator;;0;;;;;;;;;;;;;;;;;;;;;;;;
1209_01_Adjudicator;Linear_Objective;false;@NPC_DefaultDialogue_1209_01_Adjudicator;;0;S_introtoallfactions_accepted;;;;;;;;;;;1202_Covenant_talk;;;;;;;;;;;;
1209_02_Adjudicator;Linear_Objective;false;@NPC_DefaultDialogue_1209_02_Adjudicator;;0;S_introtocovenant;;;;;;;;;;;;;;;;;;;;;;;
1209_03_Adjudicator;Linear_Objective;false;@NPC_DefaultDialogue_1209_03_Adjudicator;;0;S_timetochoose_accepted;;;;;;;;;;;;;;;;;;;;;Faction_Selection;;
1209_04_Adjudicator;Linear_Objective;false;@NPC_DefaultDialogue_1209_04_Adjudicator;Marauder;0;S_timetochoose;;;;;;;;;;;;;;;;;;;;;;;
1209_05_Adjudicator;Linear_Objective;false;@NPC_DefaultDialogue_1209_05_Adjudicator;Syndicate;0;S_timetochoose;;;;;;;;;;;;;;;;;;;;;;;
1209_06_Adjudicator;Linear_Objective;false;@NPC_DefaultDialogue_1209_06_Adjudicator;Covenant;0;S_timetochoose;1209_0101_covenantquest1;;;;;;;;;;;;;;;;;;;;;;
1209_07_Adjudicator;Linear_Objective;false;@NPC_DefaultDialogue_1209_07_Adjudicator;Covenant;0;S_covenantquest1;;;;;;;;;;;1202_Covenant_dye_talk;;;;;;;;;;Faction_Board;Join_Outpost_Rush;
1222_00_Innkeep;Linear_Objective;true;@1222_00_Innkeep;;0;;;;;;;;;;;;;;;;;;;;;;Inn;;
1222_01_Innkeep;Linear_Objective;false;@1222_01_Innkeep;;0;S_encroachingcorruption;1222_1501_intrototravel;;;;;;;;;;;;;;;;;;;;Inn;;
1222_02_Innkeep;Linear_Objective;false;@1222_02_Innkeep;;0;S_returntravel;;;;;;;;;;;;;;;;;;;;;Inn;;
1222_03_Innkeep;Linear_Objective;false;@1222_03_Innkeep;;25;;;;;;;;;;;;1222_Innkeep_WhereNow;;;;;;;;;;Inn;;
1222_04_Innkeep;Linear_Objective;false;@1222_04_Innkeep;;35;;;;;;;;;;;;1222_Innkeep_WhyHouse;;;;;;;;;;Inn;;
1223_00_Fisher;Linear_Objective;true;@1223_00_Fisher_DefaultDialog;;0;;;;;;;;;;;;;;;;;;;;;;;;
1223_01_Fisher;Linear_Objective;false;@1223_01_Fisher_DefaultDialog;;0;FishingQuest_04;1223_0101_FQ05;;;;;;;;;;;;;;;;;;;;;;
1223_02_Fisher;Linear_Objective;false;@1223_02_Fisher_DefaultDialog;;0;FishingQuest_05;;;;;;;;;;;;;;;;;;;;;;;
