Club;ClubDefault;ClubDefault;ClubFlesh;ClubFleshHead;ClubArmor;ClubArmorHead;ClubDamned;ClubDryad;ClubGhost;ClubTurkey;ClubSkeleton;ClubAncientGuardian;ClubGhostCharred;ClubGhostFrozen;ClubGhostShipwrecked;ClubGhostHanged;ClubGhostPlagued;ClubBearElemental;ClubBear;ClubRegurgitator;ClubSprigganForest;ClubCorruptedEntity;ClubBlightFiend;ClubFrostWolf;ClubEarthWolf;ClubLost;ClubWithered;ClubDynasty;ClubDunePhantom;AnubianGuardianBruteBody;ClubAENaga;AnubianLocustScarabBody;ClubSun;HolyShield_Proj
ClubSpriggan;ClubDefault;ClubDefault;ClubFlesh;ClubFleshHead;ClubArmor;ClubArmorHead;ClubDamned;ClubDryad;ClubGhost;ClubTurkey;ClubSkeleton;ClubAncientGuardian;ClubGhostCharred;ClubGhostFrozen;ClubGhostShipwrecked;ClubGhostHanged;ClubGhostPlagued;ClubBearElemental;ClubBear;ClubRegurgitator;ClubSprigganForest;ClubCorruptedEntity;ClubBlightFiend;ClubFrostWolf;ClubEarthWolf;ClubLost;ClubWithered;ClubDynasty;ClubDunePhantom;AnubianGuardianBruteBody;ClubAENaga;AnubianLocustScarabBody;ClubSun;HolyShield_Proj
ClubSpriggan+Resist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;HolyShield_Proj
Club+Resist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;ClubResist;HolyShield_Proj
Club+Crit;ClubDefaultCrit;ClubDefaultCrit;ClubDefaultCrit;ClubDefaultCrit;ClubDefaultCrit;ClubDefaultCrit;ClubDamnedCrit;ClubDryadCrit;ClubGhostCrit;ClubTurkeyCrit;ClubSkeletonCrit;ClubAncientGuardianCrit;ClubGhostCharredCrit;ClubGhostFrozenCrit;ClubGhostShipwreckedCrit;ClubGhostHangedCrit;ClubGhostPlaguedCrit;ClubBearElementalCrit;ClubBearCrit;ClubRegurgitatorCrit;ClubSprigganCrit;ClubCorruptedEntityCrit;ClubBlightFiendCrit;ClubFrostWolfCrit;ClubEarthWolfCrit;ClubLostCrit;ClubWitheredCrit;ClubDynastyCrit;ClubDunePhantomCrit;ClubDefaultCrit;ClubAENagaCrit;ClubAENagaCrit;ClubSunCrit;HolyShield_Proj
Axe;AxeDefault;AxeDefault;AxeFlesh;AxeFleshHead;AxeArmor;AxeArmorHead;AxeDamned;AxeDryad;AxeGhost;AxeTurkey;AxeSkeleton;AxeAncientGuardian;AxeGhostCharred;AxeGhostFrozen;AxeGhostShipwrecked;AxeGhostHanged;AxeGhostPlagued;AxeBearElemental;SwordBear;AxeRegurgitator;AxeSprigganForest;AxeCorruptedEntity;AxeBlightFiend;AxeFrostWolf;AxeEarthWolf;AxeLost;AxeWithered;AxeDynasty;AxeDunePhantom;AnubianGuardianBruteBody;AxeAENaga;AnubianLocustScarabBody;AxeSun;HolyShield_Proj
Axe_Throw;AxeDefaultThrow;AxeDefaultThrow;AxeFleshThrow;AxeFleshHeadThrow;AxeArmor;AxeArmorHead;AxeDamnedThrow;AxeDryadThrow;AxeGhostThrow;AxeTurkeyThrow;AxeSkeletonThrow;AxeSkeletonThrow;AxeGhostCharredThrow;AxeGhostFrozenThrow;AxeGhostShipwreckedThrow;AxeGhostHangedThrow;AxeGhostPlaguedThrow;AxeBearElementalThrow;AxeFleshThrow;AxeRegurgitatorThrow;AxeSprigganForestThrow;AxeCorruptedEntityThrow;AxeBlightFiendThrow;AxeFrostWolfThrow;AxeEarthWolfThrow;AxeLostThrow;AxeWitheredThrow;AxeDynastyThrow;AxeDunePhantomThrow;AnubianGuardianBruteBody;AxeAENagaThrow;AxeAENagaThrow;AxeSunThrow;HolyShield_Proj
Axe+Resist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;AxeResist;HolyShield_Proj
Axe+Crit;AxeDefaultCrit;AxeDefaultCrit;AxeDefaultCrit;AxeDefaultCrit;AxeDefaultCrit;AxeDefaultCrit;SwordDamnedCrit;SwordDryadCrit;SwordGhostCrit;SwordTurkeyCrit;SwordSkeletonCrit;SwordAncientGuardianCrit;SwordGhostCharredCrit;SwordGhostFrozenCrit;SwordGhostShipwreckedCrit;SwordGhostHangedCrit;SwordGhostPlaguedCrit;SwordBearElementalCrit;SwordBearCrit;SwordRegurgitatorCrit;AxeSprigganForestCrit;SwordCorruptedEntityCrit;SwordBlightFiendCrit;SwordFrostWolfCrit;SwordEarthWolfCrit;SwordLostCrit;SwordWitheredCrit;SwordDynastyCrit;SwordDunePhantomCrit;AxeDefaultCrit;SwordAENagaCrit;SwordAENagaCrit;SwordSunCrit;HolyShield_Proj
Axe_Throw+Crit;AxeDefaultThrowCrit;AxeDefaultThrowCrit;AxeDefaultThrowCrit;AxeDefaultThrowCrit;AxeDefaultThrowCrit;AxeDefaultThrowCrit;AxeDamnedThrowCrit;AxeDryadThrowCrit;AxeGhostThrowCrit;AxeTurkeyThrowCrit;AxeSkeletonThrowCrit;AxeSkeletonThrowCrit;AxeGhostCharredThrowCrit;AxeGhostFrozenThrowCrit;AxeGhostShipwreckedThrowCrit;AxeGhostHangedThrowCrit;AxeGhostPlaguedThrowCrit;AxeBearElementalThrowCrit;AxeBearThrowCrit;AxeRegurgitatorThrowCrit;AxeForestSprigganThrowCrit;AxeCorruptedEntityThrowCrit;AxeBlightFiendThrowCrit;AxeFrostWolfThrowCrit;AxeEarthWolfThrowCrit;AxeLostThrowCrit;AxeWitheredThrowCrit;AxeDynastyThrowCrit;AxeDunePhantomThrowCrit;AxeDefaultThrowCrit;AxeAENagaThrowCrit;AxeAENagaThrowCrit;AxeSunThrowCrit;HolyShield_Proj
GreatAxe;GreatAxeDefault;GreatAxeDefault;GreatAxeFlesh;GreatAxeFleshHead;GreatAxeArmor;GreatAxeArmorHead;GreatAxeDamned;GreatAxeDryad;GreatAxeGhost;GreatAxeTurkey;GreatAxeSkeleton;GreatAxeAncientGuardian;GreatAxeGhostCharred;GreatAxeGhostFrozen;GreatAxeGhostShipwrecked;GreatAxeGhostHanged;GreatAxeGhostPlagued;GreatAxeBearElemental;SwordBear;GreatAxeRegurgitator;GreatAxeForestSpriggan;GreatAxeCorruptedEntity;GreatAxeBlightFiend;GreatAxeFrostWolf;GreatAxeEarthWolf;GreatAxeLost;GreatAxeWithered;GreatAxeDynasty;GreatAxeDunePhantom;AnubianGuardianBruteBody;GreatAxeAENaga;AnubianLocustScarabBody;GreatAxeSun;HolyShield_Proj
GreatAxe+Resist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;GreatAxeResist;HolyShield_Proj
GreatAxe+Crit;SwordDefaultCrit;SwordDefaultCrit;SwordDefaultCrit;SwordDefaultCrit;SwordDefaultCrit;SwordDefaultCrit;SwordDamnedCrit;SwordDryadCrit;SwordGhostCrit;SwordTurkeyCrit;SwordSkeletonCrit;SwordAncientGuardianCrit;SwordGhostCharredCrit;SwordGhostFrozenCrit;SwordGhostShipwreckedCrit;SwordGhostHangedCrit;SwordGhostPlaguedCrit;SwordBearElementalCrit;SwordBearCrit;SwordRegurgitatorCrit;SwordSprigganForestCrit;SwordCorruptedEntityCrit;SwordBlightFiendCrit;SwordFrostWolfCrit;SwordEarthWolfCrit;SwordLostCrit;SwordWitheredCrit;SwordDynastyCrit;SwordDunePhantomCrit;SwordDefaultCrit;SwordAENagaCrit;SwordAENagaCrit;SwordSunCrit;HolyShield_Proj
Musket;MusketDefault;MusketDefault;MusketFlesh;MusketFleshHead;MusketArmor;MusketArmorHead;MusketDamned;MusketDryad;MusketGhost;MusketTurkey;MusketSkeleton;MusketAncientGuardian;MusketGhostCharred;MusketGhostFrozen;MusketGhostShipwrecked;MusketGhostHanged;MusketGhostPlagued;MusketBearElemental;MusketDefault;MusketRegurgitator;MusketSprigganForest;MusketCorruptedEntity;MusketBlightFiend;MusketFrostWolf;MusketEarthWolf;MusketLost;MusketWithered;MusketDynasty;MusketDunePhantom;MusketDunePhantom;MusketAENaga;MusketAENaga;MusketSun;HolyShield_Proj
Musket_Heavy;MusketDefault;MusketDefault;MusketFlesh;MusketFleshHead;ClubArmor;ClubArmorHead;UnarmedDamned;UnarmedDryad;UnarmedGhost;UnarmedTurkey;UnarmedSkeleton;UnarmedSkeleton;UnarmedGhostCharred;UnarmedGhostFrozen;UnarmedGhostShipwrecked;UnarmedGhostHanged;UnarmedGhostPlagued;UnarmedBearElemental;UnarmedBear;UnarmedRegurgitator;UnarmedSprigganForest;UnarmedCorruptionEntity;UnarmedBlightFiend;UnarmedFrostWolf;UnarmedEarthWolf;UnarmedLost;UnarmedWithered;UnarmedDynasty;UnarmedDunePhantom;UnarmedDunePhantom;UnarmedAENaga;UnarmedAENaga;UnarmedSun;HolyShield_Proj
StickyBomb;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;StickyBombDefault;HolyShield_Proj
Musket+Resist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;StickyBombDefault;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;MusketResist;HolyShield_Proj
Musket+Crit;MusketDefaultCrit;MusketDefaultCrit;MusketFleshCrit;MusketFleshCrit;MusketFleshCrit;MusketFleshCrit;MusketDamnedCrit;MusketDryadCrit;MusketGhostCrit;MusketTurkeyCrit;MusketSkeletonCrit;MusketAncientGuardianCrit;MusketGhostCharredCrit;MusketGhostFrozenCrit;MusketGhostShipwreckedCrit;MusketGhostHangedCrit;MusketGhostPlaguedCrit;MusketBearElementalCrit;MusketBearCrit;MusketRegurgitatorCrit;MusketSprigganForestCrit;MusketCorruptedEntityCrit;MusketBlightFiendCrit;MusketFrostWolfCrit;MusketEarthWolfCrit;MusketLostCrit;MusketWitheredCrit;MusketDynastyCrit;MusketDunePhantomCrit;MusketDefaultCrit;MusketAENagaCrit;MusketAENagaCrit;MusketSunCrit;HolyShield_Proj
Bow;BowDefault;BowDefault;BowFlesh;BowFleshHead;BowArmor;BowArmorHead;BowDamned;BowDryad;BowGhost;BowTurkey;BowSkeleton;BowAncientGuardian;BowGhostCharred;BowGhostFrozen;BowGhostShipwrecked;BowGhostHanged;BowGhostPlagued;BowBearElemental;BowDefault;BowRegurgitator;BowSprigganForest;BowCorruptedEntity;BowBlightFiend;BowFrostWolf;BowEarthWolf;BowLost;BowWithered;BowDynasty;BowDunePhantom;BowDunePhantom;BowAENaga;BowAENaga;BowSun;HolyShield_Proj
Bow_Heavy;BowDefault;BowDefault;BowFlesh;BowFleshHead;ClubArmor;ClubArmorHead;UnarmedDamned;UnarmedDryad;UnarmedGhost;UnarmedTurkey;UnarmedSkeleton;UnarmedSkeleton;UnarmedGhostCharred;UnarmedGhostFrozen;UnarmedGhostShipwrecked;UnarmedGhostHanged;UnarmedGhostPlagued;UnarmedBearElemental;UnarmedBear;UnarmedRegurgitator;UnarmedSprigganForest;UnarmedCorruptionEntity;UnarmedBlightFiend;UnarmedFrostWolf;UnarmedEarthWolf;UnarmedLost;UnarmedWithered;UnarmedDynasty;UnarmedDunePhantom;UnarmedDunePhantom;UnarmedAENaga;UnarmedAENaga;UnarmedSun;HolyShield_Proj
Bow+Resist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;BowResist;HolyShield_Proj
Bow+Crit;BowDefaultCrit;BowDefaultCrit;BowFleshCrit;BowDefaultCrit;BowDefaultCrit;BowDefaultCrit;BowDamnedCrit;BowDryadCrit;BowGhostCrit;BowTurkeyCrit;BowSkeletonCrit;BowAncientGuardianCrit;BowGhostCharredCrit;BowGhostFrozenCrit;BowGhostShipwreckedCrit;BowGhostHangedCrit;BowGhostPlaguedCrit;BowBearElementalCrit;BowDefaultCrit;BowRegurgitatorCrit;BowSprigganForestCrit;BowCorruptedEntityCrit;BowBlightFiendCrit;BowFrostWolfCrit;BowEarthWolfCrit;BowLostCrit;BowWitheredCrit;BowDynastyCrit;BowDunePhantomCrit;BowDefaultCrit;BowAENagaCrit;BowAENagaCrit;BowSunCrit;HolyShield_Proj
Bow_Heavy+Crit;BowDefaultCrit;BowDefaultCrit;BowFleshCrit;BowDefaultCrit;BowDefaultCrit;BowDefaultCrit;BowDamnedCrit;BowDryadCrit;BowGhostCrit;BowTurkeyCrit;BowSkeletonCrit;BowAncientGuardianCrit;BowGhostCharredCrit;BowGhostFrozenCrit;BowGhostShipwreckedCrit;BowGhostHangedCrit;BowGhostPlaguedCrit;BowBearElementalCrit;BowDefaultCrit;BowRegurgitatorCrit;BowSprigganForestCrit;BowCorruptedEntityCrit;BowBlightFiendCrit;BowFrostWolfCrit;BowEarthWolfCrit;BowLostCrit;BowWitheredCrit;BowDynastyCrit;BowDunePhantomCrit;BowDefaultCrit;BowAENagaCrit;BowAENagaCrit;BowSunCrit;HolyShield_Proj
Shield;ShieldDefault;ShieldDefault;ShieldFlesh;ShieldFleshHead;ShieldArmor;ShieldArmorHead;ShieldDamned;ShieldDryad;ShieldGhost;ShieldTurkey;ShieldSkeleton;ShieldAncientGuardian;ShieldGhostCharred;ShieldGhostFrozen;ShieldGhostShipwrecked;ShieldGhostHanged;ShieldGhostPlagued;ShieldBearElemental;ShieldDefault;ShieldRegurgitator;ShieldSprigganForest;ShieldCorruptedEntity;ShieldBlightFiend;ShieldFrostWolf;ShieldEarthWolf;ShieldLost;ShieldWithered;ShieldDynasty;ShieldDunePhantom;ShieldDunePhantom;ShieldAENaga;ShieldAENaga;ShieldSun;HolyShield_Proj
Shield+Resist;ShieldResist;ShieldPlayerResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;ShieldResist;HolyShield_Proj
Shield+Crit;ShieldDefaultCrit;ShieldDefaultCrit;ShieldFleshCrit;ShieldFleshCrit;ShieldDefaultCrit;ShieldDefaultCrit;ShieldDamnedCrit;ShieldDryadCrit;ShieldGhostCrit;ShieldTurkeyCrit;ShieldSkeletonCrit;ShieldAncientGuardianCrit;ShieldGhostCharredCrit;ShieldGhostFrozenCrit;ShieldGhostShipwreckedCrit;ShieldGhostHangedCrit;ShieldGhostPlaguedCrit;ShieldBearElementalCrit;ShieldDefaultCrit;ShieldRegurgitatorCrit;ShieldSprigganForestCrit;ShieldCorruptedEntityCrit;ShieldBlightFiendCrit;ShieldFrostWolfCrit;ShieldEarthWolfCrit;ShieldLostCrit;ShieldWitheredCrit;ShieldDynastyCrit;ShieldDunePhantomCrit;ShieldDefaultCrit;ShieldAENagaCrit;ShieldAENagaCrit;ShieldSunCrit;HolyShield_Proj
Spear;SpearDefault;SpearDefault;SpearFlesh;SpearFleshHead;SpearArmor;SpearArmorHead;SpearDamned;SpearDryad;SpearGhost;SpearTurkey;SpearSkeleton;SpearAncientGuardian;SpearGhostCharred;SpearGhostFrozen;SpearGhostShipwrecked;SpearGhostHanged;SpearGhostPlagued;SpearBearElemental;SpearBear;SpearRegurgitator;SpearSprigganForest;SpearCorruptedEntity;SpearBlightFiend;SpearFrostWolf;SpearEarthWolf;SpearLost;SpearWithered;SpearDynasty;SpearDunePhantom;AnubianGuardianBruteBody;SpearAENaga;AnubianLocustScarabBody;SpearSun;HolyShield_Proj
Spear+Resist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;HolyShield_Proj
Spear+Crit;SpearDefaultCrit;SpearDefaultCrit;SpearFleshCrit;SpearFleshCrit;SpearDefaultCrit;SpearDefaultCrit;SpearDamnedCrit;SpearDryadCrit;SpearGhostCrit;SpearTurkeyCrit;SpearSkeletonCrit;SpearAncientGuardianCrit;SpearGhostCharredCrit;SpearGhostFrozenCrit;SpearGhostShipwreckedCrit;SpearGhostHangedCrit;SpearGhostPlaguedCrit;SpearBearElementalCrit;SpearBearCrit;SpearRegurgitatorCrit;SpearSprigganForestCrit;SpearCorruptedEntityCrit;SpearBlightFiendCrit;SpearFrostWolfCrit;SpearEarthWolfCrit;SpearLostCrit;SpearWitheredCrit;SpearDynastyCrit;SpearDunePhantomCrit;SpearDefaultCrit;SpearAENagaCrit;SpearAENagaCrit;SpearSunCrit;HolyShield_Proj
Spear_Throw;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;SpearDefaultThrow;HolyShield_Proj
Spear_Throw+Resist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;SpearResist;HolyShield_Proj
Spear_Throw+Crit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;SpearDefaultThrowCrit;HolyShield_Proj
