AbilityID;DisplayName;Description;UICategory;Icon;StatusEffectIcon;Sound;TelegraphStatusEffect;TelegraphCountOffset;OnEquipStatusEffect;WeaponTag;RequiredAbilityId;TreeId;TreeRowPosition;TreeColumnPosition;IsActiveAbility;IsGlobalAbility;ScalingStrength;ScalingDexterity;ScalingIntelligence;ScalingSpirit;ScalingConstitution;OnKill;OnExecuted;OnHit;OnBlockedHit;OnCrit;OnHeadShot;OnLegShot;OnHitTaken;OnBlockedHitTaken;OnBlockBreak;OnTargetBlockBreak;OnDeath;OnDeathsDoor;NumSuccessfulHits;NumConsecutiveHits;MaxConsecutiveHits;TrackHitCount;MaxTrackedHitCounts;ResetConsecutiveOnSuccess;NumberOfTrackedHits;NumberOfHitsComparisonType;DamageIsRanged;DamageIsMelee;ForceShowNameTag;HasGritActive;TargetHasGritActive;DamageTableRow;RemoteDamageTableRow;RangedAttackName;AttackType;DamageTypes;StatusEffect;StatusEffectCategories;DontHaveStatusEffect;TargetStatusEffect;TargetStatusEffectCategory;TargetStatusEffectStackSize;TargetStatusEffectComparison;TargetCollisionFilters;TargetMarker;MyHealthPercent;MyComparisonType;MyStaminaPercent;MyStaminaComparisonType;TargetHealthPercent;TargetComparisonType;DistFromDefender;DistComparisonType;NumAroundMe;NumAroundComparisonType;AbilityList;AbilityTrigger;InAction;InActionTime;AfterAction;BaseDamage;BaseDamageReduction;BlockDamage;BlockDamageReduction;CritDamage;CritChance;HeadshotDamage;StaggerDamage;StaggerDamageReduction;HitRateDmg;HitRateDmgReduction;HealthDamageMitigation;ThreatDamage;ArmorPenetration;PhysicalArmor;ElementalArmor;Knockback;WeaponAccuracy;Health;DmgPctToHealth;MaxHealth;Mana;MaxMana;DamageTableRowOverride;RangedAttackNameOverride;EnableCrit;PerStatusEffectOnTarget;ForceTakeStaminaDamage;CastSpell;SelfApplyStatusEffect;OtherApplyStatusEffect;SetPotencyAsCount;MultiplyRemovedByPotency;RemoveStatusEffects;StatusEffectsList;StatusEffectCategoriesList;RemoveTargetStatusEffectsList;ConsumeTargetStatusEffectMult;StatusEffectDurationReduction;TargetStatusEffectDurationList;TargetStatusEffectDurationMod;Duration;CooldownId;CDRImmediatelyOptions;ResetCooldownTimers;CooldownTimer;NumFreeCooldownsPerUse;MaxHitCountMultiplier;SetMannequinTag;SetMannequinTagStatus
Upgrade_WarHammer_Wreck_Fortify;@WreckingBall_Mod1;@WreckingBall_Mod1_description;Melee Damage;warhammerAbility6_mod1;;;;;;Warhammer;Ability_WarHammer_WreckingBall;0;3;4;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;Warhammer_Damage_WreckingBall;;;;;;;;;;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;WarHammer_WreckingBall_Fortify;;;;;;;;;;;;;Ability_WarHammer_WreckingBall;;;0;;;;
Upgrade_WarHammer_Wreck_Pushback;@WreckingBall_Mod2;@WreckingBall_Mod2_description;Melee Damage;firestaffAbility3_mod2;;;;;;Warhammer;Upgrade_WarHammer_Wreck_Fortify;0;4;4;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;Ability_WarHammer_WreckingBall;;;0;;;;
Passive_WarHammer_Juggernaut_LightHeavyPenetrate;@JuggernautTree0Passive1;@JuggernautTree0Passive1_description;Passive;MusketPassive11;;;;;;Warhammer;;0;0;1;false;false;;;;;;false;false;true;true;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;Light,Heavy;;;;;;;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0.10000000149011612;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
Passive_WarHammer_Juggernaut_HeavyEmpower;@JuggernautTree0Passive2;@JuggernautTree0Passive2_description;Passive;firestaffAbility2_mod1;;;;;;Warhammer;;0;0;3;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;Heavy;;;;;;;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;Warhammer_Pass_HeavyEmpower;;;;;;;;;;;;;;;;0;;;;
Passive_WarHammer_Juggernaut_ExhaustOnHit;@JuggernautTree0Passive3;@JuggernautTree0Passive3_description;Passive;warhammerAbility1_mod1;;;;;;Warhammer;;0;1;1;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;Ability;;;;;;;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;Warhammer_Pass_ExhaustOnHit;;;;;;;;;;;;;;;0;;;;
Passive_WarHammer_Juggernaut_HeavyGrit;@JuggernautTree0Passive4;@JuggernautTree0Passive4_description;Passive;firestaffAbility2_mod1;;;;;;Warhammer;;0;1;4;false;false;;;;;;false;false;false;false;false;false;false;true;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;true;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;0;;0;0.20000000298023224;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
Passive_WarHammer_Juggernaut_HeavyvsLowHP;@JuggernautTree0Passive5;@JuggernautTree0Passive5_description;Passive;swordPassive14;;;;;;Warhammer;;0;2;3;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;Heavy;;;;;;;;;;;;;;;30;LessThan;;;0;;;;;0;;0.15000000596046448;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
Passive_WarHammer_Juggernaut_CDROnHit;@JuggernautTree0Passive6;@JuggernautTree0Passive6_description;Passive;warhammerAbility2_mod4;;;;;;Warhammer;;0;3;1;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;Heavy;;;;;;;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;ActiveWeapon;;-0.07000000029802322;;;;
Passive_WarHammer_Juggernaut_DmgAfterTakingDmg;@JuggernautTree0Passive7;@JuggernautTree0Passive7_description;Passive;lifestaffAbility6_mod2;;;;;;Warhammer;;0;4;3;false;false;;;;;;false;false;false;false;false;false;false;true;false;false;false;false;false;1;0;0;false;0;false;0;;false;false;;false;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;WarHammer_Pass_EmpowerOnDmgTaken;;;;;;;;;;;;;;;;0;;;;
Ability_WarHammer_ClearOut;@ClearOut;@ClearOut_description;Debuff;warhammerAbility2;;Play_UI_WeaponSkills_Warhammer_Ability_4;;;;Warhammer;;1;0;2;true;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;Ability_WarHammer_ClearOut;;;0;;;;
Upgrade_WarHammer_ClearOut_FortifyAOE;@ClearOut_Mod1;@ClearOut_Mod1_description;Debuff;warhammerAbility2_mod1;;;;;;Warhammer;Ability_WarHammer_ClearOut;1;1;2;false;false;;;;;;false;false;true;true;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;Warhammer_Damage_ClearOut;;;;;;;;;;;;;;;;;;0;;;;0;;;;Ability_WarHammer_ClearOut;0.10000000149011612;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;WarHammer_Spell_ClearOut_Fortify;;;;;;;;;;;;;;Ability_WarHammer_ClearOut;;;0;;;;
Upgrade_WarHammer_ClearOut_CDRonHit;@ClearOut_Mod2;@ClearOut_Mod2_description;Debuff;warhammerAbility2_mod4;;;;;;Warhammer;Upgrade_WarHammer_ClearOut_FortifyAOE;1;3;2;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;Warhammer_Damage_ClearOut;;;;;;;;;;;;;;;;;;0;;;;0;;;;Ability_WarHammer_ClearOut;0.10000000149011612;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;Ability_WarHammer_ClearOut;AbilitySpecific;;-0.05000000074505806;;;;
Upgrade_WarHammer_ClearOut_Haste;@ClearOut_Mod3;@ClearOut_Mod3_description;Debuff;warhammerAbility3_mod3;;;;;;Warhammer;Upgrade_WarHammer_ClearOut_CDRonHit;1;4;2;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;Warhammer_Damage_ClearOut;;;;;;;;;;;;;;;;;;0;;;;0;;;;Ability_WarHammer_ClearOut;0.10000000149011612;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;WarHammer_ClearOut_Haste;;;;;;;;;;;;;Ability_WarHammer_ClearOut;;;0;;;;
Ability_WarHammer_Shockwave;@Shockwave;@Shockwave_description;Debuff;warhammerAbility5;;Play_UI_WeaponSkills_Warhammer_Ability_5;;;;Warhammer;;1;1;0;true;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;Ability_WarHammer_Shockwave;0.10000000149011612;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;WarHammer_Shockwave_Stun;;;;;;;;;;;;Ability_WarHammer_Shockwave;;;0;;;;
Upgrade_WarHammer_Shockwave_Weaken;@Shockwave_Mod1;@Shockwave_Mod1_description;Debuff;warhammerAbility5_mod1;;;;;;Warhammer;Ability_WarHammer_Shockwave;1;2;0;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;Ability_WarHammer_Shockwave;0.10000000149011612;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;WarHammer_Shockwave_Weaken;;;;;;;;;;;;Ability_WarHammer_Shockwave;;;0;;;;
Upgrade_WarHammer_Shockwave_SizeIncrease;@Shockwave_Mod2;@Shockwave_Mod2_description;Debuff;warhammerAbility5_mod2;;;;;;Warhammer;Upgrade_WarHammer_Shockwave_Weaken;1;3;0;false;false;;;;;;false;false;true;true;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;Ability_WarHammer_Shockwave;0.10000000149011612;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;Ability_WarHammer_Shockwave;;;0;;;;
Ability_WarHammer_PathOfDestiny;@PathOfDestiny;@PathOfDestiny_description;Debuff;warhammerAbility4;;Play_UI_WeaponSkills_Warhammer_Ability_6;;;;Warhammer;;1;2;4;true;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;Ability_WarHammer_PathOfDestiny;0.10000000149011612;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;Ability_WarHammer_PathOfDestiny;;;0;;;;
Upgrade_WarHammer_PathOfDestiny_Stagger;@PathOfDestiny_Mod1;@PathOfDestiny_Mod1_description;Debuff;warhammerAbility4_mod2;;;;;;Warhammer;Ability_WarHammer_PathOfDestiny;1;3;4;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;Ability_WarHammer_PathOfDestiny;0.10000000149011612;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;Ability_WarHammer_PathOfDestiny;;;0;;;;
Upgrade_WarHammer_PathOfDestiny_CDRPerHit;@PathOfDestiny_Mod2;@PathOfDestiny_Mod2_description;Debuff;warhammerAbility2_mod4;;;;;;Warhammer;Upgrade_WarHammer_PathOfDestiny_Stagger;1;4;4;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;true;0;false;4;LessThanOrEqual;false;false;;false;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;Ability_WarHammer_PathOfDestiny;0.10000000149011612;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;Ability_WarHammer_PathOfDestiny;AbilitySpecific;;-0.05000000074505806;;;;
Passive_WarHammer_CrowdCrusher_ArmorPerNearbyEnemy;@CCTree1Passive1;@CCTree1Passive1_description;Passive;warhammerAbility2;;;;;;Warhammer;;1;0;1;false;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;;;;;;;;;;;;;;;;0;;;;2;GreaterThanOrEqual;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;WarHammer_CrowdCrusher_ArmorNearbyEnemy;;;;;;;;;;;;;;;;0;;;;
Passive_WarHammer_CrowdCrusher_LessStaminaOnBlock;@CCTree1Passive2;@CCTree1Passive2_description;Passive;Spear_VaultKick_EmpowerOnBlockBreak;;;;;;Warhammer;;1;0;3;false;false;;;;;;false;false;false;false;false;false;false;false;true;false;false;false;false;0;0;0;false;0;false;0;;false;true;;false;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0.30000001192092896;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
Passive_WarHammer_CrowdCrusher_RangeAbsorbSprint;@CCTree1Passive3;@CCTree1Passive3_description;Passive;Rapier_EvasionPass4_ArtOfBattle;;;;;;Warhammer;;1;1;3;false;false;;;;;;false;false;false;false;false;false;false;true;false;false;false;false;false;0;0;0;false;0;false;0;;true;false;;false;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
Passive_WarHammer_CrowdCrusher_CDROnDebuffHit;@CCTree1Passive4;@CCTree1Passive4_description;Passive;warhammerAbility2_mod4;;;;;;Warhammer;;1;1;4;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;Light;;;;;;Debuff;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;ActiveWeapon;;-0.07000000029802322;;;;
Passive_WarHammer_CrowdCrusher_HasteOnDebuff;@CCTree1Passive5;@CCTree1Passive5_description;Passive;warhammerAbility3_mod3;;;;;;Warhammer;;1;2;1;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;;;;;;;Debuff;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;WarHammer_Pass_Haste;;;;;;;;;;;;;;;;0;;;;
Passive_WarHammer_CrowdCrusher_DmgToWHDebuff;@CCTree1Passive6;@CCTree1Passive6_description;Passive;warhammerAbility2_mod3;;;;;;Warhammer;;1;2;3;false;false;;;;;;false;false;true;true;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;;;;;;;;;;Warhammer;;;;;;;;;0;;;;0;;;;;0;;0.15000000596046448;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
Passive_WarHammer_CrowdCrusher_HPOnCCHit;@CCTree1Passive7;@CCTree1Passive7_description;Passive;swordPassive10;;;;;;Warhammer;;1;3;3;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;Warhammer_Damage_ClearOut,Warhammer_Damage_Shockwave,Warhammer_Damage_Shockwave_L2,Warhammer_Damage_Shockwave_L4,Warhammer_Damage_PathOfDestiny,Warhammer_Damage_PathOfDestiny_L2,Warhammer_Damage_PathOfDestiny_L3;;;Ability;;;;;;;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0.3499999940395355;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
Passive_WarHammer_CrowdCrusher_DebuffReduction2Hits;@CCTree1Passive8;@CCTree1Passive8_description;Passive;swordPassive11;;;;;;Warhammer;;1;4;1;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;2;2;false;0;true;0;;false;false;;false;;;;;Light;;;;Warhammer_Pass_DebuffShorten;;;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;Warhammer_Pass_DebuffShorten;;;;;;;;;;;;;;;;0;;;;
Ult_Passive_WarHammer_SlowOnCC;@CCTree1Ult;@CCTree1Ult_description;Passive;warhammerAbility4_mod2;;Play_UI_WeaponSkills_Warhammer_Ultimate_2;;;;Warhammer;;1;5;2;false;false;;;;;;false;false;true;true;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;0;;false;false;;false;;Warhammer_Damage_ClearOut,Warhammer_Damage_Shockwave,Warhammer_Damage_Shockwave_L2,Warhammer_Damage_Shockwave_L4,Warhammer_Damage_PathOfDestiny,Warhammer_Damage_PathOfDestiny_L2,Warhammer_Damage_PathOfDestiny_L3;;;Ability;;;;;;;;;;;;;;;0;;;;0;;;;;0;;0;0;0;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;;WarHammer_Ult_SlowOnCC;;;;;;;;;;;;;;;0;;;;
