AbilityID;DisplayName;Description;UICategory;Icon;StatusEffectIcon;Sound;TelegraphStatusEffect;TelegraphCountOffset;OnEquipStatusEffect;WeaponTag;RequiredAbilityId;TreeId;TreeRowPosition;TreeColumnPosition;IsActiveAbility;IsGlobalAbility;ScalingStrength;ScalingDexterity;ScalingIntelligence;ScalingSpirit;ScalingConstitution;OnKill;OnExecuted;OnHit;OnBlockedHit;OnCrit;OnHeadShot;OnLegShot;OnHitTaken;OnBlockBreak;OnTargetBlockBreak;OnDeath;OnDeathsDoor;RequireReaction;NumSuccessfulHits;NumConsecutiveHits;MaxConsecutiveHits;TrackHitCount;MaxTrackedHitCounts;ResetConsecutiveOnSuccess;DamageIsRanged;DamageIsMelee;ForceShowNameTag;TargetHasGritActive;DamageTableRow;RemoteDamageTableRow;RangedAttackName;AttackType;DamageTypes;StatusEffect;StatusEffectCategories;DontHaveStatusEffect;CheckStatusEffectsOnTargetOwned;TargetStatusEffect;TargetStatusEffectCategory;TargetStatusEffectStackSize;TargetStatusEffectComparison;TargetCollisionFilters;TargetMarker;MyHealthPercent;MyComparisonType;MyStaminaPercent;MyStaminaComparisonType;TargetHealthPercent;TargetComparisonType;DistFromDefender;DistComparisonType;NumAroundMe;NumAroundComparisonType;AbilityList;AbilityTrigger;InAction;InActionTime;AfterAction;BaseDamage;BaseDamageReduction;BlockDamage;BlockDamageReduction;CritDamage;CritChance;HeadshotDamage;StaggerDamage;StaggerDamageReduction;HitRateDmg;HitRateDmgReduction;HealthDamageMitigation;ThreatDamage;ArmorPenetration;PhysicalArmor;ElementalArmor;LinearlyScaleToDistance;Knockback;WeaponAccuracy;Health;DmgPctToHealth;MaxHealth;Mana;MaxMana;DamageTableRowOverride;StatusEffectDamageTableRowOverride;ForceStatusEffectDamageTableRow;RangedAttackNameOverride;EnableCrit;PerStatusEffectOnTarget;ForceTakeStaminaDamage;CastSpell;SelfApplyStatusEffect;OtherApplyStatusEffect;SetPotencyAsCount;MultiplyRemovedByPotency;RemoveStatusEffects;StatusEffectsList;StatusEffectCategoriesList;RemoveTargetStatusEffectsList;ConsumeTargetStatusEffectMult;StatusEffectDurationReduction;TargetStatusEffectDurationList;TargetStatusEffectDurationMod;Duration;CooldownId;CDRImmediatelyOptions;ResetCooldownTimers;CooldownTimer;NumFreeCooldownsPerUse;MaxHitCountMultiplier;SetMannequinTag;SetMannequinTagStatus
Passive_Musket_Sharpshooter_3HeadshotReload;@SharpshooterTree0Passive1;@SharpshooterTree0Passive1_description;Passive;lyshineui/images/icons/abilities/musketAbility1_mod1.png;;;;;;Rifle;;0;0;1;false;false;;;;;;false;false;false;false;false;true;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;Musket_Pass_HeadshotTracker;;;;;;;;;;;0;0;;;;0;0;;;
Passive_Musket_Sharpshooter_DMGIfAim2Sec;@SharpshooterTree0Passive2;@SharpshooterTree0Passive2_description;Passive;lyshineui/images/icons/abilities/musketpassive11.png;;;;;;Rifle;;0;0;3;false;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;Firearm_AimShoot_SubState;3;;0.05000000074505806;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;0;0;;;
Passive_Musket_Sharpshooter_Accuracy;@SharpshooterTree0Passive3;@SharpshooterTree0Passive3_description;Passive;lyshineui/images/icons/abilities/bowPassive2.png;;;;;;Rifle;;0;1;1;false;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;75;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;0;0;;;
Passive_Musket_Sharpshooter_EmpowerOnHeadshot;@SharpshooterTree0Passive4;@SharpshooterTree0Passive4_description;Passive;lyshineui/images/icons/abilities/musketpassive5.png;;;;;;Rifle;;0;1;4;false;false;;;;;;false;false;false;false;false;true;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;Musket_Pass_EmpowerOnHeadshot;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;Musket_Pass_EmpowerOnHeadshot;;;;;;;;;;;0;0;;;;0;0;;;
Passive_Musket_Sharpshooter_DmgFallOff;@SharpshooterTree0Passive5;@SharpshooterTree0Passive5_description;Passive;lyshineui/images/icons/abilities/musketPassive1.png;;;;;;Rifle;;0;2;1;false;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;Basic;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;Basic_Ranged;;;;;;;;;;;;;;;;0;0;;;;0;0;;;
Passive_Musket_Sharpshooter_CDROnHeadshot;@SharpshooterTree0Passive6;@SharpshooterTree0Passive6_description;Passive;lyshineui/images/icons/abilities/hatchetAbility2_mod3.png;;;;;;Rifle;;0;3;3;false;false;;;;;;false;false;false;false;false;true;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;Light;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;ActiveWeapon;;-0.10000000149011612;0;;;
Passive_Musket_Sharpshooter_CritChanceDistance;@SharpshooterTree0Passive7;@SharpshooterTree0Passive7_description;Passive;lyshineui/images/icons/abilities/musketPassive1.png;;;;;;Rifle;;0;4;1;false;false;;;;;;false;false;false;false;true;true;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;Light;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0.15000000596046448;;0.15000000596046448;;;;;;;0;;;100;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;0;0;;;
Passive_Musket_Sharpshooter_Precision;@SharpshooterTree0Passive8;@SharpshooterTree0Passive8_description;Passive;lyshineui/images/icons/abilities/musketPassive2.png;;;;;;Rifle;;0;4;3;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;true;0;0;0;false;0;false;false;;;;MusketAttack1,MusketAttack_ShootersStance;;;Light;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;Musket_Pass_Damage_EveryADSShot;;;;;;;;;;;0;0;;;;0;0;;;
Ult_Passive_Musket_ZoomHeadshot;@SharpshooterTree0Ult;@SharpshooterTree0Ult_description;Passive;lyshineui/images/icons/abilities/musketPassive4.png;;Play_UI_WeaponSkills_Musket_Ultimate_1;;;;Rifle;;0;5;2;false;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0.15000000596046448;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;0;0;;;
Ability_Musket_Traps;@Traps;@Traps_description;Debuff;lyshineui/images/icons/abilities/musketAbility4.png;;Play_UI_WeaponSkills_Musket_Ability_4;;;;Rifle;;1;0;2;true;true;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;Musket_Trap,Musket_Trap_DMG;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;Ability_Musket_Traps;;;0;0;;;
Upgrade_Musket_TrapRend;@Traps_Mod1;@Traps_Mod1_description;Debuff;lyshineui/images/icons/abilities/musketAbility4_Mod1.png;;;;;;Rifle;Ability_Musket_Traps;1;1;2;false;true;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;Ability_Musket_Traps;;;0;0;;;
Upgrade_Musket_TrapLifeSteal;@Traps_Mod2;@Traps_Mod2_description;Debuff;lyshineui/images/icons/abilities/musketAbility4_Mod1.png;;;;;;Rifle;Upgrade_Musket_TrapRend;1;3;2;false;true;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;true;0;0;0;false;0;false;false;;;;;;;;;;;;false;;Root;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;1;;;;;;;;;;;;;;;;;;;;;;;0;0;Ability_Musket_Traps;;;0;0;;;
Upgrade_Musket_DoubleTrap;@Traps_Mod3;@Traps_Mod3_description;Debuff;lyshineui/images/icons/abilities/musketAbility4_Mod2.png;;;;;;Rifle;Upgrade_Musket_TrapWeakenAOE;1;4;2;false;true;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;Ability_Musket_Traps;;;0;1;;;
Ability_Musket_StickyBomb;@StickyBomb;@StickyBomb_description;Ranged Damage;lyshineui/images/icons/abilities/musketAbility6.png;;Play_UI_WeaponSkills_Musket_Ability_5;;;;Rifle;;1;2;4;true;true;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;0;0;;;
Passive_Musket_StickyStamina;@StickyBomb_Mod1;@StickyBomb_Mod1_description;Ranged Damage;lyshineui/images/icons/abilities/Spear_VaultKick_AlwaysDoStaminaDmg.png;;;;;;Rifle;Ability_Musket_StickyBomb;1;3;4;false;true;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;Musket_StickyBomb_Explosion;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;Musket_Sticky_StaminaRegen;;;;;;;;;;;0;0;Ability_Musket_StickyBomb;;;0;0;;;
Passive_Musket_StickySlow;@StickyBomb_Mod2;@StickyBomb_Mod2_description;Ranged Damage;lyshineui/images/icons/abilities/musketPassive6.png;;;;;;Rifle;Passive_Musket_StickyStamina;1;4;4;false;true;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;Musket_StickyBomb_Projectile;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;Musket_Sticky_Slow;;;;;;;;;;0;0;Ability_Musket_StickyBomb;;;0;0;;;
Ability_Musket_StoppingPower;@StoppingPower;@StoppingPower_description;Ranged Damage;lyshineui/images/icons/abilities/musketAbility2_Mod2.png;;Play_UI_WeaponSkills_Musket_Ability_6;;;;Rifle;;1;1;0;true;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;true;0;0;0;false;0;false;false;;;;Musket_Damage_StoppingPower;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;Ability_Musket_StoppingPower;;;0;0;;;
Upgrade_Musket_StoppingExhaust;@StoppingPower_Mod1;@StoppingPower_Mod1_description;Ranged Damage;lyshineui/images/icons/abilities/Spear_VaultKick_AlwaysDoStaminaDmg.png;;;;;;Rifle;Ability_Musket_StoppingPower;1;2;0;false;false;;;;;;false;false;true;true;false;false;false;false;false;false;false;false;true;0;0;0;false;0;false;false;;;;Musket_Damage_StoppingPower;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;Musket_StoppingPower_Exhaust;;;;;;;;;;0;0;Ability_Musket_StoppingPower;;;0;0;;;
Upgrade_Musket_StoppingSlow;@StoppingPower_Mod2;@StoppingPower_Mod2_description;Ranged Damage;lyshineui/images/icons/abilities/musketPassive6.png;;;;;;Rifle;Upgrade_Musket_StoppingExhaust;1;4;0;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;true;0;0;0;false;0;false;false;;;;Musket_Damage_StoppingPower;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;Musket_StoppingPower_Slow;;;;;;;;;;0;0;Ability_Musket_StoppingPower;;;0;0;;;
Passive_Musket_Trapper_DMGvsLowHP;@TrapperTree1Passive1;@TrapperTree1Passive1_description;Passive;lyshineui/images/icons/abilities/hatchetAbility3_Mod2.png;;;;;;Rifle;;1;0;0;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;false;;;;;;;;;;;30;LessThan;;;0;;;;;0;;0.10000000149011612;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;0;0;;;
Passive_Musket_Trapper_BackSpdNearEnemy;@TrapperTree1Passive2;@TrapperTree1Passive2_description;Passive;lyshineui/images/icons/abilities/musketAbility3.png;;;;;;Rifle;;1;0;4;false;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;false;;;;;;;;;;;0;;;;1;GreaterThanOrEqual;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;Musket_Pass_WalkSpeedWhileNearEnemy;;;;;;;;;;;0;0;;;;0;0;;;
Passive_Musket_Trapper_StamDMGPenetrate;@TrapperTree1Passive3;@TrapperTree1Passive3_description;Passive;lyshineui/images/icons/abilities/Spear_VaultKick_EmpowerOnBlockBreak.png;;;;;;Rifle;;1;1;1;false;false;;;;;;false;false;true;true;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;true;;;;;;;Light;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;;0;;0.5;;0;;0;;;;;;;0.10000000149011612;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;0;0;;;
Passive_Musket_Trapper_EmpowerOnDebuffHit;@TrapperTree1Passive4;@TrapperTree1Passive4_description;Passive;lyshineui/images/icons/abilities/Spear_VaultKick_EmpowerOnBlockBreak.png;;;;;;Rifle;;1;1;3;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;true;0;0;0;false;0;false;false;;;;;;;;;;;Musket_Pass_EmpowerOnDebuffHit;false;;Debuff;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;Musket_Pass_EmpowerOnDebuffHit;;;;;;;;;;;0;0;;;;0;0;;;
Passive_Musket_Trapper_HasteOnDodge;@TrapperTree1Passive5;@TrapperTree1Passive5_description;Passive;lyshineui/images/icons/abilities/bowPassive5.png;;;;;;Rifle;;1;2;1;false;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;Dodge;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;Musket_Pass_HasteOnDodge;;;;;;;;;;;0;2;;;;0;0;;;
Passive_Musket_Trapper_DodgeReload;@TrapperTree1Passive6;@TrapperTree1Passive6_description;Passive;lyshineui/images/icons/abilities/bowPassive5.png;;;;;;Rifle;;1;3;3;false;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;false;;;;;;;;;;;0;;;;0;;;;;0;Dodge;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;0;0;;;
Passive_Musket_Trapper_StaminaOnDebuffHit;@TrapperTree1Passive7;@TrapperTree1Passive7_description;Passive;lyshineui/images/icons/abilities/Rapier_Ability6Mod2_MinorTempo.png;;;;;;Rifle;;1;3;1;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;true;0;0;0;false;0;false;false;;;;;;;;;;;;false;;Debuff;;;;;;;;;0;;;;0;;;;;0;;0;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;Musket_Pass_StaminaOnDebuffHit;;;;;;;;;;;0;0;;;;0;0;;;
Passive_Musket_Trapper_DMGOnDebuffHit;@TrapperTree1Passive8;@TrapperTree1Passive8_description;Passive;lyshineui/images/icons/abilities/Spear_Skewer_BonusDmgVsMaxHP.png;;;;;;Rifle;;1;4;3;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;true;0;0;0;false;0;false;false;;;;;;;;;;;;false;;CC;;;;;;;;;0;;;;0;;;;;0;;0.10000000149011612;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;0;0;;;
Ult_Passive_Musket_StackAbilities;@TrapperTree1Ult;@TrapperTree1Ult_description;Passive;lyshineui/images/icons/abilities/LifestaffPassive7.png;;Play_UI_WeaponSkills_Musket_Ultimate_2;;;;Rifle;;1;5;2;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;true;0;0;0;false;0;false;false;;;;;;;;;;;;true;;Trapper;;;;;;;;;0;;;;0;;;;;0;;0.20000000298023224;;0;;0;;0;;;;;;;0;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;0;0;;;
