TerritoryID;NameLocalizationKey;BaseStructureLimit;MaxStructureLimit;TerritoryScore;IsPOI;MapIcon;CompassIcon;DiscoveryRadius;IsDiscoverable;IsChartable;DefaultAchievement;OutpostId;Debug;LootTags;DiscoveredAchievement;ChartedAchievement;POITag;AudioGroup;AudioState;CanPlaceCamp;DevName;VitalsCategory;LevelRange;Containers;TooltipBackground;GameMode;GroupSize;IsCollapsible;UnchartedIcon
30119;@ui_poi_ancient_ruins_30119;;;;true;LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png;;350;true;true;0;;;;ancient_ruins_30119_discovered;ancient_ruins_30119_charted;ancient_ruins_30119;Music_POI;ancient_ruins;false;Ancient Ruins Achernar;Ancients;16-19;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png;;0;false;
30120;@ui_poi_ancient_ruins_30120;;;;true;LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png;;350;true;true;0;;;;ancient_ruins_30120_discovered;ancient_ruins_30120_charted;ancient_ruins_30120;Music_POI;ancient_ruins;false;Pollus;;;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png;;0;false;
30121;@ui_poi_ancient_ruins_30121;;;;true;LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png;;200;true;true;0;;;;ancient_ruins_30121_discovered;ancient_ruins_30121_charted;ancient_ruins_30121;Music_POI;ancient_ruins;false;Ancient Ruins Antares;Ancients;16-19;2;LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png;;0;false;
30122;@ui_poi_cavern_mb_01_30122;;;;true;LyShineUI/Images/Map/Icon/POIs/cave.png;;100;true;true;0;;;;drowned_cavern_30122_discovered;drowned_cavern_30122_charted;drowned_cavern_30122;Music_POI;cave;false;Drowned Cavern;Drowned;3-7;5;LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_darkness_minor_hive.png;;0;false;
30123;@ui_poi_shipwreck_mb_01_30123;;;;true;LyShineUI/Images/Map/Icon/POIs/Shipwreck.png;;100;true;true;0;;;;drowned_shipwreck_1_30123_discovered;drowned_shipwreck_1_30123_charted;drowned_shipwreck_1_30123;Music_POI;shipwreck;false;Capili's Coronation;Drowned;3-5;3;LyShineUI/Images/Map/tooltipImages/mapTooltip_territory9.png;;0;false;
30124;@ui_poi_cave_30124;;;;true;LyShineUI/Images/Map/Icon/POIs/Fort_elite.png;;375;true;true;0;;;DeadmansCove,Lost;undead_cavern_30124_discovered;undead_cavern_30124_charted;undead_cavern_30124,elite;Music_POI;cave;false;Deadfool Cove;Pirates;25;8;LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_DeadmansCove.png;;3;false;
30125;@ui_poi_shipwreck_mb_02_30125;;;;true;LyShineUI/Images/Map/Icon/POIs/Shipwreck.png;;100;true;true;0;;;;drowned_shipwreck_2_30125_discovered;drowned_shipwreck_2_30125_charted;drowned_shipwreck_2_30125;Music_POI;shipwreck;false;The Rise of Poseidon;Drowned;3-5;3;LyShineUI/Images/Map/tooltipImages/mapTooltip_territory9.png;;0;false;
30126;@ui_poi_undeadbastion_30126;;;;true;LyShineUI/Images/Map/Icon/POIs/hero_shipwreck.png;;250;true;true;0;;;;undead_bastion_30126_discovered;undead_bastion_30126_charted;undead_bastion_30126;Music_POI;bastion;false;Nautilus of Nunez;Pirates;21-25;15;LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png;;0;false;
30127;@ui_poi_undeadbastion_30127;;;;true;LyShineUI/Images/Map/Icon/POIs/abandoned_fishing_village.png;;250;true;true;0;;;;undead_bastion_30127_discovered;undead_bastion_30127_charted;undead_bastion_30127;Music_POI;bastion;false;Brigand Bastion;Pirates;15-22;5;/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png;;0;false;
30128;@ui_poi_boar_infest_01_30128;;;;true;LyShineUI/Images/Map/Icon/NPCs/Boar_Compass.png;;100;true;true;0;;;;boar_infestation_1_30128_discovered;boar_infestation_1_30128_charted;boar_infestation_1;Music_POI;infestation;false;Boar Infestation;Boars;3;0;LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_boar_island.png;;0;false;
30129;@ui_poi_shipwreck_mb_03_30129;;;;true;LyShineUI/Images/Map/Icon/POIs/Shipwreck.png;;100;true;true;0;;;;drowned_shipwreck_3_30129_discovered;drowned_shipwreck_3_30129_charted;drowned_shipwreck_3_30129;Music_POI;shipwreck;false;Hurley's Hope;Drowned;3-7;3;LyShineUI/Images/Map/tooltipImages/mapTooltip_territory9.png;;0;false;
30130;@ui_poi_shipwreck_mb_04_30130;;;;true;LyShineUI/Images/Map/Icon/POIs/Shipwreck.png;;100;true;true;0;;;;drowned_shipwreck_4_30130_discovered;drowned_shipwreck_4_30130_charted;drowned_shipwreck_4_30130;Music_POI;shipwreck;false;Bounty of Boehm;Drowned;3-7;3;LyShineUI/Images/Map/tooltipImages/mapTooltip_territory9.png;;0;false;
30131;@ui_poi_greywolf_den_30131;;;;true;LyShineUI/Images/Map/Icon/POIs/wolf_den.png;;100;true;true;0;;;;greywolf_den_30131_discovered;greywolf_den_30131_charted;greywolf_den_30131;Music_POI;wolf_den;false;Bayhowl Burrow;AlphaWolf;10;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png;;0;false;
30132;@ui_poi_greywolf_den_30132;;;;true;LyShineUI/Images/Map/Icon/POIs/wolf_den.png;;100;true;true;0;;;;greywolf_den_30132_discovered;greywolf_den_30132_charted;greywolf_den_30132;Music_POI;wolf_den;false;Hurtfang Hole;AlphaWolf;10;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png;;0;false;
30133;@ui_poi_boar_infest_01_30133;;;;true;LyShineUI/Images/Map/Icon/NPCs/Boar_Compass.png;;100;true;true;0;;;;boar_infestation_1_30133_discovered;boar_infestation_1_30133_charted;boar_infestation_1;Music_POI;infestation;false;Boar Infestation;Boars;3;0;LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_boar_island.png;;0;false;
30134;@ui_poi_devilspit_30134;;;;true;LyShineUI/Images/Map/Icon/POIs/abandoned_campsite.png;;35;true;true;0;;;;devilspit_30134_discovered;devilspit_30134_charted;devilspit_30134;Music_POI;devilspit;false;Devil's Pit;;;0;LyShineUI\Images\Map\tooltipImages\mapTooltip_storage.png;;0;false;
30135;@ui_poi_alpha_wolf_den_30135;;;;true;LyShineUI/Images/Map/Icon/POIs/cave.png;;100;true;true;0;;;;alphawolf_den_30135_discovered;alphawolf_den_30135_charted;alphawolf_den_30135;Music_POI;wolf_den;false;Offal Grotto;Lynx;16;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_catden.png;;0;false;
30136;@ui_poi_infested_monolith_30136;;;;true;LyShineUI/Images/Map/Icon/POIs/ancient_tower.png;;100;true;true;0;;;;Infested_Monolith_30136_discovered;Infested_Monolith_30136_charted;Infested_Monolith_30136;Music_POI;Infested_Monolith;false;Infested Monolith;;;0;LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_darkness_major_monolith.png;;0;false;
30137;@ui_poi_fish_hotspot_broad;;;;true;LyShineUI/Images/Map/Icon/POIs/fish_hotspot1.png;;60;false;true;0;;;;;fish_hotspot_30137_charted;FishingHotspot;Music_POI;camp;false;Fishing Hotspot;;;0;/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png;;0;false;
30138;@ui_poi_fish_hotspot_broad;;;;true;LyShineUI/Images/Map/Icon/POIs/fish_hotspot1.png;;60;false;true;0;;;;;fish_hotspot_30138_charted;FishingHotspot;Music_POI;camp;false;Fishing Hotspot;;;0;/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png;;0;false;
30139;@ui_poi_fish_hotspot_rare;;;;true;LyShineUI/Images/Map/Icon/POIs/fish_hotspot2.png;;60;false;true;0;;;;;fish_hotspot_30139_charted;FishingHotspot;Music_POI;camp;false;Fishing Hotspot;;;0;/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_2.png;;0;false;
30140;@ui_poi_fish_hotspot_rare;;;;true;LyShineUI/Images/Map/Icon/POIs/fish_hotspot2.png;;60;false;true;0;;;;;fish_hotspot_30140_charted;FishingHotspot;Music_POI;camp;false;Fishing Hotspot;;;0;/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_2.png;;0;false;
30141;@ui_poi_factionarea_30141;;;;true;;;60;false;true;0;;;;;factionarea_30141_charted;poi_30141_factionarea;Music_POI;factionarea;true;Faction Area;;;0;;;0;false;
30142;@ui_poi_spiritshrine_01_30142;;;;true;LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png;;150;false;true;1;;;;;spiritshrine_01_30142_charted;spiritshrine_01_30142;Music_POI;watchtower;false;Spirit Shrine;;;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png;;0;false;LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png
30143;@ui_poi_camp_30143;;;;true;LyShineUI/Images/Map/Icon/POIs/military_camp.png;;150;true;true;0;;;;camp_30143_discovered;camp_30143_charted;camp_30143;Music_POI;camp;false;;;;0;LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_poi_varangian.png;;0;false;
30144;@ui_poi_yeti_30144;;;;true;LyShineUI/Images/Map/Icon/POIs/event_cave.png;;150;true;true;0;;;;yeti_30144_discovered;yeti_30144_charted;yeti_30144;Music_POI;wolf_den;false;;;;0;LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_poi_icecave.png;;0;false;
30145;@ui_poi_wintervillage_30145;;;;true;LyShineUI/Images/Map/Icon/POIs/event_village.png;;150;true;true;2;;;;;;wintervillage_30145;Music_POI;village_winter;false;;;;0;LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_poi_wintervillage.png;;0;true;
30146;@ui_poi_factionarea_30146;;;;true;;;60;false;true;0;;;;;factionarea_30146_charted;poi_30146_factionarea;Music_POI;factionarea;true;Faction Area;;;0;;;0;false;
30147;@ui_poi_factionarea_30147;;;;true;;;60;false;true;0;;;;;factionarea_30147_charted;poi_30147_factionarea;Music_POI;factionarea;true;Faction Area;;;0;;;0;false;
30148;@ui_poi_factionarea_30148;;;;true;;;60;false;true;0;;;;;factionarea_30148_charted;poi_30148_factionarea;Music_POI;factionarea;true;Faction Area;;;0;;;0;false;
