DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;AddDmg;StaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Swamp_Archer_Piercing_Shot;Bow;0;0;true;Bullet;Heavy;Nature;;;false;Deflect_Default;false;1;1;1;3;3;3;30;35;30;0;4;0;0.800000011920929;0;4;0;0.800000011920929;0;0;0;0;0;0;0;Small;4;1.5;1;1
Swamp_Archer_Trap_Projectile;Bow;0;0;true;Bullet;Light;Thrust;;;false;Deflect_Default;false;0.20000000298023224;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Small;0;0;0;0
Swamp_Archer_Trap;Bow;0;0;true;Bullet;Heavy;Thrust;;;false;Deflect_Default;false;0.800000011920929;1;1;4;4;4;30;25;30;0;4;0;0.800000011920929;0;4;0;0.800000011920929;0;0;0;0;0;0;0;Small;0;0.4000000059604645;1;1
Archer_Volley;Bow;0;0;false;Bullet;Heavy;Thrust;;;false;Deflect_Default;false;0.800000011920929;1;1;0;0;0;10;15;10;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;Small;3;0.800000011920929;1;1
Swamp_Archer_Charged_Melee;Bow;0;0;false;Bullet;Heavy;Strike;;;false;Deflect_Default;false;1;1;1;3;3;3;30;35;30;0;4;0;0.800000011920929;0;4;0;0.800000011920929;0;1;0;0.800000011920929;0;0;0;Small;4;0.800000011920929;1;1
Swamp_Archer_Fast_Melee;Bow;0;0;false;Bullet;Light;Strike;;;false;Deflect_Default;false;0.800000011920929;1;1;0;1;0;10;10;10;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;1;0;0.800000011920929;0;0;0;Small;3;0.33000001311302185;1;0
Swamp_Dryad_Death_Projectile;;1;1;true;Bullet;Heavy;Thrust;;AI_Swamp_Dryad_Death_Buff;false;Deflect_Default;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Small;0;0;0;0
Deflect_Default;Unarmed;1;0;false;;;Deflect;;;false;;false;0;0;0;2;2;2;0;0;0;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0;0;0;0;0;0;Small;0;0.44999998807907104;1;1
Fall;Fall;1;1;false;Bullet;;Falling;;;false;;false;1;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Small;0;1;1;1
Reaction_Breakout;Fall;1;1;false;Bullet;;Falling;;;false;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;Small;1;0;0;1
