TaskID;Type;FailOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;UseGlobalStorage;EnforceLocationRequirement;TerritoryID;POITag;GameModeID;LootTag;PauseAndClearLootOnTaskComplete;AwardOnlyOnce;ShouldCheckPoints;GuranteedDropAttempts;TargetThreshold;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;TargetDescriptionTaskId;OverrideLocation;TP_StayComplete;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
1414_0101_d_02_Task_HaveAndReturnItem;TaskHaveAndReturnItems;;1;1;MI_SummonsNote;;0;0;false;false;;;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1403A_0301_d_00_Container_GKW;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1403A_0301_d_00a_GiveKey;1403A_0301_d_01_Task;1403A_0301_d_02_Task;;
1403A_0301_d_00a_GiveKey;TaskGiveItem;;1;1;KeyGenesis;;0;0;false;false;;;;;false;true;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;
1403A_0301_d_01_Task;TaskGoToPOITag;;1;1;;;0;0;false;false;;dungeon_edengrove;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1403A_0301_d_01_Task;;;;;;;;;;;;;;
1403A_0301_d_02_Task;TaskKillContribution;;1;1;;;0;0;false;false;;dungeon_edengrove;;;false;false;;0;;;;;;;Naga_AngryEarth;;;;;;;;;;;;;;;;;;;;@1403A_0301_d_02_Task;;;;;;;;;;;;;;
1420_0501_d_00_Containter_weaponwrapperquest;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_00_Containter_weaponwrapperquest;;;;;;;;;;1420_0501_d_01_Containter_weaponwrapperquest_sub_01;1420_0501_d_02_Containter_weaponwrapperquest_sub_02;;;
1420_0501_d_01_Containter_weaponwrapperquest_sub_01;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_Containter_weaponwrapperquest_sub_01;;;;1;;;;;;1420_0501_d_01_Containter_weaponwrapperquest_questPush_1;1420_0501_d_02_Containter_weaponwrapperquest_questComplete_4;1420_0501_d_02_Containter_weaponwrapperquest_questComplete_3;1420_0501_d_02_Containter_weaponwrapperquest_questComplete_2;
1420_0501_d_02_Containter_weaponwrapperquest_sub_02;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_Containter_weaponwrapperquest_sub_02;;;;1;;;;;;1420_0501_d_01_Containter_weaponwrapperquest_questComplete_2;1420_0501_d_02_Containter_weaponwrapperquest_questComplete_1;1420_0501_d_01_Containter_weaponwrapperquest_questComplete_4;1420_0501_d_01_Containter_weaponwrapperquest_questComplete_3;
1420_0501_d_01_Containter_weaponwrapperquest_questPush_1;TaskObjective;;1;0;1420_0502_CVOne;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_Containter_weaponwrapperquest_questPush_1;;;;;;;;;;;;;;
1420_0501_d_01_Containter_weaponwrapperquest_questComplete_2;TaskObjective;;1;0;1420_0503_CVTwo;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_Containter_weaponwrapperquest_questComplete_2;;;;;;;;;;;;;;
1420_0501_d_01_Containter_weaponwrapperquest_questComplete_3;TaskObjective;;1;0;1420_0504_CVThree;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_Containter_weaponwrapperquest_questComplete_3;;;;;;;;;;;;;;
1420_0501_d_01_Containter_weaponwrapperquest_questComplete_4;TaskObjective;;1;0;1420_0505_CVFour;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_Containter_weaponwrapperquest_questComplete_4;;;;;;;;;;;;;;
1420_0501_d_02_Containter_weaponwrapperquest_questComplete_1;TaskObjective;;1;0;1420_0506_CVFive;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_Containter_weaponwrapperquest_questComplete_1;;;;;;;;;;;;;;
1420_0501_d_02_Containter_weaponwrapperquest_questComplete_2;TaskObjective;;1;0;1420_0507_CVSix;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_Containter_weaponwrapperquest_questComplete_2;;;;;;;;;;;;;;
1420_0501_d_02_Containter_weaponwrapperquest_questComplete_3;TaskObjective;;1;0;1420_0508_CVSeven;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_Containter_weaponwrapperquest_questComplete_3;;;;;;;;;;;;;;
1420_0501_d_02_Containter_weaponwrapperquest_questComplete_4;TaskObjective;;1;0;1420_0509_CVEight;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_Containter_weaponwrapperquest_questComplete_4;;;;;;;;;;;;;;
1420_0501_d_01_01_weaponwrapperquest_questComplete1;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_01_weaponwrapperquest_questComplete1;;;;;;;;;;1420_0501_d_01_01_01_Task_GoTo;1420_0501_d_01_01_02_container_tasks;;;
1420_0501_d_01_01_01_Task_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;crater_malice_50327;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_01_01_Task_GoTo;;;;;;;;;;;;;;
1420_0501_d_01_01_02_container_tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_01_weaponwrapperquest_questComplete1;;;;1;;;;;;1420_0501_d_01_01_02a_Task_Kill;1420_0501_d_01_01_02b_Task_KillToken;;;
1420_0501_d_01_01_02a_Task_Kill;TaskKillContribution;;1;30;;;0;0;false;true;;crater_malice_50327;;;false;false;;0;;;;;;;Campanilean;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_01_02_Task_Kill;;;;;;;;;;;;;;
1420_0501_d_01_01_02b_Task_KillToken;TaskHaveAndReturnItems;;1;1;1420_0101_AzothCore;Campanilean;5;0;false;true;;crater_malice_50327;;;true;false;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_01_03_Task_KillToken;;;;;;;;;;;;;;
1420_0501_d_01_02_weaponwrapperquest_questComplete2;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_02_weaponwrapperquest_questComplete2;;;;;;;;;;1420_0501_d_01_02_01_Task_GoTo;1420_0501_d_01_02_02_container_tasks;;;
1420_0501_d_01_02_01_Task_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;haunted_town_50201;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_02_01_Task_GoTo;;;;;;;;;;;;;;
1420_0501_d_01_02_02_container_tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_01_weaponwrapperquest_questComplete1;;;;1;;;;;;1420_0501_d_01_02_02a_Task_Kill;1420_0501_d_01_02_02b_Task_KillToken;;;
1420_0501_d_01_02_02a_Task_Kill;TaskKillContribution;;1;40;;;0;0;false;true;;haunted_town_50201;;;false;false;;0;;;;;;;Periville;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_02_02_Task_Kill;;;;;;;;;;;;;;
1420_0501_d_01_02_02b_Task_KillToken;TaskHaveAndReturnItems;;1;1;1420_0102_GoldenFlintlock;Periville;5;0;false;true;;haunted_town_50201;;;true;false;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_02_03_Task_KillToken;;;;;;;;;;;;;;
1420_0501_d_01_03_weaponwrapperquest_questComplete3;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_03_weaponwrapperquest_questComplete3;;;;;;;;;;1420_0501_d_01_03_01_Task_GoTo;1420_0501_d_01_03_02_container_tasks;;;
1420_0501_d_01_03_01_Task_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;myrkgardwest;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_03_01_Task_GoTo;;;;;;;;;;;;;;
1420_0501_d_01_03_02_container_tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_01_weaponwrapperquest_questComplete1;;;;1;;;;;;1420_0501_d_01_03_02a_Task_Kill;1420_0501_d_01_03_02b_Task_KillToken;;;
1420_0501_d_01_03_02a_Task_Kill;TaskKillContribution;;1;50;;;0;0;false;true;;myrkgardwest;;;false;false;;0;;;;;;;Myrkgard;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_03_02_Task_Kill;;;;;;;;;;;;;;
1420_0501_d_01_03_02b_Task_KillToken;TaskHaveAndReturnItems;;1;1;1420_0103_GlisteningBarrel;Myrkgard;5;0;false;true;;myrkgardwest;;;true;false;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_03_03_Task_KillToken;;;;;;;;;;;;;;
1420_0501_d_01_04_weaponwrapperquest_questComplete4;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_04_weaponwrapperquest_questComplete4;;;;;;;;;;1420_0501_d_01_04_01_Task_GoTo;1420_0501_d_01_04_02_container_tasks;;;
1420_0501_d_01_04_01_Task_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;military_camp_40405;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_04_01_Task_GoTo;;;;;;;;;;;;;;
1420_0501_d_01_04_02_container_tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_01_weaponwrapperquest_questComplete1;;;;1;;;;;;1420_0501_d_01_04_02a_Task_Kill;1420_0501_d_01_04_02b_Task_KillToken;;;
1420_0501_d_01_04_02a_Task_Kill;TaskKillContribution;;1;50;;;0;0;false;true;;military_camp_40405;;;false;false;;0;;;;;;;Southguard;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_04_02_Task_Kill;;;;;;;;;;;;;;
1420_0501_d_01_04_02b_Task_KillToken;TaskHaveAndReturnItems;;1;1;1420_0104_Ramrod;Southguard;5;0;false;true;;military_camp_40405;;;true;false;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_04_03_Task_KillToken;;;;;;;;;;;;;;
1420_0501_d_02_01_weaponwrapperquest_questComplete1;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_01_weaponwrapperquest_questComplete1;;;;;;;;;;1420_0501_d_02_01_01_Task_GoTo;1420_0501_d_02_01_02_container_tasks;;;
1420_0501_d_02_01_01_Task_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;pirate_fort_30016;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_01_01_Task_GoTo;;;;;;;;;;;;;;
1420_0501_d_02_01_02_container_tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_01_01_weaponwrapperquest_questComplete1;;;;1;;;;;;1420_0501_d_02_01_02a_Task_Kill;1420_0501_d_02_01_02b_Task_KillToken;;;
1420_0501_d_02_01_02a_Task_Kill;TaskKillContribution;;1;75;;;0;0;false;true;;pirate_fort_30016;;;false;false;;0;;;;;;;Grubby_Rebels;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_01_02_Task_Kill;;;;;;;;;;;;;;
1420_0501_d_02_01_02b_Task_KillToken;TaskHaveAndReturnItems;;1;1;1420_0105_HairTrigger;Grubby_Rebels;5;0;false;true;;pirate_fort_30016;;;true;false;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_01_03_Task_KillToken;;;;;;;;;;;;;;
1420_0501_d_02_02_weaponwrapperquest_questComplete2;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_02_weaponwrapperquest_questComplete2;;;;;;;;;;1420_0501_d_02_02_01_Task_GoTo;1420_0501_d_02_02_02_container_tasks;;;
1420_0501_d_02_02_01_Task_GoTo;TaskGoToPOITag;;1;0;;;0;0;false;true;;ancient_lighthouse;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1420_0501_d_02_02_01_Task_GoTo;;;;;;;;;;;;;;
